complex_id,name,genes,mod,replace
CPLX2G6Z-3,,,4fe4s(1) AND sheme(1) AND fmn(1) AND fad(1),
CPLX2G6Z-33,,,zn2(1),
CPLX2G6Z-33,,,mg2(1),
CPLX2G6Z-33,,,mn2(1),
CPLX2G6Z-33,,,cobalt2(1),
CPLX2G6Z-33,,,cd2(1),
CPLX_3PEPTabcpp-0,tripeptide (LalaDgluMdap) transport via ABC system (periplasm),VC_1091() AND VC_1092() AND VC_1093() AND VC_1094() AND VC_1095(),,
CPLX_3PEPTabcpp-1,tripeptide (LalaDgluMdap) transport via ABC system (periplasm),VC_1091() AND VC_1092() AND VC_1093() AND VC_1094() AND VC_A0977(),,
CPLX_3PEPTabcpp-2,tripeptide (LalaDgluMdap) transport via ABC system (periplasm),VC_1091() AND VC_1092() AND VC_1093() AND VC_A0977() AND VC_1095(),,
CPLX_3PEPTabcpp-3,tripeptide (LalaDgluMdap) transport via ABC system (periplasm),VC_1091() AND VC_1092() AND VC_1093() AND VC_A0977() AND VC_A0977(),,
CPLX_ACCOAC-0,acetyl-CoA carboxylase,VC_2244() AND VC_1000() AND VC_0296() AND VC_0295(),,
CPLX_ACHBS-0,2-aceto-2-hydroxybutanoate synthase,VC_2482() AND VC_2483(),,
CPLX_ACHBS-1,2-aceto-2-hydroxybutanoate synthase,VC_2482() AND VC_1590(),,
CPLX_ACHBS-2,2-aceto-2-hydroxybutanoate synthase,VC_2482() AND VC_0031(),,
CPLX_ACHBS-3,2-aceto-2-hydroxybutanoate synthase,VC_0030() AND VC_2483(),,
CPLX_ACHBS-4,2-aceto-2-hydroxybutanoate synthase,VC_0030() AND VC_1590(),,
CPLX_ACHBS-5,2-aceto-2-hydroxybutanoate synthase,VC_0030() AND VC_0031(),,
CPLX_ACMANAptspp-0,N-acetyl-D-mannosamine transport via PTS  (periplasm),VC_0966() AND VC_0965(),,
CPLX_ACOATA-0,Acetyl-CoA ACP transacylase,VC_2020() AND VC_A0751(),,
CPLX_ACOATA-1,Acetyl-CoA ACP transacylase,VC_2020() AND VC_2023(),,
CPLX_ACOLIPAabctex-0,arabinose modified core oligosaccharide lipid A transport via ABC system (periplasm to extracellular),VC_2527() AND VC_2528() AND VC_2525() AND VC_2500() AND VC_2499(),,
CPLX_ACPPAT120-0,acyl-(acyl carrier protein):phosphate acyltransferase (C12:0),VC_2020() AND VC_2024(),,
CPLX_ADCS-0,,,mg2(1),
CPLX_ADCS-0,4-amino-4-deoxychorismate synthase,VC_2619(1) AND VC_1303(1),,
CPLX_ADOCBLabcpp-0,Adenosylcobalamin transport via ABC system (periplasm),VC_1244() AND VC_1245() AND VC_2381(),,
CPLX_ADOCBLtonex-0,Adenosylcobalimin transport via ton system (extermal),VC_0156() AND VC_1544() AND VC_1545() AND VC_1546(),,
CPLX_ADOCBLtonex-1,Adenosylcobalimin transport via ton system (extermal),VC_0156() AND VC_1544() AND VC_1545() AND VC_1547(),,
CPLX_ADOCBLtonex-2,Adenosylcobalimin transport via ton system (extermal),VC_0156() AND VC_1544() AND VC_1545() AND VC_A0911(),,
CPLX_ADOCBLtonex-3,Adenosylcobalimin transport via ton system (extermal),VC_0156() AND VC_A0910() AND VC_1545() AND VC_1546(),,
CPLX_ADOCBLtonex-4,Adenosylcobalimin transport via ton system (extermal),VC_0156() AND VC_A0910() AND VC_1545() AND VC_1547(),,
CPLX_ADOCBLtonex-5,Adenosylcobalimin transport via ton system (extermal),VC_0156() AND VC_A0910() AND VC_1545() AND VC_A0911(),,
CPLX_AKGDH-0,2-Oxogluterate dehydrogenase,VC_2412() AND VC_2087() AND VC_2086(),,
CPLX_ALAALAabcpp-0,D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm),generic_ALAALAabcpp_0() AND generic_ALAALAabcpp_1() AND generic_ALAALAabcpp_2() AND generic_ALAALAabcpp_3() AND generic_ALAALAabcpp_4(),,
CPLX_ALPATE160pp-0,"apolipoprotein N-acyltransferase (phosphatidylethanolamine, periplasm)",VC_0958() AND VC_A0059(),,
CPLX_ANS-0,anthranilate synthase,VC_1173() AND VC_1174(),,
CPLX_ARBTNabcpp-0,aerobactin transport via ABC system (periplasm),VC_0203() AND VC_0201() AND VC_0202(),,
CPLX_ARBTNabcpp-1,aerobactin transport via ABC system (periplasm),VC_0203() AND VC_0201() AND VC_0776(),,
CPLX_ARBTNabcpp-10,aerobactin transport via ABC system (periplasm),VC_0203() AND VC_A0230() AND VC_A0227(),,
CPLX_ARBTNabcpp-11,aerobactin transport via ABC system (periplasm),VC_0203() AND VC_A0230() AND VC_A0913(),,
CPLX_ARBTNabcpp-12,aerobactin transport via ABC system (periplasm),VC_0203() AND VC_A0915() AND VC_0202(),,
CPLX_ARBTNabcpp-13,aerobactin transport via ABC system (periplasm),VC_0203() AND VC_A0915() AND VC_0776(),,
CPLX_ARBTNabcpp-14,aerobactin transport via ABC system (periplasm),VC_0203() AND VC_A0915() AND VC_A0227(),,
CPLX_ARBTNabcpp-15,aerobactin transport via ABC system (periplasm),VC_0203() AND VC_A0915() AND VC_A0913(),,
CPLX_ARBTNabcpp-16,aerobactin transport via ABC system (periplasm),VC_0777() AND VC_0201() AND VC_0202(),,
CPLX_ARBTNabcpp-17,aerobactin transport via ABC system (periplasm),VC_0777() AND VC_0201() AND VC_0776(),,
CPLX_ARBTNabcpp-18,aerobactin transport via ABC system (periplasm),VC_0777() AND VC_0201() AND VC_A0227(),,
CPLX_ARBTNabcpp-19,aerobactin transport via ABC system (periplasm),VC_0777() AND VC_0201() AND VC_A0913(),,
CPLX_ARBTNabcpp-2,aerobactin transport via ABC system (periplasm),VC_0203() AND VC_0201() AND VC_A0227(),,
CPLX_ARBTNabcpp-20,aerobactin transport via ABC system (periplasm),VC_0777() AND VC_0779() AND VC_0202(),,
CPLX_ARBTNabcpp-21,aerobactin transport via ABC system (periplasm),VC_0777() AND VC_0779() AND VC_0776(),,
CPLX_ARBTNabcpp-22,aerobactin transport via ABC system (periplasm),VC_0777() AND VC_0779() AND VC_A0227(),,
CPLX_ARBTNabcpp-23,aerobactin transport via ABC system (periplasm),VC_0777() AND VC_0779() AND VC_A0913(),,
CPLX_ARBTNabcpp-24,aerobactin transport via ABC system (periplasm),VC_0777() AND VC_A0230() AND VC_0202(),,
