Reaction	Complexes
14GLUCANabcpp	VC_A0946-MONOMER
14GLUCANtexi	VC_A1028-MONOMER
23PDE2pp	VC_2416-MONOMER OR VC_2562-MONOMER
23PDE4pp	VC_2416-MONOMER OR VC_2562-MONOMER
23PDE7pp	VC_2416-MONOMER OR VC_2562-MONOMER
23PDE9pp	VC_2416-MONOMER OR VC_2562-MONOMER
34HPPOR	VC_1344-MONOMER
3HAD100	VC_1483-MONOMER OR VC_2249-MONOMER
3HAD120	VC_2249-MONOMER OR VC_1483-MONOMER
3HAD121	VC_2249-MONOMER OR VC_1483-MONOMER
3HAD140	VC_1483-MONOMER OR VC_2249-MONOMER
3HAD141	VC_1483-MONOMER OR VC_2249-MONOMER
3HAD160	VC_1483-MONOMER OR VC_2249-MONOMER
3HAD161	VC_2249-MONOMER OR VC_1483-MONOMER
3HAD180	VC_1483-MONOMER OR VC_2249-MONOMER
3HAD181	VC_1483-MONOMER OR VC_2249-MONOMER
3HAD40	VC_1483-MONOMER OR VC_2249-MONOMER
3HAD60	VC_1483-MONOMER OR VC_2249-MONOMER
3HAD80	VC_1483-MONOMER OR VC_2249-MONOMER
3NTD2pp	VC_2416-MONOMER OR VC_2562-MONOMER
3NTD4pp	VC_2416-MONOMER OR VC_2562-MONOMER
3NTD7pp	VC_2416-MONOMER OR VC_2562-MONOMER
3NTD9pp	VC_2416-MONOMER OR VC_2562-MONOMER
3OAR100	VC_2021-MONOMER
3OAR120	VC_2021-MONOMER
3OAR121	VC_2021-MONOMER
3OAR140	VC_2021-MONOMER
3OAR141	VC_2021-MONOMER
3OAR160	VC_2021-MONOMER
3OAR161	VC_2021-MONOMER
3OAR180	VC_2021-MONOMER
3OAR181	VC_2021-MONOMER
3OAR40	VC_2021-MONOMER
3OAR60	VC_2021-MONOMER
3OAR80	VC_2021-MONOMER
3OAS100	VC_2019-MONOMER
3OAS120	VC_2019-MONOMER
3OAS121	VC_2019-MONOMER
3OAS140	VC_2019-MONOMER
3OAS141	VC_2019-MONOMER
3OAS160	VC_2019-MONOMER
3OAS161	VC_2019-MONOMER
3OAS180	VC_2019-MONOMER
3OAS181	VC_2019-MONOMER
3OAS60	VC_2019-MONOMER
3OAS80	VC_2019-MONOMER
3PEPTabcpp	CPLX_3PEPTabcpp-0 OR CPLX_3PEPTabcpp-1 OR CPLX_3PEPTabcpp-2 OR CPLX_3PEPTabcpp-3
3PGt	FY484_RS17415-MONOMER OR FY484_RS17515-MONOMER
4HTHRS	VC_2362-MONOMER_mod_pydx5p(1)
4PEPTabcpp	CPLX_3PEPTabcpp-0 OR CPLX_3PEPTabcpp-1 OR CPLX_3PEPTabcpp-2 OR CPLX_3PEPTabcpp-3
4hbzt	VC_A0669-MONOMER
5DOAN	VC_2379-MONOMER
A5PISO	VC_2523-MONOMER
AACOAR	VC_A0691-MONOMER
AACPS1	VC_2020-MONOMER_mod_pan4p(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_ac(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_mal(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_but2e(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_act(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_but(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_3ha(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_egme(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_ogme(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_gme(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_hgme(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_thex2e(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_3ohex(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_hex(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_3hhex(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_pim(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_epme(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_opme(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_pme(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_hpme(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_toct2e(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_3ooct(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_oc(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_3hoct(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_tdec2e(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_cdec3e(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_3odec(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_dca(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_3hdec(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_t3c5ddece(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_3ocddec5e(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_tddec2e(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_cddec5e(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_3oddec(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_3hcddec5e(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_ddca(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_3hddec(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_t3c7mrse(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_3ocmrs7e(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_tde(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_tmrs2e(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_3omrs(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_3hcmrs7e(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_myrs(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_3hmrs(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_t3c9palme(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_3ocpalm9e(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_hde(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_tpalm2e(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_3opalm(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_3hcpalm9e(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_palm(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_3hpalm(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_t3c11vace(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_3ocvac11e(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_toctd2e(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_octe(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_3ooctd(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_3hcvac11e(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_ocdca(1) OR VC_2020-MONOMER_mod_pan4p(1)_mod_3hocta(1)
