Reaction,Complexes
ACGAMT,LLMG_RS09905-MONOMER_mod_mg2(1)
ACGK,LLMG_RS08820-MONOMER_mod_mg2(1)
ACHBS,LLMG_RS06630-MONOMER
ACOATA,LLMG_RS08965-MONOMER
ACLS,LLMG_RS06480-MONOMER OR LLMG_RS06485-MONOMER OR LLMG_RS06470-MONOMER_mod_pydx5p(1) OR LLMG_RS06630-MONOMER
ACLDC,LLMG_RS07390-MONOMER OR LLMG_RS06465-MONOMER
ACODA_1,LLMG_RS02810-MONOMER_mod_zn2(1)
ACONT,LLMG_RS03320-MONOMER_mod_4fe4s(1)
ACKILE,LLMG_RS11480-MONOMER OR LLMG_RS11485-MONOMER_mod_mg2(1)
ACKLEU,LLMG_RS11480-MONOMER OR LLMG_RS11485-MONOMER_mod_mg2(1)
2S6HCCi,LLMG_RS09160-MONOMER_mod_mg2(1)_mod_mn2(1)_mod_thmpp(1)
ACKVAL,LLMG_RS11480-MONOMER OR LLMG_RS11485-MONOMER_mod_mg2(1)
AALDH,LLMG_RS09975-MONOMER
ACKr,LLMG_RS11480-MONOMER OR LLMG_RS11485-MONOMER_mod_mg2(1)
ACOTA,LLMG_RS08825-MONOMER_mod_pydx5p(1)
ACTD,LLMG_RS08260-MONOMER
AB6PGH,LLMG_RS02245-MONOMER OR LLMG_RS07345-MONOMER
ACACT1r,LLMG_RS04745-MONOMER
ACPS2,CPLX_ACPS2-0
ACPSc,LLMG_RS02035-MONOMER OR LLMG_RS00655-MONOMER
ADADir,LLMG_RS03940-MONOMER_mod_mg2(1)
ADA,LLMG_RS09230-MONOMER_mod_zn2(2) OR LLMG_RS01565-MONOMER
ADK2,LLMG_RS11835-MONOMER_mod_mg2(1)
ADK1,LLMG_RS11835-MONOMER_mod_mg2(1)
ADCL,CPLX_ADCL-0
ADCS,CPLX_ADCL-0
ADPDS,LLMG_RS01525-MONOMER
ADPT,LLMG_RS03160-MONOMER_mod_mg2(1) OR LLMG_RS03160-MONOMER_mod_mn2(1)
ADPRDP,LLMG_RS10355-MONOMER OR LLMG_RS10755-MONOMER
ADSL1r,LLMG_RS04040-MONOMER
CSND,LLMG_RS09230-MONOMER_mod_zn2(2)
ADSL2r,LLMG_RS04040-MONOMER
DADA,LLMG_RS01565-MONOMER
ADSS,LLMG_RS11055-MONOMER_mod_mg2(1)
AGAT_LLA,LLMG_RS00635-MONOMER
CYTDK1,LLMG_RS03940-MONOMER_mod_mg2(1)
AEPabc,CPLX_AEPabc-0 OR CPLX_AEPabc-1
CYTDK2,LLMG_RS03940-MONOMER_mod_mg2(1)
DADK,LLMG_RS11835-MONOMER_mod_mg2(1)
ASPTRS_1,LLMG_RS11115-MONOMER
AGDC,LLMG_RS05670-MONOMER_mod_zn2(1)
ATPPRT,LLMG_RS06570-MONOMER
ARGSL,LLMG_RS00755-MONOMER
ARGSS,LLMG_RS00750-MONOMER_mod_mg2(1)
ARGTRS_1,LLMG_RS11600-MONOMER_mod_mg2(1)
AGPR,LLMG_RS08835-MONOMER
AHCYSNS,LLMG_RS10345-MONOMER
ARGabc,CPLX_ARGabc-0
ASAD,LLMG_RS04455-MONOMER
AICART,LLMG_RS05055-MONOMER
ASNN,LLMG_RS09135-MONOMER
AHMMPS_1,LLMG_RS07320-MONOMER OR LLMG_RS01990-MONOMER
TRPTA,LLMG_RS00370-MONOMER
AIRCr,CPLX_AIRCr-0
ASNTRS_1,LLMG_RS10095-MONOMER
ASNS1,LLMG_RS01910-MONOMER_mod_mg2(1) OR LLMG_RS12590-MONOMER
ASPCT,LLMG_RS04560-MONOMER
ALAALAr,LLMG_RS01855-MONOMER
ASPK,LLMG_RS09120-MONOMER
ALAR,LLMG_RS08570-MONOMER_mod_pydx5p(1)
ALATA_L,LLMG_RS00920-MONOMER
ASPR,LLMG_RS12580-MONOMER
ASPTA,LLMG_RS10105-MONOMER
ASPTA2,LLMG_RS10105-MONOMER
ALATRS_1,LLMG_RS09540-MONOMER_mod_zn2(4)
ALCD19,LLMG_RS04865-MONOMER
BG_CELLB,LLMG_RS01005-MONOMER
ATPS3r,CPLX_ATPS3r-0
BTDD_RR,LLMG_RS08265-MONOMER
BTMAT1,LLMG_RS02820-MONOMER
ALKP,LLMG_RS09290-MONOMER
CARORSr,LLMG_RS06255-MONOMER
DALAt2r,LLMG_RS01925-MONOMER OR LLMG_RS01930-MONOMER
CFAS180,LLMG_RS10800-MONOMER_mod_hco3(1)
CBMKr_copy2,LLMG_RS11580-MONOMER OR LLMG_RS11575-MONOMER
CBPS,CPLX_CBPS-0_mod_mg2(1) OR CPLX_CBPS-0_mod_mn2(1) OR CPLX_CBPS-0_mod_cobalt2(1) OR CPLX_CBPS-0_mod_cd2(1) OR CPLX_CBPS-0_mod_zn2(1)
CGPT,LLMG_RS08075-MONOMER
ALAt2r_copy1,LLMG_RS01925-MONOMER OR LLMG_RS01930-MONOMER
CHITN1,LLMG_RS11045-MONOMER
CHORM,LLMG_RS12465-MONOMER
AMANAPEr,LLMG_RS06665-MONOMER
CHLabc,CPLX_CHLabc-0
