,value
ALW85_RS00005,TU2K2B-1668
ALW85_RS00010,TU2K2B-1668
ALW85_RS00015,TU2K2B-1669
ALW85_RS00020,TU2K2B-1669
ALW85_RS00025,TU2K2B-1670
ALW85_RS00030,TU2K2B-1671
ALW85_RS00035,TU2K2B-1671
ALW85_RS00040,TU2K2B-1671
ALW85_RS00045,TU2K2B-1672
ALW85_RS00050,TU2K2B-1673
ALW85_RS00055,TU2K2B-1674
ALW85_RS00060,TU2K2B-1674
ALW85_RS00065,TU2K2B-1674
ALW85_RS00070,TU2K2B-1675
ALW85_RS00075,TU2K2B-1676
ALW85_RS00080,TU2K2B-1676
ALW85_RS00085,TU2K2B-1676
ALW85_RS00090,TU2K2B-1677
ALW85_RS00095,TU2K2B-1677
ALW85_RS00100,TU2K2B-1677
ALW85_RS00105,TU2K2B-1678
ALW85_RS00110,TU2K2B-1679
ALW85_RS00115,TU2K2B-1680
ALW85_RS00120,TU2K2B-1681
ALW85_RS00125,TU2K2B-1682
ALW85_RS00130,TU2K2B-1683
ALW85_RS00135,TU2K2B-3332
ALW85_RS00140,TU2K2B-1684
ALW85_RS00145,TU2K2B-1684
ALW85_RS00150,TU2K2B-1685
ALW85_RS00155,TU2K2B-1685
ALW85_RS00160,TU2K2B-1686
ALW85_RS00165,TU2K2B-1687
ALW85_RS00170,TU2K2B-1688
ALW85_RS00175,TU2K2B-1688
ALW85_RS00180,TU2K2B-1688
ALW85_RS00185,TU2K2B-1689
ALW85_RS00190,TU2K2B-1690
ALW85_RS00195,TU2K2B-1691
ALW85_RS00200,TU2K2B-1692
ALW85_RS00205,TU2K2B-1693
ALW85_RS00210,TU2K2B-1694
ALW85_RS00215,TU2K2B-1695
ALW85_RS00220,TU2K2B-1696
ALW85_RS00225,TU2K2B-1697
ALW85_RS00230,TU2K2B-1697
ALW85_RS00235,TU2K2B-3331
ALW85_RS00240,TU2K2B-1698
ALW85_RS00245,TU2K2B-1698
ALW85_RS00250,TU2K2B-1698
ALW85_RS00255,TU2K2B-1699
ALW85_RS00260,TU2K2B-1700
ALW85_RS00265,TU2K2B-1700
ALW85_RS00270,TU2K2B-1700
ALW85_RS00275,TU2K2B-1700
ALW85_RS00280,TU2K2B-1700
ALW85_RS00285,TU2K2B-1700
ALW85_RS00290,TU2K2B-3330
ALW85_RS00295,TU2K2B-1701
ALW85_RS00300,TU2K2B-1702
ALW85_RS00305,TU2K2B-1702
ALW85_RS00310,TU2K2B-1703
