Modified_enzyme,Core_enzyme,Modifications,Source
RNAP-CPLX_mod_zn2(1)_mod_mg2(2),RNAP-CPLX,zn2(1) AND mg2(2),RNA_Polymerase
ALW85_RS11555-MONOMER_mod_Oxidized(1),ALW85_RS11555-MONOMER,Oxidized(1),Homology
ALW85_RS02345-MONOMER_mod_mg2(1),ALW85_RS02345-MONOMER,mg2(1),Homology
ALW85_RS11575-MONOMER_mod_mg2(1),ALW85_RS11575-MONOMER,mg2(1),Homology
ALW85_RS11575-MONOMER_mod_mn2(1),ALW85_RS11575-MONOMER,mn2(1),Homology
ALW85_RS11585-MONOMER_mod_mg2(1),ALW85_RS11585-MONOMER,mg2(1),Homology
ALW85_RS00410-MONOMER_mod_mg2(1),ALW85_RS00410-MONOMER,mg2(1),Homology
ALW85_RS11605-MONOMER_mod_fmn(1),ALW85_RS11605-MONOMER,fmn(1),Homology
ALW85_RS00415-MONOMER_mod_mg2(1)_mod_k(1),ALW85_RS00415-MONOMER,mg2(1) AND k(1),Homology
ALW85_RS00415-MONOMER_mod_mg2(1)_mod_nh4(1),ALW85_RS00415-MONOMER,mg2(1) AND nh4(1),Homology
ALW85_RS00415-MONOMER_mod_mn2(1)_mod_k(1),ALW85_RS00415-MONOMER,mn2(1) AND k(1),Homology
ALW85_RS00415-MONOMER_mod_mn2(1)_mod_nh4(1),ALW85_RS00415-MONOMER,mn2(1) AND nh4(1),Homology
ALW85_RS09515-MONOMER_mod_mg2(1)_mod_pi(1),ALW85_RS09515-MONOMER,mg2(1) AND pi(1),Homology
ALW85_RS09515-MONOMER_mod_mn2(1)_mod_pi(1),ALW85_RS09515-MONOMER,mn2(1) AND pi(1),Homology
ALW85_RS09525-MONOMER_mod_mg2(1),ALW85_RS09525-MONOMER,mg2(1),Homology
ALW85_RS05160-MONOMER_mod_k(1)_mod_mg2(1),ALW85_RS05160-MONOMER,k(1) AND mg2(1),Homology
ALW85_RS00425-MONOMER_mod_mg2(2),ALW85_RS00425-MONOMER,mg2(2),Homology
ALW85_RS00570-MONOMER_mod_4fe4s(1),ALW85_RS00570-MONOMER,4fe4s(1),Homology
ALW85_RS05435-MONOMER_mod_mg2(4),ALW85_RS05435-MONOMER,mg2(4),Homology
ALW85_RS05440-MONOMER_mod_mg2(1),ALW85_RS05440-MONOMER,mg2(1),Homology
ALW85_RS09580-MONOMER_mod_mg2(1),ALW85_RS09580-MONOMER,mg2(1),Homology
ALW85_RS09585-MONOMER_mod_mn2(1),ALW85_RS09585-MONOMER,mn2(1),Homology
ALW85_RS11770-MONOMER_mod_mg2(1),ALW85_RS11770-MONOMER,mg2(1),Homology
ALW85_RS11780-MONOMER_mod_mg2(1),ALW85_RS11780-MONOMER,mg2(1),Homology
ALW85_RS11785-MONOMER_mod_mg2(1),ALW85_RS11785-MONOMER,mg2(1),Homology
ALW85_RS01895-MONOMER_mod_mg2(1),ALW85_RS01895-MONOMER,mg2(1),Homology
ALW85_RS04560-MONOMER_mod_mn2(1),ALW85_RS04560-MONOMER,mn2(1),Homology
ALW85_RS03400-MONOMER_mod_nadph(1)_mod_nadh(1)_mod_fad(1)_mod_cobalt2(1),ALW85_RS03400-MONOMER,nadph(1) AND nadh(1) AND fad(1) AND cobalt2(1),Homology
ALW85_RS02665-MONOMER_mod_mn2(1),ALW85_RS02665-MONOMER,mn2(1),Homology
ALW85_RS00905-MONOMER_mod_pydx5p(2),ALW85_RS00905-MONOMER,pydx5p(2),Homology
ALW85_RS11915-MONOMER_mod_mg2(1),ALW85_RS11915-MONOMER,mg2(1),Homology
ALW85_RS02755-MONOMER_mod_mg2(1),ALW85_RS02755-MONOMER,mg2(1),Homology
ALW85_RS11980-MONOMER_mod_mg2(1),ALW85_RS11980-MONOMER,mg2(1),Homology
ALW85_RS09675-MONOMER_mod_4fe4s(1),ALW85_RS09675-MONOMER,4fe4s(1),Homology
ALW85_RS12000-MONOMER_mod_4fe4s(1)_mod_2fe2s(1),ALW85_RS12000-MONOMER,4fe4s(1) AND 2fe2s(1),Homology
ALW85_RS03100-MONOMER_mod_mg2(1),ALW85_RS03100-MONOMER,mg2(1),Homology
ALW85_RS00730-MONOMER_mod_zn2(1),ALW85_RS00730-MONOMER,zn2(1),Homology
ALW85_RS12105-MONOMER_mod_mg2(1),ALW85_RS12105-MONOMER,mg2(1),Homology
ALW85_RS12105-MONOMER_mod_mn2(1),ALW85_RS12105-MONOMER,mn2(1),Homology
ALW85_RS00935-MONOMER_mod_mg2(1),ALW85_RS00935-MONOMER,mg2(1),Homology
ALW85_RS12120-MONOMER_mod_mg2(2),ALW85_RS12120-MONOMER,mg2(2),Homology
ALW85_RS00940-MONOMER_mod_mg2(1),ALW85_RS00940-MONOMER,mg2(1),Homology
ALW85_RS00940-MONOMER_mod_mn2(1),ALW85_RS00940-MONOMER,mn2(1),Homology
ALW85_RS00590-MONOMER_mod_zn2(1)_mod_cobalt2(1),ALW85_RS00590-MONOMER,zn2(1) AND cobalt2(1),Homology
ALW85_RS12175-MONOMER_mod_4fe4s(1),ALW85_RS12175-MONOMER,4fe4s(1),Homology
ALW85_RS02670-MONOMER_mod_mg2(1),ALW85_RS02670-MONOMER,mg2(1),Homology
ALW85_RS03105-MONOMER_mod_dpm(1),ALW85_RS03105-MONOMER,dpm(1),Homology
ALW85_RS03450-MONOMER_mod_k(4)_mod_mg2(1),ALW85_RS03450-MONOMER,k(4) AND mg2(1),Homology
ALW85_RS03450-MONOMER_mod_k(4)_mod_mn2(1),ALW85_RS03450-MONOMER,k(4) AND mn2(1),Homology
ALW85_RS03450-MONOMER_mod_k(4)_mod_cobalt2(1),ALW85_RS03450-MONOMER,k(4) AND cobalt2(1),Homology
ALW85_RS03450-MONOMER_mod_k(4)_mod_zn2(1),ALW85_RS03450-MONOMER,k(4) AND zn2(1),Homology
ALW85_RS03450-MONOMER_mod_k(4)_mod_cd2(1),ALW85_RS03450-MONOMER,k(4) AND cd2(1),Homology
ALW85_RS03450-MONOMER_mod_k(4)_mod_ni2(1),ALW85_RS03450-MONOMER,k(4) AND ni2(1),Homology
ALW85_RS03450-MONOMER_mod_k(4)_mod_ca2(1),ALW85_RS03450-MONOMER,k(4) AND ca2(1),Homology
ALW85_RS03450-MONOMER_mod_nh4(4)_mod_mg2(1),ALW85_RS03450-MONOMER,nh4(4) AND mg2(1),Homology
ALW85_RS03450-MONOMER_mod_nh4(4)_mod_mn2(1),ALW85_RS03450-MONOMER,nh4(4) AND mn2(1),Homology
ALW85_RS03450-MONOMER_mod_nh4(4)_mod_cobalt2(1),ALW85_RS03450-MONOMER,nh4(4) AND cobalt2(1),Homology
ALW85_RS03450-MONOMER_mod_nh4(4)_mod_zn2(1),ALW85_RS03450-MONOMER,nh4(4) AND zn2(1),Homology
ALW85_RS03450-MONOMER_mod_nh4(4)_mod_cd2(1),ALW85_RS03450-MONOMER,nh4(4) AND cd2(1),Homology
