,value
TU2G6Z-1401,['FY484_RS13855']
TU2G6Z-1402,['FY484_RS13860']
TU2G6Z-1403,['FY484_RS13865']
TU2G6Z-1404,['FY484_RS13870']
TU2G6Z-1405,"['FY484_RS13900', 'FY484_RS13895']"
TU2G6Z-1406,['FY484_RS13905']
TU2G6Z-1407,['FY484_RS13915']
TU2G6Z-1408,"['FY484_RS13935', 'FY484_RS13930', 'FY484_RS13925', 'FY484_RS13920']"
TU2G6Z-1409,['FY484_RS13940']
TU2G6Z-1410,['FY484_RS13945']
TU2G6Z-1411,['FY484_RS13950']
TU2G6Z-1412,['FY484_RS13965']
TU2G6Z-1413,"['FY484_RS13980', 'FY484_RS13975']"
TU2G6Z-1414,['FY484_RS13985']
TU2G6Z-1415,['FY484_RS13990']
TU2G6Z-1416,['FY484_RS14010']
TU2G6Z-1417,"['FY484_RS14025', 'FY484_RS14020', 'FY484_RS14015']"
TU2G6Z-1418,['FY484_RS14030']
TU2G6Z-1419,['FY484_RS14045']
TU2G6Z-1420,['FY484_RS14050']
TU2G6Z-1421,"['FY484_RS14060', 'FY484_RS14055']"
TU2G6Z-1422,"['FY484_RS14070', 'FY484_RS14065']"
TU2G6Z-1423,['FY484_RS14075']
TU2G6Z-1424,['FY484_RS14080']
TU2G6Z-1425,"['FY484_RS14105', 'FY484_RS14100', 'FY484_RS14095', 'FY484_RS14090']"
TU2G6Z-1426,['FY484_RS14115']
TU2G6Z-1427,"['FY484_RS14140', 'FY484_RS14135', 'FY484_RS14130', 'FY484_RS14125', 'FY484_RS14120']"
TU2G6Z-1428,['FY484_RS14150']
TU2G6Z-1429,"['FY484_RS14165', 'FY484_RS14160', 'FY484_RS14155']"
TU2G6Z-1430,"['FY484_RS14175', 'FY484_RS14170']"
TU2G6Z-1431,['FY484_RS14185']
TU2G6Z-1432,['FY484_RS14190']
TU2G6Z-1433,['FY484_RS14195']
TU2G6Z-1434,['FY484_RS14205']
TU2G6Z-1435,['FY484_RS14210']
TU2G6Z-1436,['FY484_RS14215']
TU2G6Z-1437,['FY484_RS14230']
TU2G6Z-1438,['FY484_RS14235']
TU2G6Z-1439,['FY484_RS14245']
TU2G6Z-1440,['FY484_RS14250']
TU2G6Z-1441,['FY484_RS14265']
TU2G6Z-1442,['FY484_RS14270']
TU2G6Z-1443,['FY484_RS14275']
TU2G6Z-1444,"['FY484_RS14295', 'FY484_RS14290']"
TU2G6Z-1445,"['FY484_RS14305', 'FY484_RS14300']"
TU2G6Z-1446,['FY484_RS14310']
TU2G6Z-1447,['FY484_RS14325']
TU2G6Z-1448,['FY484_RS14330']
TU2G6Z-1449,"['FY484_RS14395', 'FY484_RS14390', 'FY484_RS14385', 'FY484_RS14380', 'FY484_RS14375', 'FY484_RS14370', 'FY484_RS14365', 'FY484_RS14360', 'FY484_RS14355', 'FY484_RS14350', 'FY484_RS14345', 'FY484_RS14340', 'FY484_RS14335']"
TU2G6Z-1450,['FY484_RS14400']
TU2G6Z-1451,['FY484_RS14405']
TU2G6Z-1452,"['FY484_RS14420', 'FY484_RS14415']"
TU2G6Z-1453,"['FY484_RS14445', 'FY484_RS14440', 'FY484_RS14435', 'FY484_RS14430']"
TU2G6Z-1454,['FY484_RS14460']
TU2G6Z-1455,"['FY484_RS14470', 'FY484_RS14465']"
TU2G6Z-1456,['FY484_RS14475']
TU2G6Z-1457,"['FY484_RS14485', 'FY484_RS14480']"
TU2G6Z-1458,['FY484_RS14490']
TU2G6Z-1459,['FY484_RS14505']
TU2G6Z-1460,['FY484_RS14515']
TU2G6Z-1461,"['FY484_RS14525', 'FY484_RS14520']"
TU2G6Z-1462,['FY484_RS14530']
TU2G6Z-1463,['FY484_RS14535']
TU2G6Z-1464,['FY484_RS14540']
TU2G6Z-1465,"['FY484_RS14570', 'FY484_RS14565', 'FY484_RS14560', 'FY484_RS14555', 'FY484_RS14550', 'FY484_RS14545']"
TU2G6Z-1466,['FY484_RS14575']
TU2G6Z-1467,['FY484_RS14580']
