Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
TM0235-MONOMER	Inner_Membrane	TM0235()	Inner_Membrane	r
TM1429-MONOMER	Inner_Membrane	TM1429()	Inner_Membrane	r
TM0086-MONOMER	Inner_Membrane	TM0086()	Inner_Membrane	r
TM1213-MONOMER	Inner_Membrane	TM1213()	Inner_Membrane	r
TM1089-MONOMER	Inner_Membrane	TM1089()	Inner_Membrane	p
TM1878-MONOMER	Periplasm	TM1878()	Periplasm	s
TM0561-MONOMER	Inner_Membrane	TM0561()	Inner_Membrane	p
TM0893-MONOMER	Inner_Membrane	TM0893()	Inner_Membrane	r
TM0317-MONOMER	Inner_Membrane	TM0317()	Inner_Membrane	r
TM1738-MONOMER	Inner_Membrane	TM1738()	Inner_Membrane	r
TM0076-MONOMER	Periplasm	TM0076()	Periplasm	s
TM0538-MONOMER	Inner_Membrane	TM0538()	Inner_Membrane	r
TM0958-MONOMER	Inner_Membrane	TM0958()	Periplasm	s
TM0955-MONOMER	Inner_Membrane	TM0955()	Inner_Membrane	r
TM1614-MONOMER	Inner_Membrane	TM1614()	Inner_Membrane	r
TM1528-MONOMER	Inner_Membrane	TM1528()	Inner_Membrane	r
TM1057-MONOMER	Inner_Membrane	TM1057()	Inner_Membrane	r
TM1137-MONOMER	Inner_Membrane	TM1137()	Inner_Membrane	p
TM1136-MONOMER	Inner_Membrane	TM1136()	Inner_Membrane	r
TM0724-MONOMER	Inner_Membrane	TM0724()	Inner_Membrane	r
TM1861-MONOMER	Inner_Membrane	TM1861()	Inner_Membrane	r
TM1378-MONOMER	Inner_Membrane	TM1378()	Inner_Membrane	r
TM1377-MONOMER	Inner_Membrane	TM1377()	Inner_Membrane	r
TM1375-MONOMER	Inner_Membrane	TM1375()	Periplasm	s
TM1212-MONOMER	Inner_Membrane	TM1212()	Inner_Membrane	r
TM1262-MONOMER	Inner_Membrane	TM1262()	Inner_Membrane	r
TM0886-MONOMER	Inner_Membrane	TM0886()	Inner_Membrane	s
TM0282-MONOMER	Periplasm	TM0282()	Periplasm	s
TM0590-MONOMER	Inner_Membrane	TM0590()	Inner_Membrane	r
TM1121-MONOMER	Inner_Membrane	TM1121()	Inner_Membrane	r
TM1120-MONOMER	Inner_Membrane	TM1120()	Periplasm	s
TM1122-MONOMER	Inner_Membrane	TM1122()	Inner_Membrane	r
TM0322-MONOMER	Inner_Membrane	TM0322()	Periplasm	s
TM0324-MONOMER	Inner_Membrane	TM0324()	Inner_Membrane	r
TM0080-MONOMER	Inner_Membrane	TM0080()	Periplasm	s
TM0190-MONOMER	Inner_Membrane	TM0190()	Inner_Membrane	r
TM1135-MONOMER	Inner_Membrane	TM1135()	Periplasm	s
TM0125-MONOMER	Inner_Membrane	TM0125()	Inner_Membrane	r
TM0123-MONOMER	Inner_Membrane	TM0123()	Periplasm	s
TM0573-MONOMER	Inner_Membrane	TM0573()	Inner_Membrane	r
TM0156-MONOMER	Periplasm	TM0156()	Periplasm	s
TM0593-MONOMER	Inner_Membrane	TM0593()	Periplasm	s
TM0288-MONOMER	Inner_Membrane	TM0288()	Inner_Membrane	r
TM1149-MONOMER	Inner_Membrane	TM1149()	Inner_Membrane	r
TM1150-MONOMER	Inner_Membrane	TM1150()	Periplasm	s
TM0819-MONOMER	Inner_Membrane	TM0819()	Inner_Membrane	r
TM1747-MONOMER	Inner_Membrane	TM1747()	Inner_Membrane	r
TM1045-MONOMER	Inner_Membrane	TM1045()	Inner_Membrane	r
TM0876-MONOMER	Inner_Membrane	TM0876()	Inner_Membrane	r
TM0402-MONOMER	Inner_Membrane	TM0402()	Inner_Membrane	r
TM0870-MONOMER	Inner_Membrane	TM0870()	Inner_Membrane	r
TM1204-MONOMER	Inner_Membrane	TM1204()	Periplasm	s
TM1203-MONOMER	Inner_Membrane	TM1203()	Inner_Membrane	r
TM1202-MONOMER	Inner_Membrane	TM1202()	Inner_Membrane	r
TM0079-MONOMER	Inner_Membrane	TM0079()	Inner_Membrane	r
TM0051-MONOMER	Inner_Membrane	TM0051()	Inner_Membrane	r
TM1549-MONOMER	Inner_Membrane	TM1549()	Inner_Membrane	r
TM1153-MONOMER	Inner_Membrane	TM1153()	Inner_Membrane	r
TM0485-MONOMER	Inner_Membrane	TM0485()	Inner_Membrane	r
TM1447-MONOMER	Inner_Membrane	TM1447()	Inner_Membrane	r
TM1480-MONOMER	Inner_Membrane	TM1480()	Inner_Membrane	r
TM0860-MONOMER	Inner_Membrane	TM0860()	Inner_Membrane	r
TM0861-MONOMER	Inner_Membrane	TM0861()	Inner_Membrane	r
TM1461-MONOMER	Inner_Membrane	TM1461()	Inner_Membrane	ra
TM0158-MONOMER	Inner_Membrane	TM0158()	Inner_Membrane	r
TM0333-MONOMER	Inner_Membrane	TM0333()	Inner_Membrane	s
TM0208-MONOMER	Membrane	TM0208()	Membrane	s
TM0847-MONOMER	Inner_Membrane	TM0847()	Inner_Membrane	s
TM0938-MONOMER	Inner_Membrane	TM0938()	Inner_Membrane	s
TM1559-MONOMER	Membrane	TM1559()	Membrane	s
TM0506-MONOMER	Membrane	TM0506()	Membrane	s
TM1728-MONOMER	Membrane	TM1728()	Membrane	s
TM1396-MONOMER	Membrane	TM1396()	Membrane	s
TM0478-MONOMER	Membrane	TM0478()	Membrane	s
TM1345-MONOMER	Membrane	TM1345()	Membrane	s
TM0267-MONOMER	Inner_Membrane	TM0267()	Inner_Membrane	s
TM1705-MONOMER	Membrane	TM1705()	Membrane	s
