Reaction,Complexes
ACGK,TM1784-MONOMER
ACCOAC,CPLX_ACCOAC-0
ALCD19,CPLX_ALCD19-0
ACALD,CPLX_ALCD19-0
ACGS,TM1783-MONOMER
ACKr,TM0274-MONOMER_mod_mg2(1)
ACOATA,TM0802-MONOMER
ACLS,CPLX_ACLS-0
ACHBS,CPLX_ACLS-0
ACYP_2,TM1564-MONOMER
DCYTD,TM0846-MONOMER
ADAPAT,TM1785-MONOMER_mod_pydx5p(1)
ADA,TM0936-MONOMER
ADK1,TM1479-MONOMER_mod_mg2(1)
ADK3,TM1689-MONOMER_mod_mg2(1)
CYTD,TM0846-MONOMER
DHPPDA,TM1828-MONOMER
ADMDC,TM0655-MONOMER
ADPT,TM1384-MONOMER_mod_mg2(1) OR TM1384-MONOMER_mod_mn2(1)
BACCL,TM0224-MONOMER
ADSL2r,TM1095-MONOMER
ADSL1r,TM1095-MONOMER
ATPS1,CPLX_ATPS1-0
BGLA1,TM1281-MONOMER
ADSS,TM1096-MONOMER_mod_mg2(1)
BGLA,TM0025-MONOMER OR TM0076-MONOMER
AGDC,TM0814-MONOMER_mod_zn2(1)
BTS3r,TM1269-MONOMER_mod_4fe4s(1)_mod_2fe2s(1)
AGPAT160,TM1693-MONOMER
AGPR,TM1782-MONOMER
CDPMEK,TM1383-MONOMER_mod_mg2(1)
AHCi,TM0172-MONOMER
BUTKr,TM1754-MONOMER OR TM1756-MONOMER
AHCYSNS,TM1129-MONOMER
CBPS,CPLX_CBPS-0_mod_mg2(1) OR CPLX_CBPS-0_mod_mn2(1) OR CPLX_CBPS-0_mod_cobalt2(1) OR CPLX_CBPS-0_mod_cd2(1) OR CPLX_CBPS-0_mod_zn2(1)
CEL6abc,CPLX_CEL6abc-0
CEPA,TM1848-MONOMER
CELabc,CPLX_CEL6abc-0
CELASE2,TM1524-MONOMER
CELASE1,TM1524-MONOMER
AHEXASE3,TM0809-MONOMER
AHMMPS,TM0788-MONOMER
CELLBabc,CPLX_CELLBabc-0 OR CPLX_CEL6abc-0
CHORS,TM0347-MONOMER_mod_fmnh2(1) OR TM0347-MONOMER_mod_fadh2(1)
AHSERL2,TM0882-MONOMER_mod_pydx5p(1)
CRTNh,TM0413-MONOMER
CS,TM0290-MONOMER
AICART,TM1249-MONOMER
CTPS2,TM0803-MONOMER_mod_mg2(1)
CYSS,TM0665-MONOMER_mod_pydx5p(2) OR TM0882-MONOMER_mod_pydx5p(1)
CYSTRS,TM1410-MONOMER OR TM0719-MONOMER_mod_zn2(1)
ALKP,TM0156-MONOMER_mod_zn2(1)_mod_mg2(1)
CYTDK2,TM0751-MONOMER_mod_mg2(1)
AIRCr,CPLX_AIRCr-0
CYTK1,TM1443-MONOMER_mod_mg2(1)
CYTK2,TM1443-MONOMER_mod_mg2(1)
DAPDA,TM1516-MONOMER
DAPDC,TM1517-MONOMER_mod_pydx5p(1)
DAPE,TM1522-MONOMER
DASYN160,TM1397-MONOMER
DB4PS,TM1826-MONOMER_mod_mg2(1)
AKP1,TM0156-MONOMER_mod_zn2(1)_mod_mg2(1)
DCMPDA,TM0404-MONOMER
DDGLK,TM0067-MONOMER
ALAALAr,TM0259-MONOMER
DDPA,TM0343-MONOMER
ALATRS,TM1396-MONOMER_mod_zn2(4)
ALAabc,CPLX_ALAabc-0
ALR2,TM0412-MONOMER_mod_zn2(1)
DDPGA,CPLX_DDPGA-0 OR TM0066-MONOMER
DHAD1,TM0551-MONOMER_mod_4fe4s(1)
DHAD2,TM0551-MONOMER_mod_4fe4s(1)
AMYLe,TM1840-MONOMER
DHDPRx_r,TM1520-MONOMER
DHDPS,TM1521-MONOMER
DHFR,TM1641-MONOMER
DHFS,TM0166-MONOMER
DHORTS,TM0335-MONOMER
APRAUR,TM1828-MONOMER
DHORD_NAD,CPLX_DHORD_NAD-0
DHQTi,TM0349-MONOMER
DHQS,TM0348-MONOMER_mod_cobalt2(1)_mod_nad(1)
AMYe,CPLX_AMYe-0
DMATT,TM0161-MONOMER_mod_mg2(1) OR TM0161-MONOMER_mod_mn2(1)
DNMPPA,TM0317-MONOMER
ARAI,TM0276-MONOMER_mod_mn2(1)
DNTPPA,TM0317-MONOMER
DPCOAK,TM1387-MONOMER
DPR,TM0550-MONOMER_mod_mg2(1)
ANPRT,TM0142-MONOMER OR TM0141-MONOMER
DRBK,TM0960-MONOMER_mod_k(1)_mod_mg2(1)
DRPA,TM1559-MONOMER
ANS,TM0141-MONOMER OR TM0142-MONOMER
DTMPK,TM1099-MONOMER_mod_mg2(1)
ARGSL,TM1781-MONOMER
DURIK1,TM0401-MONOMER_mod_mg2(1)
