Gene Name,Accession-1,Left-End-Position,Right-End-Position,Product,replicon
TM0005,TM0005,3154,5107,TM0005-MONOMER,NC_000853.1
TM0006,TM0006,5103,6141,TM0006-MONOMER,NC_000853.1
TM0007,TM0007,6144,7461,TM0007-MONOMER,NC_000853.1
TM0008,TM0008,7494,8169,TM0008-MONOMER,NC_000853.1
TM0009,TM0009,8204,8633,TM0009-MONOMER,NC_000853.1
TM0010,TM0010,8629,10453,TM0010-MONOMER,NC_000853.1
TM0011,TM0011,10471,10852,TM0011-MONOMER,NC_000853.1
TM0012,TM0012,10854,11343,TM0012-MONOMER,NC_000853.1
TM0013,TM0013,11546,12308,TM0013-MONOMER,NC_000853.1
TM0014,TM0014,12317,13154,TM0014-MONOMER,NC_000853.1
TM0015,TM0015,13244,13823,TM0015-MONOMER,NC_000853.1
TM0016,TM0016,13835,14135,TM0016-MONOMER,NC_000853.1
TM0017,TM0017,14137,15316,TM0017-MONOMER,NC_000853.1
TM0018,TM0018,15330,16305,TM0018-MONOMER,NC_000853.1
TM0019,TM0019,16346,17117,TM0019-MONOMER,NC_000853.1
TM0020,TM0020,17113,17497,TM0020-MONOMER,NC_000853.1
TM0021,TM0021,17493,17802,TM0021-MONOMER,NC_000853.1
TM0022,TM0022,17798,19331,TM0022-MONOMER,NC_000853.1
TM0023,TM0023,19427,21398,TM0023-MONOMER,NC_000853.1
TM0024,TM0024,21458,23384,TM0024-MONOMER,NC_000853.1
TM0025,TM0025,23399,25565,TM0025-MONOMER,NC_000853.1
TM0026,TM0026,25548,25755,TM0026-MONOMER,NC_000853.1
TM0027,TM0027,25754,26561,TM0027-MONOMER,NC_000853.1
TM0028,TM0028,26557,27550,TM0028-MONOMER,NC_000853.1
TM0029,TM0029,27553,28396,TM0029-MONOMER,NC_000853.1
TM0030,TM0030,28399,29416,TM0030-MONOMER,NC_000853.1
TM0031,TM0031,29478,31293,TM0031-MONOMER,NC_000853.1
TM0032,TM0032,31323,32469,TM0032-MONOMER,NC_000853.1
TM0033,TM0033,32887,34015,TM0033-MONOMER,NC_000853.1
TM0034,TM0034,34102,35176,TM0034-MONOMER,NC_000853.1
TM0035,TM0035,35264,36722,TM0035-MONOMER,NC_000853.1
TM0036,TM0036,36718,37243,TM0036-MONOMER,NC_000853.1
TM0037,TM0037,37239,38490,TM0037-MONOMER,NC_000853.1
TM0038,TM0038,38500,38863,TM0038-MONOMER,NC_000853.1
TM0039,TM0039,38859,39639,TM0039-MONOMER,NC_000853.1
TM0040,TM0040,39642,40479,TM0040-MONOMER,NC_000853.1
TM0041,TM0041,40517,40928,TM0041-MONOMER,NC_000853.1
TM0042,TM0042,40911,41991,TM0042-MONOMER,NC_000853.1
TM0043,TM0043,42003,43743,TM0043-MONOMER,NC_000853.1
TM_RS00200,TM_RS00200,43827,44376,TM_RS00200-MONOMER,NC_000853.1
TM0045,TM0045,44433,44652,TM0045-MONOMER,NC_000853.1
TM0047,TM0047,44789,46007,TM0047-MONOMER,NC_000853.1
TM0048,TM0048,45991,46201,TM0048-MONOMER,NC_000853.1
TM0049,TM0049,46295,47081,TM0049-MONOMER,NC_000853.1
TM0050,TM0050,47181,47646,TM0050-MONOMER,NC_000853.1
TM0051,TM0051,47614,49624,TM0051-MONOMER,NC_000853.1
TM0052,TM0052,49620,49953,TM0052-MONOMER,NC_000853.1
TM0053,TM0053,49949,51044,TM0053-MONOMER,NC_000853.1
TM0054,TM0054,51040,51631,TM0054-MONOMER,NC_000853.1
TM0055,TM0055,51631,53656,TM0055-MONOMER,NC_000853.1
TM0056,TM0056,53712,55686,TM0056-MONOMER,NC_000853.1
TM0057,TM0057,55699,56716,TM0057-MONOMER,NC_000853.1
TM0058,TM0058,56712,57708,TM0058-MONOMER,NC_000853.1
TM0059,TM0059,57721,58810,TM0059-MONOMER,NC_000853.1
TM0060,TM0060,58838,59825,TM0060-MONOMER,NC_000853.1
TM0061,TM0061,60143,63323,TM0061-MONOMER,NC_000853.1
TM0062,TM0062,63378,63918,TM0062-MONOMER,NC_000853.1
TM0063,TM0063,63964,64411,TM0063-MONOMER,NC_000853.1
TM0064,TM0064,64422,65778,TM0064-MONOMER,NC_000853.1
TM0065,TM0065,65879,66620,TM0065-MONOMER,NC_000853.1
TM0066,TM0066,66688,67300,TM0066-MONOMER,NC_000853.1
TM0067,TM0067,67296,68316,TM0067-MONOMER,NC_000853.1
TM0068,TM0068,68328,69948,TM0068-MONOMER,NC_000853.1
TM0069,TM0069,69944,71027,TM0069-MONOMER,NC_000853.1
TM0070,TM0070,71048,72092,TM0070-MONOMER,NC_000853.1
TM0071,TM0071,72311,74189,TM0071-MONOMER,NC_000853.1
TM0072,TM0072,74265,75273,TM0072-MONOMER,NC_000853.1
TM0073,TM0073,75289,76144,TM0073-MONOMER,NC_000853.1
TM0074,TM0074,76145,77153,TM0074-MONOMER,NC_000853.1
TM0075,TM0075,77139,78102,TM0075-MONOMER,NC_000853.1
TM0076,TM0076,78139,80476,TM0076-MONOMER,NC_000853.1
TM0077,TM0077,80480,81458,TM0077-MONOMER,NC_000853.1
TM0078,TM0078,81440,82211,TM0078-MONOMER,NC_000853.1
TM0079,TM0079,82212,83181,TM0079-MONOMER,NC_000853.1
TM0080,TM0080,83177,84071,TM0080-MONOMER,NC_000853.1
TM0081,TM0081,84319,84769,TM0081-MONOMER,NC_000853.1
TM0082,TM0082,84773,85688,TM0082-MONOMER,NC_000853.1
TM0083,TM0083,85693,88270,TM0083-MONOMER,NC_000853.1
TM0084,TM0084,88367,88718,TM0084-MONOMER,NC_000853.1
TM0085,TM0085,88714,88993,TM0085-MONOMER,NC_000853.1
TM0086,TM0086,89060,90482,TM0086-MONOMER,NC_000853.1
TM0087,TM0087,90462,91296,TM0087-MONOMER,NC_000853.1
TM0088,TM0088,91292,95141,TM0088-MONOMER,NC_000853.1
TM0089,TM0089,95156,95618,TM0089-MONOMER,NC_000853.1
TM0090,TM0090,95614,96031,TM0090-MONOMER,NC_000853.1
TM0091,TM0091,96027,96576,TM0091-MONOMER,NC_000853.1
TM0092,TM0092,96547,97441,TM0092-MONOMER,NC_000853.1
TM0093,TM0093,97529,97913,TM0093-MONOMER,NC_000853.1
TM0094,TM0094,97909,99109,TM0094-MONOMER,NC_000853.1
TM0095,TM0095,99110,99581,TM0095-MONOMER,NC_000853.1
TM0096,TM0096,99583,100504,TM0096-MONOMER,NC_000853.1
TM0097,TM0097,100493,101111,TM0097-MONOMER,NC_000853.1
TM0098,TM0098,101067,102375,TM0098-MONOMER,NC_000853.1
TM0099,TM0099,102371,103136,TM0099-MONOMER,NC_000853.1
TM0100,TM0100,103126,105193,TM0100-MONOMER,NC_000853.1
TM0101,TM0101,105243,107112,TM0101-MONOMER,NC_000853.1
TM0102,TM0102,107108,108188,TM0102-MONOMER,NC_000853.1
TM0103,TM0103,108223,109747,TM0103-MONOMER,NC_000853.1
TM0104,TM0104,109743,110778,TM0104-MONOMER,NC_000853.1
TM0105,TM0105,110774,111734,TM0105-MONOMER,NC_000853.1
TM0106,TM0106,111715,112900,TM0106-MONOMER,NC_000853.1
TM0107,TM0107,112976,113549,TM0107-MONOMER,NC_000853.1
TM0108,TM0108,113549,114815,TM0108-MONOMER,NC_000853.1
TM0109,TM0109,114795,115758,TM0109-MONOMER,NC_000853.1
TM0110,TM0110,115865,117002,TM0110-MONOMER,NC_000853.1
TM0111,TM0111,117015,118179,TM0111-MONOMER,NC_000853.1
TM0112,TM0112,118191,119145,TM0112-MONOMER,NC_000853.1
