,value
ala__L_c,TM1396-MONOMER_mod_zn2(4)
arg__L_c,TM1093-MONOMER_mod_mg2(1)
asn__L_c,CPLX_dummy
asp__L_c,TM1441-MONOMER
cys__L_c,TM0719-MONOMER_mod_zn2(1)
gln__L_c,CPLX_dummy
glu__L_c,generic_glu_ligase
gly_c,CPLX-tRNA-GLY-LIGASE
his__L_c,TM1090-MONOMER_mod_mg2(4)
ile__L_c,TM1361-MONOMER_mod_zn2(2)
leu__L_c,TM0168-MONOMER
lys__L_c,TM1705-MONOMER_mod_mg2(6)
met__L_c,TM1085-MONOMER_mod_zn2(2)
phe__L_c,CPLX-tRNA-PHE-LIGASE_mod_mg2(1)
pro__L_c,TM0514-MONOMER
ser__L_c,TM1379-MONOMER_mod_mg2(1)
thr__L_c,TM0740-MONOMER_mod_zn2(1)
trp__L_c,TM0492-MONOMER_mod_mg2(1)
tyr__L_c,TM0478-MONOMER
val__L_c,TM1817-MONOMER_mod_mg2(1)
