Modified_enzyme,Core_enzyme,Modifications,Source
RNAP-CPLX_mod_zn2(1)_mod_mg2(2),RNAP-CPLX,zn2(1) AND mg2(2),RNA_Polymerase
TM0017-MONOMER_mod_thmpp(1),TM0017-MONOMER,thmpp(1),Homology
TM0040-MONOMER_mod_mg2(1),TM0040-MONOMER,mg2(1),Homology
TM0041-MONOMER_mod_mg2(1),TM0041-MONOMER,mg2(1),Homology
TM0064-MONOMER_mod_zn2(1),TM0064-MONOMER,zn2(1),Homology
TM0097-MONOMER_mod_mg2(1),TM0097-MONOMER,mg2(1),Homology
TM0100-MONOMER_mod_mg2(1),TM0100-MONOMER,mg2(1),Homology
TM0116-MONOMER_mod_mg2(1),TM0116-MONOMER,mg2(1),Homology
TM0156-MONOMER_mod_zn2(1)_mod_mg2(1),TM0156-MONOMER,zn2(1) AND mg2(1),Homology
TM0159-MONOMER_mod_mg2(1),TM0159-MONOMER,mg2(1),Homology
TM0161-MONOMER_mod_mg2(1),TM0161-MONOMER,mg2(1),Homology
TM0161-MONOMER_mod_mn2(1),TM0161-MONOMER,mn2(1),Homology
TM0167-MONOMER_mod_mn2(1),TM0167-MONOMER,mn2(1),Homology
TM0208-MONOMER_mod_mg2(1)_mod_k(1),TM0208-MONOMER,mg2(1) AND k(1),Homology
TM0208-MONOMER_mod_mn2(1)_mod_k(1),TM0208-MONOMER,mn2(1) AND k(1),Homology
TM0209-MONOMER_mod_mg2(1),TM0209-MONOMER,mg2(1),Homology
TM0225-MONOMER_mod_pydx5p(1),TM0225-MONOMER,pydx5p(1),Homology
TM0231-MONOMER_mod_mg2(1),TM0231-MONOMER,mg2(1),Homology
TM0234-MONOMER_mod_k(1)_mod_mg2(1),TM0234-MONOMER,k(1) AND mg2(1),Homology
TM0240-MONOMER_mod_mg2(1),TM0240-MONOMER,mg2(1),Homology
TM0268-MONOMER_mod_zn2(1)_mod_cbl1(1),TM0268-MONOMER,zn2(1) AND cbl1(1),Homology
TM0274-MONOMER_mod_mg2(1),TM0274-MONOMER,mg2(1),Homology
TM0276-MONOMER_mod_mn2(1),TM0276-MONOMER,mn2(1),Homology
TM0288-MONOMER_mod_mg2(1),TM0288-MONOMER,mg2(1),Homology
TM0294-MONOMER_mod_mg2(1),TM0294-MONOMER,mg2(1),Homology
TM0307-MONOMER_mod_mn2(1),TM0307-MONOMER,mn2(1),Homology
TM0333-MONOMER_mod_fmn(1),TM0333-MONOMER,fmn(1),Homology
TM0347-MONOMER_mod_fmnh2(1),TM0347-MONOMER,fmnh2(1),Homology
TM0347-MONOMER_mod_fadh2(1),TM0347-MONOMER,fadh2(1),Homology
TM0348-MONOMER_mod_cobalt2(1)_mod_nad(1),TM0348-MONOMER,cobalt2(1) AND nad(1),Homology
TM0356-MONOMER_mod_pydx5p(1),TM0356-MONOMER,pydx5p(1),Homology
TM0401-MONOMER_mod_mg2(1),TM0401-MONOMER,mg2(1),Homology
TM0412-MONOMER_mod_zn2(1),TM0412-MONOMER,zn2(1),Homology
TM0444-MONOMER_mod_mg2(1),TM0444-MONOMER,mg2(1),Homology
TM0444-MONOMER_mod_mn2(1),TM0444-MONOMER,mn2(1),Homology
TM0444-MONOMER_mod_cobalt2(1),TM0444-MONOMER,cobalt2(1),Homology
TM0457-MONOMER_mod_acetyl(1),TM0457-MONOMER,acetyl(1),Homology
TM0462-MONOMER_mod_mg2(1),TM0462-MONOMER,mg2(1),Homology
TM0492-MONOMER_mod_mg2(1),TM0492-MONOMER,mg2(1),Homology
TM0509-MONOMER_mod_nad(1),TM0509-MONOMER,nad(1),Homology
TM0525-MONOMER_mod_mg2(2),TM0525-MONOMER,mg2(2),Homology
TM0528-MONOMER_mod_mg2(1)_mod_k(1),TM0528-MONOMER,mg2(1) AND k(1),Homology
TM0541-MONOMER_mod_4fe4s(1),TM0541-MONOMER,4fe4s(1),Homology
TM0542-MONOMER_mod_mn2(1),TM0542-MONOMER,mn2(1),Homology
TM0542-MONOMER_mod_mg2(1),TM0542-MONOMER,mg2(1),Homology
