name	description	subsystems	is_reversible	is_spontaneous
ACALDtpp	acetaldehyde reversible transport (periplasm)	Transport, Inner Membrane	True	True
ACONIs	aconitate isomerase (spontaneous)	Transport, Inner Membrane	True	True
AOBUTDs	L-2-amino-3-oxobutanoate decarboxylation (spontaneous)	Transport, Inner Membrane	False	True
ARBTNexs	aerobactin Fe-loading reaction (spontaneous)	Transport, Inner Membrane	False	True
ATPHs	ATP amine hydrolysis (spontaneous)	Transport, Inner Membrane	False	True
CBMD	carbamate deaminase	Transport, Inner Membrane	False	True
CO2tpp	CO2 transporter via diffusion (periplasm)	Transport, Inner Membrane	True	True
CPGNexs	coprogen Fe-loading reaction (spontaneaous)	Transport, Inner Membrane	False	True
DATPHs	dATP amine hydrolysis (spontaneous)	Transport, Inner Membrane	False	True
DHPTDCs2	4,5-dihydroxy-2,3-pentanedione cyclization (spontaneous)	Transport, Inner Membrane	False	True
DMSOtpp	Dimethyl sulfoxide transport via diffusion (periplasm)	Transport, Inner Membrane	True	True
ETOHtrpp	ethanol reversible transport via diffusion (periplasm)	Transport, Inner Membrane	True	True
FALDtpp	formaldehyde transport via diffusion (periplasm)	Transport, Inner Membrane	True	True
FALGTHLs	formaldehyde glutathione ligase (spontaneous)	Transport, Inner Membrane	True	True
FE3HOXexs	Fe(III) hydroxamate Fe-loading reaction (spontaneaous)	Transport, Inner Membrane	False	True
FECRMexs	ferrichrome Fe(III)-loading reaction (spontaneous)	Transport, Inner Membrane	False	True
FEENTERexs	enterobactin Fe(III) binding (spontaneous)	Transport, Inner Membrane	False	True
FEOXAMexs	ferroxamine Fe3-loading reaction (spontaneous)	Transport, Inner Membrane	False	True
G5SADs	L-glutamate 5-semialdehyde dehydratase (spontaneous)	Transport, Inner Membrane	False	True
GTPHs	GTP amine hydrolysis (spontaneous)	Transport, Inner Membrane	False	True
H2St1pp	h2s transport (periplasm)	Transport, Inner Membrane	False	True
H2tpp	hydrogen transport diffusion (periplasm)	Transport, Inner Membrane	True	True
MEOHtrpp	Methanol reversible transport via diffusion (periplasm)	Transport, Inner Membrane	True	True
METOX1s	methionine oxidation (spontaneous)	Transport, Inner Membrane	False	True
METOX2s	methionine oxidation 2 (spontaneous)	Transport, Inner Membrane	False	True
