Reaction	Metabolites	Stoichiometry
# NiFe(CO)(CN)2 cofactor synthesis, step 2: Replacement of HypC by HipD
HypC_replacement	hypD_mono_mod_4fe4s(1)	-1
HypC_replacement	HypC_dim_mod_fe2(1)_mod_co2(1)	-1
HypC_replacement	hypCD_mod_4fe4s(1)_mod_FeCO(1)	1
HypC_replacement	protein_b2728	1

# NiFe(CO)(CN)2 cofactor synthesis, step 3: Transfer of CN to HypE, catalized by HypF
CBPT	cbp_c	-1
CBPT	atp_c	-2
CBPT	h2o_c	-1
CBPT	hypE	-1
CBPT	pi_c	2
CBPT	amp_c	1
CBPT	ppi_c	1
CBPT	adp_c	1
CBPT	hypE_mod_cn(1)	1

# NiFe(CO)(CN)2 cofactor synthesis, step 4: Transfer of CN from HypE to HypCD
HypEF_transfer	hypCD_mod_4fe4s(1)_mod_FeCO(1)	-1
HypEF_transfer	hypE_mod_cn(1)	-2
HypEF_transfer	hypCDE_mod_4fe4s(1)_mod_FeCO[CN]2(1)	1

# NiFe(CO)(CN)2 cofactor synthesis, step 5: Transfer of FeCO(CN)2 from HypCD to Hox
HypC_transfer	hypCDE_mod_4fe4s(1)_mod_FeCO[CN]2(1)	-1
HypC_transfer	CPLX0-250_FORMATEDEHYDROGH-MONOMER	-1
HypC_transfer	CPLX0-250_FORMATEDEHYDROGH-MONOMER_mod_FeCO[CN]2(1)	1
HypC_transfer	protein_b2728	1
HypC_transfer	protein_b2729	1
HypC_transfer	4fe4s	1
#HypC_transfer	hypD_mono_mod_4fe4s(1)	1
HypC_transfer	protein_b2730	2

# NiFe(CO)(CN)2 cofactor synthesis, step 6: Loading of Nickel into HypAB
HypAB_Ni_loading	hypAB	-1
HypAB_Ni_loading	ni2_c	-1
HypAB_Ni_loading	gtp_c	-1
HypAB_Ni_loading	h2o_c	-1
HypAB_Ni_loading	hypAB_mod_ni2(1)	1
HypAB_Ni_loading	gdp_c	1
HypAB_Ni_loading	pi_c	1

# NiFe(CO)(CN)2 cofactor synthesis, step 7: Transfer of Nickel from HypAB to CPLX0-250_FORMATEDEHYDROGH-MONOMER (Final step)
CPLX0-250_FORMATEDEHYDROGH-MONOMER_Ni_loading	CPLX0-250_FORMATEDEHYDROGH-MONOMER_mod_FeCO[CN]2(1)	-1
CPLX0-250_FORMATEDEHYDROGH-MONOMER_Ni_loading	hypAB_mod_ni2(1)	-1
CPLX0-250_FORMATEDEHYDROGH-MONOMER_Ni_loading	CPLX0-250_FORMATEDEHYDROGH-MONOMER_mod_NiFe_cofactor(1)	1
