id	me_id	name	formula	compartment	type
# Correct these metabolites with new formulas
	tl	thallium ion	Tl		CORRECTION
	cs	cesium ion	Cs		CORRECTION
	hemed	heme D	C34H32N4O6Fe		CORRECTION
	pqq	pyrroloquinoline quinone	C14H3N2O8		CORRECTION

# Modifications in other proteins. These formulas are needed to recalculate correctly the formulas of the complexes.
	tl	thallium ion	Tl		COFACTOR
	cs	cesium ion	Cs		COFACTOR
	pqq	pyrroloquinoline quinone	C14H3N2O8		COFACTOR
	lipoyl	Lipoyl moiety	C8H11OS2		COFACTOR
	dpm	Dipyrromethane	C20H20N2O8		COFACTOR
	cn	coordinated cyanide	CN		COFACTOR
	FeCO	coordinated iron and carbon dioxide	FeCO		COFACTOR
	FeCO[CN]2	coordinated iron, carbon monoxide, and cyanide	FeCOC2N2		COFACTOR
	NiFe_cofactor	[NiFe]-dehydrogenase cofactor	NiFeCOC2N2		COFACTOR
	23bpg	2,3-Bisphospho-D-glycerate	C3H3O10P2	Cytoplasm	COFACTOR

	acetyl	Acetyl	C2H2O		COFACTOR
	hemed	heme D	C34H32N4O6Fe		COFACTOR
	SH	Sulfur in an [enzyme]-S-sulfanylcysteine	S		COFACTOR
	3fe4s	[3Fe-4S] cluster	Fe3S4		COFACTOR
	2fe1s	[2Fe-1S] cluster	Fe2S1		COFACTOR

	coo	coordinated carbon dioxide	CO2		COFACTOR
	amp	Adenosine 5'-monophosphate	C10H12N5O6P		COFACTOR

# Modifications in the acyl-carrier protein. These formulas are needed to recalculate correctly the formulas of the ACP complexes.
	pan4p	Pantetheine 4'-phosphate (-H2O)	C11H20N2O6PS		COFACTOR
	3ha	(R)-3-Hydroxybutanoyl	C4H6O2		COFACTOR
#	3hbut	(R)-3-Hydroxybutanoyl	C4H6O2		COFACTOR
	3hcddec5e	(R)-3-hydroxy-cis-dodec-5-enoyl	C12H20O2		COFACTOR
	3hcmrs7e	(R)-3-hydroxy-cis-myristol-7-eoyl	C14H24O2		COFACTOR
	3hcpalm9e	(R)-3-hydroxy-cis-palm-9-eoyl	C16H28O2		COFACTOR
	3hcvac11e	(R)-3-hydroxy-cis-vacc-11-enoyl	C18H32O2		COFACTOR
	3hddec	(R)-3-Hydroxydodecanoyl	C12H22O2		COFACTOR
	3hdec	(R)-3-Hydroxydecanoyl	C10H18O2		COFACTOR
	3hhex	(R)-3-Hydroxyhexanoyl	C6H10O2		COFACTOR
	3hmrs	(R)-3-Hydroxytetradecanoyl	C14H26O2		COFACTOR
	3hoct	(R)-3-Hydroxyoctanoyl	C8H14O2		COFACTOR
	3hocta	(R)-3-Hydroxyoctadecanoyl	C18H34O2		COFACTOR
	3hpalm	(R)-3-hydroxypalmitoyl	C16H30O2		COFACTOR
	3ocddec5e	3-oxo-cis-dodec-5-enoyl	C12H18O2		COFACTOR
	3ocmrs7e	3-oxo-cis-myristol-7-eoyl	C14H22O2		COFACTOR
	3ocpalm9e	3-oxo-cis-palm-9-eoyl	C16H26O2		COFACTOR
	3ocvac11e	3-oxo-cis-vacc-11-enoyl	C18H30O2		COFACTOR
	3oddec	3-Oxododecanoyl	C12H20O2		COFACTOR
	3odec	3-Oxodecanoyl	C10H16O2		COFACTOR
	3ohex	3-Oxohexanoyl	C6H8O2		COFACTOR
	3omrs	3-Oxotetradecanoyl	C14H24O2		COFACTOR
	3ooct	3-Oxooctanoyl	C8H12O2		COFACTOR
	3ooctd	3-Oxooctadecanoyl	C18H32O2		COFACTOR
	3opalm	3-Oxohexadecanoyl	C16H28O2		COFACTOR
	ac	Acetyl	C2H2O		COFACTOR
	act	Acetoacetyl	C4H4O2		COFACTOR
	but2e	But-2-enoyl	C4H4O		COFACTOR
	but	Butyryl	C4H6O		COFACTOR
	cddec5e	Cis-dodec-5-enoyl	C12H20O		COFACTOR
	cdec3e	Cis-dec-3-enoyl	C10H16O		COFACTOR
	dca	Decanoyl	C10H18O		COFACTOR
	ddca	Dodecanoyl	C12H22O		COFACTOR
	egme	Enoylglutaryl methyl ester	C6H6O3		COFACTOR
	epme	Enoylpimeloyl methyl ester	C8H10O3		COFACTOR
	gme	Glutaryl methyl ester	C6H8O3		COFACTOR
	hde	Cis-hexadec-9-enoyl	C16H28O		COFACTOR
#	hdece	(9Z)-Hexadec-9-enoyl	C16H28O		COFACTOR
	hex	Hexanoyl	C6H10O		COFACTOR
	hgme	3-Hydroxyglutaryl methyl ester	C6H8O4		COFACTOR
	hpme	3-Hydroxypimeloyl methyl ester	C8H12O4		COFACTOR
	mal	Malonyl	C3H2O3		COFACTOR
	myrs	Myristoyl	C14H26O		COFACTOR
	oc	Octanoyl	C8H14O		COFACTOR
	octa	Octanoyl	C8H14O		COFACTOR
	ocdca	Octadecanoyl	C18H34O		COFACTOR
	octe	11Z-octadecenoyl	C18H32O		COFACTOR
#	octe_6_9_12_15_	6Z,9Z,12Z,15Z-octadecatetraenoyl	C18H26O		COFACTOR
#	octe_6_9_12_	6Z-9Z,12Z-octadecatrienoyl	C18H28O		COFACTOR
#	octe_9_12_15_	9Z,12Z,15Z-octadecatrienoyl	C18H28O		COFACTOR
#	octe_9_12_	9Z,12Z-octadecadienoyl	C18H30O		COFACTOR
#	octe_9_	9Z-octadecenoyl	C18H32O		COFACTOR
	ogme	3-Oxo-glutaryl methyl ester	C6H6O4		COFACTOR
	opme	3-Oxo-pimeloyl methyl ester	C8H10O4		COFACTOR
	palm	Hexadecanoyl	C16H30O		COFACTOR
	pim	Pimeloyl	C7H10O3		COFACTOR
	pme	Pimeloyl methyl ester	C8H12O3		COFACTOR
	t3c11vace	Trans-3-cis-11-vacceoyl	C18H30O		COFACTOR
	t3c5ddece	Trans-3-cis-5-dodecenoyl	C12H18O		COFACTOR
	t3c7mrse	Trans-3-cis-7-myristoleoyl	C14H22O		COFACTOR
	t3c9palme	Trans-3-cis-9-palmitoleoyl	C16H26O		COFACTOR
	tddec2e	Trans-Dodec-2-enoyl	C12H20O		COFACTOR
	tde	Cis-tetradec-7-enoyl	C14H24O		COFACTOR
	tdec2e	Trans-Dec-2-enoyl	C10H16O		COFACTOR
	thex2e	Trans-Hex-2-enoyl	C6H8O		COFACTOR
	tmrs2e	Trans-Tetradec-2-enoyl	C14H24O		COFACTOR
