Transcription-Units	Genes of transcription unit	Direction
TU1OEB-1356	USA300HOU_RS12985	-
TU1OEB-512	USA300HOU_RS04310	-
TU1OEB-157	USA300HOU_RS01310 // USA300HOU_RS01305	+
TU1OEB-947	USA300HOU_RS08940	-
TU1OEB-1082	USA300HOU_RS10215	+
TU1OEB-1838	USA300HOU_RS04365	-
TU1OEB-187	USA300HOU_RS01615	+
TU1OEB-1714	USA300HOU_RS09110	-
TU1OEB-925	USA300HOU_RS08745 // USA300HOU_RS08740 // USA300HOU_RS08735 // USA300HOU_RS08730 // USA300HOU_RS08725 // USA300HOU_RS08720 // USA300HOU_RS08715	-
TU1OEB-1566	USA300HOU_RS15665	-
TU1OEB-313	USA300HOU_RS02820 // USA300HOU_RS02815	+
TU1OEB-1334	USA300HOU_RS12805	-
TU1OEB-411	USA300HOU_RS03590 // USA300HOU_RS03585	+
TU1OEB-1210	USA300HOU_RS11570 // USA300HOU_RS11565	-
TU1OEB-1677	USA300HOU_RS10580	+
TU1OEB-1866	USA300HOU_RS02725	-
TU1OEB-1446	USA300HOU_RS13790	+
TU1OEB-564	USA300HOU_RS04805	+
TU1OEB-1689	USA300HOU_RS15415	+
TU1OEB-709	USA300HOU_RS06305 // USA300HOU_RS06300	+
TU1OEB-1680	USA300HOU_RS10550	-
TU1OEB-1030	USA300HOU_RS09635	-
TU1OEB-419	USA300HOU_RS03640	+
TU1OEB-1204	USA300HOU_RS11505	-
TU1OEB-1352	USA300HOU_RS12950 // USA300HOU_RS12945 // USA300HOU_RS12940 // USA300HOU_RS12935 // USA300HOU_RS12930	-
TU1OEB-802	USA300HOU_RS07250 // USA300HOU_RS07245 // USA300HOU_RS07240	-
TU1OEB-1252	USA300HOU_RS11930	-
TU1OEB-244	USA300HOU_RS02125	+
TU1OEB-575	USA300HOU_RS04915	+
TU1OEB-1577	USA300HOU_RS15605	+
TU1OEB-405	USA300HOU_RS03525 // USA300HOU_RS03520	+
TU1OEB-1262	USA300HOU_RS12035 // USA300HOU_RS12030 // USA300HOU_RS12025 // USA300HOU_RS12020	-
TU1OEB-1322	USA300HOU_RS12685	+
TU1OEB-1081	USA300HOU_RS10210 // USA300HOU_RS10205	+
TU1OEB-80	USA300HOU_RS00535	+
TU1OEB-113	USA300HOU_RS00865 // USA300HOU_RS00860 // USA300HOU_RS00855 // USA300HOU_RS00850 // USA300HOU_RS00845 // USA300HOU_RS00840 // USA300HOU_RS00835 // USA300HOU_RS00830 // USA300HOU_RS00825 // USA300HOU_RS00820 // USA300HOU_RS00815 // USA300HOU_RS00810 // USA300HOU_RS00805 // USA300HOU_RS00800	+
TU1OEB-133	USA300HOU_RS01070 // USA300HOU_RS01065 // USA300HOU_RS01060 // USA300HOU_RS01055	+
TU1OEB-579	USA300HOU_RS15220	+
TU1OEB-1440	USA300HOU_RS13755	-
TU1OEB-328	USA300HOU_RS02900	+
TU1OEB-1307	USA300HOU_RS12550 // USA300HOU_RS12545	+
TU1OEB-1330	USA300HOU_RS12775 // USA300HOU_RS12770	-
TU1OEB-997	USA300HOU_RS09355	-
TU1OEB-588	USA300HOU_RS05030	+
TU1OEB-1928	USA300HOU_RS15655	+
TU1OEB-1852	USA300HOU_RS03555	-
TU1OEB-596	USA300HOU_RS05110 // USA300HOU_RS05105	+
TU1OEB-1693	USA300HOU_RS10185	+
TU1OEB-1919	USA300HOU_RS14925	-
TU1OEB-1849	USA300HOU_RS03710	-
TU1OEB-813	USA300HOU_RS07360	-
TU1OEB-565	USA300HOU_RS04810	+
TU1OEB-1626	USA300HOU_RS12755	-
TU1OEB-304	USA300HOU_RS02735 // USA300HOU_RS02730	+
TU1OEB-1733	USA300HOU_RS08350	+
TU1OEB-1218	USA300HOU_RS11620	-
TU1OEB-107	USA300HOU_RS00765	+
TU1OEB-403	USA300HOU_RS03510 // USA300HOU_RS03505 // USA300HOU_RS03500	+
TU1OEB-1244	USA300HOU_RS11855	-
TU1OEB-1189	USA300HOU_RS11325	-
TU1OEB-426	USA300HOU_RS03695	-
TU1OEB-124	USA300HOU_RS00950 // USA300HOU_RS00945	+
TU1OEB-143	USA300HOU_RS01180	-
TU1OEB-1871	USA300HOU_RS02260	-
TU1OEB-292	USA300HOU_RS02570	+
TU1OEB-1147	USA300HOU_RS10900	-
TU1OEB-1646	USA300HOU_RS15515	-
TU1OEB-915	USA300HOU_RS08625 // USA300HOU_RS08620	-
TU1OEB-1288	USA300HOU_RS12425	-
TU1OEB-1025	USA300HOU_RS15375	-
TU1OEB-174	USA300HOU_RS01445	+
TU1OEB-615	USA300HOU_RS05350 // USA300HOU_RS05345 // USA300HOU_RS05340 // USA300HOU_RS05335 // USA300HOU_RS05330 // USA300HOU_RS05325 // USA300HOU_RS05320 // USA300HOU_RS05315 // USA300HOU_RS05310 // USA300HOU_RS05305 // USA300HOU_RS05300	+
TU1OEB-601	USA300HOU_RS05165	-
TU1OEB-205	USA300HOU_RS01775	+
TU1OEB-357	USA300HOU_RS03100	+
TU1OEB-1345	USA300HOU_RS12890	+
TU1OEB-1348	USA300HOU_RS12905	+
TU1OEB-44	USA300HOU_RS00255	+
TU1OEB-1172	USA300HOU_RS11150	-
TU1OEB-92	USA300HOU_RS00625 // USA300HOU_RS00620 // USA300HOU_RS00615 // USA300HOU_RS00610 // USA300HOU_RS00605	+
TU1OEB-1846	USA300HOU_RS04045	-
TU1OEB-116	USA300HOU_RS00885 // USA300HOU_RS00880	-
TU1OEB-88	USA300HOU_RS00580	-
TU1OEB-1298	USA300HOU_RS12485	-
TU1OEB-577	USA300HOU_RS04945	+
TU1OEB-1454	USA300HOU_RS13860	-
TU1OEB-1203	USA300HOU_RS11490	-
TU1OEB-1415	USA300HOU_RS13545	-
TU1OEB-105	USA300HOU_RS00755	-
TU1OEB-1660	USA300HOU_RS11520	+
TU1OEB-15	USA300HOU_RS00010	+
TU1OEB-1077	USA300HOU_RS10175	-
TU1OEB-1396	USA300HOU_RS13375 // USA300HOU_RS13370 // USA300HOU_RS13365 // USA300HOU_RS13360 // USA300HOU_RS13355 // USA300HOU_RS13350	-
TU1OEB-1796	USA300HOU_RS05630	-
TU1OEB-202	USA300HOU_RS01745	+
TU1OEB-485	USA300HOU_RS04130 // USA300HOU_RS04125 // USA300HOU_RS04120 // USA300HOU_RS04115	+
TU1OEB-1182	USA300HOU_RS11255	-
TU1OEB-1286	USA300HOU_RS12375	-
TU1OEB-243	USA300HOU_RS02120	+
TU1OEB-1168	USA300HOU_RS11120	-
TU1OEB-1432	USA300HOU_RS13670	+
TU1OEB-1747	USA300HOU_RS07795	+
TU1OEB-1727	USA300HOU_RS08640	+
TU1OEB-1805	USA300HOU_RS05525	+
TU1OEB-1095	USA300HOU_RS10355	-
TU1OEB-1705	USA300HOU_RS09450	+
