,query,evalue
Rv0001,b3702,3.44e-97
Rv0002,b3701,3.47e-36
Rv0003,b3700,1.63e-26
Rv0005,b3699,0.0
Rv0006,b2231,0.0
Rv0009,b0525,4.53e-19
Rv0013,b3360,4.67e-60
Rv0016c,b0635,5.6e-23
Rv0032,b3617,4.42e-62
Rv0038,b2948,1.02e-15
Rv0041,b0642,4.42e-179
Rv0050,b0149,3.41e-38
Rv0053,b4200,4.01e-15
Rv0054,b4059,2.44e-17
Rv0055,b4202,8.82e-17
Rv0056,b4203,7.78e-25
Rv0058,b4052,9.81e-83
Rv0069c,b1814,3.96e-144
Rv0070c,b2551,8.07e-150
Rv0082,b2719,8.089999999999999e-38
Rv0083,b2482,1.42e-77
Rv0084,b2722,4.26e-44
Rv0086,b2486,2.9000000000000002e-77
Rv0087,b2721,1.9299999999999999e-53
Rv0089,b0777,8.82e-12
Rv0091,b0159,8.63e-23
Rv0113,b0222,9.26e-39
Rv0114,b0200,5.19e-22
Rv0117,b3961,4.36e-17
Rv0118c,b2373,0.0
Rv0137c,b4219,1.79e-36
Rv0143c,b0155,2.45e-17
Rv0144,b1618,1.83e-11
Rv0149,b3253,2.8e-19
Rv0155,b1603,1.7e-87
Rv0157,b1602,1.15e-119
Rv0181c,b3439,5.67e-43
Rv0183,b1410,4.69e-15
Rv0186,b2132,6.1e-63
Rv0189c,b3771,1.44e-129
Rv0191,b1528,1.1800000000000001e-29
Rv0194,b0448,5.1800000000000005e-80
Rv0205,b3474,3.92e-19
Rv0208c,b2960,2.4e-40
Rv0212c,b4390,6.439999999999999e-38
Rv0223c,b0312,3.44e-103
Rv0230c,b3379,3.16e-34
Rv0234c,b1525,1.77e-126
Rv0237,b1107,1.02e-21
Rv0243,b2342,2.61e-78
Rv0252,b3365,0.0
Rv0253,b3366,6.09e-23
Rv0254c,b1993,2.2100000000000002e-29
Rv0263c,b0712,2.31e-40
Rv0264c,b0711,3.23e-26
Rv0267,b1223,3.06e-96
Rv0294,b1519,3.62e-59
Rv0321,b2065,1.1399999999999998e-42
