,name,genes,source
JCVISYN3A_0913-MONOMER,Tetracycline resistance ribosomal protection protein,JCVISYN3A_0913(),GenBank
JCVISYN3A_0025-MONOMER,30S ribosomal protein S18,JCVISYN3A_0025(),GenBank
JCVISYN3A_0027-MONOMER,30S ribosomal protein S6,JCVISYN3A_0027(),GenBank
JCVISYN3A_0082-MONOMER,30S ribosomal protein S20,JCVISYN3A_0082(),GenBank
JCVISYN3A_0137-MONOMER,50S ribosomal protein L31,JCVISYN3A_0137(),GenBank
JCVISYN3A_0148-MONOMER,30S ribosomal protein S12,JCVISYN3A_0148(),GenBank
JCVISYN3A_0149-MONOMER,30S ribosomal protein S7,JCVISYN3A_0149(),GenBank
JCVISYN3A_0198-MONOMER,50S ribosomal protein L20,JCVISYN3A_0198(),GenBank
JCVISYN3A_0199-MONOMER,50S ribosomal protein L35,JCVISYN3A_0199(),GenBank
JCVISYN3A_0238-MONOMER,30S ribosomal protein S4,JCVISYN3A_0238(),GenBank
JCVISYN3A_0294-MONOMER,30S ribosomal protein S15,JCVISYN3A_0294(),GenBank
JCVISYN3A_0362-MONOMER,30S ribosomal protein S16,JCVISYN3A_0362(),GenBank
JCVISYN3A_0365-MONOMER,50S ribosomal protein L19,JCVISYN3A_0365(),GenBank
JCVISYN3A_0422-MONOMER,50S ribosomal protein L28,JCVISYN3A_0422(),GenBank
JCVISYN3A_0482-MONOMER,30S ribosomal protein S21,JCVISYN3A_0482(),GenBank
JCVISYN3A_0499-MONOMER,50S ribosomal protein L27,JCVISYN3A_0499(),GenBank
JCVISYN3A_0500-MONOMER,Maturation protease for ribosomal protein L27,JCVISYN3A_0500(),GenBank
JCVISYN3A_0501-MONOMER,50S ribosomal protein L21,JCVISYN3A_0501(),GenBank
JCVISYN3A_0930-MONOMER,50S ribosomal protein L33,JCVISYN3A_0930(),GenBank
JCVISYN3A_0526-MONOMER,50S ribosomal protein L32,JCVISYN3A_0526(),GenBank
JCVISYN3A_0540-MONOMER,30S ribosomal protein S2,JCVISYN3A_0540(),GenBank
JCVISYN3A_0637-MONOMER,30S ribosomal protein S9,JCVISYN3A_0637(),GenBank
JCVISYN3A_0638-MONOMER,50S ribosomal protein L13,JCVISYN3A_0638(),GenBank
JCVISYN3A_0644-MONOMER,50S ribosomal protein L17,JCVISYN3A_0644(),GenBank
JCVISYN3A_0646-MONOMER,30S ribosomal protein S11,JCVISYN3A_0646(),GenBank
JCVISYN3A_0647-MONOMER,30S ribosomal protein S13,JCVISYN3A_0647(),GenBank
JCVISYN3A_0648-MONOMER,50S ribosomal protein L36,JCVISYN3A_0648(),GenBank
JCVISYN3A_0653-MONOMER,50S ribosomal protein L15,JCVISYN3A_0653(),GenBank
JCVISYN3A_0654-MONOMER,30S ribosomal protein S5,JCVISYN3A_0654(),GenBank
JCVISYN3A_0655-MONOMER,50S ribosomal protein L18,JCVISYN3A_0655(),GenBank
JCVISYN3A_0656-MONOMER,50S ribosomal protein L6,JCVISYN3A_0656(),GenBank
JCVISYN3A_0657-MONOMER,30S ribosomal protein S8,JCVISYN3A_0657(),GenBank
JCVISYN3A_0658-MONOMER,30S ribosomal protein S14,JCVISYN3A_0658(),GenBank
JCVISYN3A_0659-MONOMER,50S ribosomal protein L5,JCVISYN3A_0659(),GenBank
JCVISYN3A_0660-MONOMER,50S ribosomal protein L24,JCVISYN3A_0660(),GenBank
JCVISYN3A_0661-MONOMER,50S ribosomal protein L14,JCVISYN3A_0661(),GenBank
JCVISYN3A_0662-MONOMER,30S ribosomal protein S17,JCVISYN3A_0662(),GenBank
JCVISYN3A_0663-MONOMER,50S ribosomal protein L29,JCVISYN3A_0663(),GenBank
JCVISYN3A_0664-MONOMER,50S ribosomal protein L16,JCVISYN3A_0664(),GenBank
JCVISYN3A_0665-MONOMER,30S ribosomal protein S3,JCVISYN3A_0665(),GenBank
JCVISYN3A_0666-MONOMER,50S ribosomal protein L22,JCVISYN3A_0666(),GenBank
JCVISYN3A_0667-MONOMER,30S ribosomal protein S19,JCVISYN3A_0667(),GenBank
JCVISYN3A_0668-MONOMER,50S ribosomal protein L2,JCVISYN3A_0668(),GenBank
JCVISYN3A_0669-MONOMER,50S ribosomal protein L23,JCVISYN3A_0669(),GenBank
JCVISYN3A_0670-MONOMER,50S ribosomal protein L4,JCVISYN3A_0670(),GenBank
JCVISYN3A_0671-MONOMER,50S ribosomal protein L3,JCVISYN3A_0671(),GenBank
JCVISYN3A_0672-MONOMER,30S ribosomal protein S10,JCVISYN3A_0672(),GenBank
JCVISYN3A_0806-MONOMER,50S ribosomal protein L7/L12,JCVISYN3A_0806(),GenBank
JCVISYN3A_0807-MONOMER,50S ribosomal protein L10,JCVISYN3A_0807(),GenBank
JCVISYN3A_0809-MONOMER,50S ribosomal protein L1,JCVISYN3A_0809(),GenBank
JCVISYN3A_0810-MONOMER,50S ribosomal protein L11,JCVISYN3A_0810(),GenBank
JCVISYN3A_0833-MONOMER,50S ribosomal protein L9,JCVISYN3A_0833(),GenBank
JCVISYN3A_0932-MONOMER,50S ribosomal protein L33,JCVISYN3A_0932(),GenBank
JCVISYN3A_0910-MONOMER,50S ribosomal protein L34,JCVISYN3A_0910(),GenBank
