Gene Name,Accession-1,Left-End-Position,Right-End-Position,Product,replicon
JCVISYN3A_0001,JCVISYN3A_0001,0,1353,JCVISYN3A_0001-MONOMER,CP016816.2
JCVISYN3A_0002,JCVISYN3A_0002,1510,2638,JCVISYN3A_0002-MONOMER,CP016816.2
JCVISYN3A_0003,JCVISYN3A_0003,2674,3217,JCVISYN3A_0003-MONOMER,CP016816.2
JCVISYN3A_0004,JCVISYN3A_0004,3206,4007,JCVISYN3A_0004-MONOMER,CP016816.2
JCVISYN3A_0005,JCVISYN3A_0005,4063,5155,JCVISYN3A_0005-MONOMER,CP016816.2
JCVISYN3A_0006,JCVISYN3A_0006,5514,7419,JCVISYN3A_0006-MONOMER,CP016816.2
JCVISYN3A_0007,JCVISYN3A_0007,7434,9939,JCVISYN3A_0007-MONOMER,CP016816.2
JCVISYN3A_0008,JCVISYN3A_0008,9990,10968,JCVISYN3A_0008-MONOMER,CP016816.2
JCVISYN3A_0009,JCVISYN3A_0009,10967,13535,JCVISYN3A_0009-MONOMER,CP016816.2
JCVISYN3A_0010,JCVISYN3A_0010,13524,15141,JCVISYN3A_0010-MONOMER,CP016816.2
JCVISYN3A_0011,JCVISYN3A_0011,15152,16799,JCVISYN3A_0011-MONOMER,CP016816.2
JCVISYN3A_0012,JCVISYN3A_0012,16985,18515,JCVISYN3A_0012-MONOMER,CP016816.2
JCVISYN3A_0918,JCVISYN3A_0918,18715,19378,JCVISYN3A_0918-MONOMER,CP016816.2
JCVISYN3A_0913,JCVISYN3A_0913,20415,22335,JCVISYN3A_0913-MONOMER,CP016816.2
JCVISYN3A_0025,JCVISYN3A_0025,22768,22996,JCVISYN3A_0025-MONOMER,CP016816.2
JCVISYN3A_0026,JCVISYN3A_0026,23015,23456,JCVISYN3A_0026-MONOMER,CP016816.2
JCVISYN3A_0027,JCVISYN3A_0027,23467,23881,JCVISYN3A_0027-MONOMER,CP016816.2
JCVISYN3A_0029,JCVISYN3A_0029,24272,24872,JCVISYN3A_0029-MONOMER,CP016816.2
JCVISYN3A_0030,JCVISYN3A_0030,24908,25943,JCVISYN3A_0030-MONOMER,CP016816.2
JCVISYN3A_0033,JCVISYN3A_0033,26203,29362,JCVISYN3A_0033-MONOMER,CP016816.2
JCVISYN3A_0034,JCVISYN3A_0034,29508,34896,JCVISYN3A_0034-MONOMER,CP016816.2
JCVISYN3A_0039,JCVISYN3A_0039,35061,37008,JCVISYN3A_0039-MONOMER,CP016816.2
JCVISYN3A_0040,JCVISYN3A_0040,37239,38445,JCVISYN3A_0040-MONOMER,CP016816.2
JCVISYN3A_0042,JCVISYN3A_0042,38447,39275,JCVISYN3A_0042-MONOMER,CP016816.2
JCVISYN3A_0043,JCVISYN3A_0043,39326,40049,JCVISYN3A_0043-MONOMER,CP016816.2
JCVISYN3A_0044,JCVISYN3A_0044,40048,40789,JCVISYN3A_0044-MONOMER,CP016816.2
JCVISYN3A_0045,JCVISYN3A_0045,40766,41408,JCVISYN3A_0045-MONOMER,CP016816.2
JCVISYN3A_0046,JCVISYN3A_0046,41410,42001,JCVISYN3A_0046-MONOMER,CP016816.2
JCVISYN3A_0047,JCVISYN3A_0047,42002,44009,JCVISYN3A_0047-MONOMER,CP016816.2
JCVISYN3A_0049,JCVISYN3A_0049,44177,44273,JCVISYN3A_0049-ncRNA,CP016816.2
JCVISYN3A_0051,JCVISYN3A_0051,44396,45011,JCVISYN3A_0051-MONOMER,CP016816.2
JCVISYN3A_0054,JCVISYN3A_0054,45292,45742,JCVISYN3A_0054-MONOMER,CP016816.2
JCVISYN3A_0060,JCVISYN3A_0060,46273,47098,JCVISYN3A_0060-MONOMER,CP016816.2
JCVISYN3A_0061,JCVISYN3A_0061,47180,48449,JCVISYN3A_0061-MONOMER,CP016816.2
JCVISYN3A_0063,JCVISYN3A_0063,48558,49533,JCVISYN3A_0063-MONOMER,CP016816.2
JCVISYN3A_0064,JCVISYN3A_0064,49535,51038,JCVISYN3A_0064-MONOMER,CP016816.2
JCVISYN3A_0065,JCVISYN3A_0065,51127,51436,JCVISYN3A_0065-MONOMER,CP016816.2
JCVISYN3A_0066,JCVISYN3A_0066,51446,52289,JCVISYN3A_0066-MONOMER,CP016816.2
JCVISYN3A_0067,JCVISYN3A_0067,52409,52518,JCVISYN3A_0067-rRNA,CP016816.2
JCVISYN3A_0068,JCVISYN3A_0068,52579,55493,JCVISYN3A_0068-rRNA,CP016816.2
JCVISYN3A_0069,JCVISYN3A_0069,55712,57247,JCVISYN3A_0069-rRNA,CP016816.2
JCVISYN3A_0070,JCVISYN3A_0070,57524,57608,JCVISYN3A_0070-tRNA,CP016816.2
JCVISYN3A_0071,JCVISYN3A_0071,57610,57686,JCVISYN3A_0071-tRNA,CP016816.2
JCVISYN3A_0076,JCVISYN3A_0076,58155,59520,JCVISYN3A_0076-MONOMER,CP016816.2
JCVISYN3A_0077,JCVISYN3A_0077,59528,60368,JCVISYN3A_0077-MONOMER,CP016816.2
JCVISYN3A_0079,JCVISYN3A_0079,60403,61360,JCVISYN3A_0079-MONOMER,CP016816.2
JCVISYN3A_0080,JCVISYN3A_0080,61454,61676,JCVISYN3A_0080-MONOMER,CP016816.2
JCVISYN3A_0081,JCVISYN3A_0081,61875,63234,JCVISYN3A_0081-MONOMER,CP016816.2
JCVISYN3A_0082,JCVISYN3A_0082,63284,63530,JCVISYN3A_0082-MONOMER,CP016816.2
JCVISYN3A_0094,JCVISYN3A_0094,63663,64380,JCVISYN3A_0094-MONOMER,CP016816.2
JCVISYN3A_0095,JCVISYN3A_0095,64494,67329,JCVISYN3A_0095-MONOMER,CP016816.2
JCVISYN3A_0097,JCVISYN3A_0097,67493,68405,JCVISYN3A_0097-MONOMER,CP016816.2
JCVISYN3A_0105,JCVISYN3A_0105,68808,69024,JCVISYN3A_0105-MONOMER,CP016816.2
JCVISYN3A_0106,JCVISYN3A_0106,69013,70423,JCVISYN3A_0106-MONOMER,CP016816.2
JCVISYN3A_0107,JCVISYN3A_0107,70424,70823,JCVISYN3A_0107-MONOMER,CP016816.2
JCVISYN3A_0108,JCVISYN3A_0108,70834,71947,JCVISYN3A_0108-MONOMER,CP016816.2
JCVISYN3A_0109,JCVISYN3A_0109,71972,72842,JCVISYN3A_0109-MONOMER,CP016816.2
JCVISYN3A_0113,JCVISYN3A_0113,73087,74437,JCVISYN3A_0113-MONOMER,CP016816.2
JCVISYN3A_0114,JCVISYN3A_0114,74510,75431,JCVISYN3A_0114-MONOMER,CP016816.2
JCVISYN3A_0115,JCVISYN3A_0115,75878,76751,JCVISYN3A_0115-MONOMER,CP016816.2
JCVISYN3A_0116,JCVISYN3A_0116,76935,77376,JCVISYN3A_0116-MONOMER,CP016816.2
JCVISYN3A_0117,JCVISYN3A_0117,77445,78207,JCVISYN3A_0117-MONOMER,CP016816.2
JCVISYN3A_0126,JCVISYN3A_0126,78402,79854,JCVISYN3A_0126-MONOMER,CP016816.2
JCVISYN3A_0127,JCVISYN3A_0127,79856,81071,JCVISYN3A_0127-MONOMER,CP016816.2
JCVISYN3A_0128,JCVISYN3A_0128,81096,81525,JCVISYN3A_0128-MONOMER,CP016816.2
JCVISYN3A_0129,JCVISYN3A_0129,81616,83215,JCVISYN3A_0129-MONOMER,CP016816.2
JCVISYN3A_0131,JCVISYN3A_0131,83503,84397,JCVISYN3A_0131-MONOMER,CP016816.2
JCVISYN3A_0132,JCVISYN3A_0132,84545,85607,JCVISYN3A_0132-MONOMER,CP016816.2
JCVISYN3A_0133,JCVISYN3A_0133,85599,87873,JCVISYN3A_0133-MONOMER,CP016816.2
JCVISYN3A_0137,JCVISYN3A_0137,88732,89011,JCVISYN3A_0137-MONOMER,CP016816.2
JCVISYN3A_0138,JCVISYN3A_0138,89083,90982,JCVISYN3A_0138-MONOMER,CP016816.2
JCVISYN3A_0139,JCVISYN3A_0139,90991,91942,JCVISYN3A_0139-MONOMER,CP016816.2
JCVISYN3A_0140,JCVISYN3A_0140,91943,92573,JCVISYN3A_0140-MONOMER,CP016816.2
JCVISYN3A_0141,JCVISYN3A_0141,92575,93670,JCVISYN3A_0141-MONOMER,CP016816.2
JCVISYN3A_0142,JCVISYN3A_0142,93662,94511,JCVISYN3A_0142-MONOMER,CP016816.2
JCVISYN3A_0143,JCVISYN3A_0143,94519,95992,JCVISYN3A_0143-MONOMER,CP016816.2
JCVISYN3A_0144,JCVISYN3A_0144,96000,96501,JCVISYN3A_0144-MONOMER,CP016816.2
JCVISYN3A_0145,JCVISYN3A_0145,96615,97530,JCVISYN3A_0145-MONOMER,CP016816.2
JCVISYN3A_0146,JCVISYN3A_0146,97758,98466,JCVISYN3A_0146-MONOMER,CP016816.2
JCVISYN3A_0147,JCVISYN3A_0147,98465,99995,JCVISYN3A_0147-MONOMER,CP016816.2
JCVISYN3A_0148,JCVISYN3A_0148,100118,100538,JCVISYN3A_0148-MONOMER,CP016816.2
JCVISYN3A_0149,JCVISYN3A_0149,100624,101092,JCVISYN3A_0149-MONOMER,CP016816.2
JCVISYN3A_0150,JCVISYN3A_0150,101116,103186,JCVISYN3A_0150-MONOMER,CP016816.2
JCVISYN3A_0151,JCVISYN3A_0151,103317,104505,JCVISYN3A_0151-MONOMER,CP016816.2
JCVISYN3A_0158,JCVISYN3A_0158,104781,105192,JCVISYN3A_0158-tmRNA,CP016816.2
JCVISYN3A_0163,JCVISYN3A_0163,105430,108121,JCVISYN3A_0163-MONOMER,CP016816.2
JCVISYN3A_0164,JCVISYN3A_0164,108194,108689,JCVISYN3A_0164-MONOMER,CP016816.2
JCVISYN3A_0165,JCVISYN3A_0165,108906,110151,JCVISYN3A_0165-MONOMER,CP016816.2
