,name,genes,source
JCVISYN3A_0001-MONOMER,Chromosomal replication initiator protein,JCVISYN3A_0001(),GenBank
JCVISYN3A_0002-MONOMER,DNA polymerase III subunit beta,JCVISYN3A_0002(),GenBank
JCVISYN3A_0003-MONOMER,Ribonuclease M5,JCVISYN3A_0003(),GenBank
JCVISYN3A_0004-MONOMER,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase,JCVISYN3A_0004(1),GenBank
JCVISYN3A_0005-MONOMER,Uncharacterized protein,JCVISYN3A_0005(),GenBank
JCVISYN3A_0006-MONOMER,DNA gyrase subunit B,JCVISYN3A_0006(),GenBank
JCVISYN3A_0007-MONOMER,DNA gyrase subunit A,JCVISYN3A_0007(),GenBank
JCVISYN3A_0008-MONOMER,Nucleoside ABC transporter permease,JCVISYN3A_0008(),GenBank
JCVISYN3A_0009-MONOMER,Nucleoside ABC transporter permease,JCVISYN3A_0009(),GenBank
JCVISYN3A_0010-MONOMER,Nucleoside ABC transporter ATP-binding protein,JCVISYN3A_0010(),GenBank
JCVISYN3A_0011-MONOMER,Nucleoside ABC transporter substrate-binding protein,JCVISYN3A_0011(),GenBank
JCVISYN3A_0012-MONOMER,Methionine--tRNA ligase,JCVISYN3A_0012(2),GenBank
JCVISYN3A_0918-MONOMER,Imidazoleglycerol-phosphate dehydratase,JCVISYN3A_0918(2),GenBank
JCVISYN3A_0913-MONOMER,Tetracycline resistance ribosomal protection protein,JCVISYN3A_0913(),GenBank
JCVISYN3A_0025-MONOMER,30S ribosomal protein S18,JCVISYN3A_0025(1),GenBank
JCVISYN3A_0026-MONOMER,Single-stranded DNA-binding protein,JCVISYN3A_0026(),GenBank
JCVISYN3A_0027-MONOMER,30S ribosomal protein S6,JCVISYN3A_0027(),GenBank
JCVISYN3A_0029-MONOMER,Uncharacterized FMN-dependent NADH-azoreductase,JCVISYN3A_0029(),GenBank
JCVISYN3A_0030-MONOMER,Uncharacterized ABC transporter ATP-binding protein,JCVISYN3A_0030(),GenBank
JCVISYN3A_0033-MONOMER,Uncharacterized protein,JCVISYN3A_0033(),GenBank
JCVISYN3A_0034-MONOMER,Uncharacterized efflux ABC transporter permease,JCVISYN3A_0034(),GenBank
