,query,evalue
BSU00010,YPO4097,6.62e-135
BSU00020,YPO4096,5.03e-43
BSU00040,YPO4095,1.69e-33
BSU00060,YPO4094,0.0
BSU00070,YPO1216,0.0
BSU00090,YPO2871,0.0
BSU00130,YPO1379,3.36e-156
BSU00180,YPO2923,1.78e-45
BSU00190,YPO3122,4.4600000000000006e-79
BSU00200,YPO3121,1.72e-12
BSU00210,YPO3120,5.49e-58
BSU00280,YPO1605,2.79e-31
BSU00340,YPO2709,9.66e-11
BSU00360,YPO3547,8.18e-63
BSU00380,YPO1522,4.78e-83
BSU00390,YPO1607,5.1e-68
BSU00420,YPO0492,3.47e-45
BSU00460,YPO2014,1.11e-25
BSU00480,YPO0627,2.7299999999999996e-42
BSU00500,YPO4119,1.05e-121
BSU00510,YPO2013,3.96e-113
BSU00530,YPO2011,4.2000000000000004e-29
BSU00550,YPO1625,0.0
BSU00580,YPO3378,5.98e-64
BSU00670,YPO1062,1.45e-25
BSU00680,YPO3408,4.7399999999999996e-60
BSU00690,YPO3502,0.0
BSU00710,YPO0139,3.75e-21
BSU00730,YPO2992,9.89e-91
BSU00740,YPO1773,2.27e-78
BSU00750,YPO0169,1.54e-84
BSU00770,YPO3501,4.6399999999999994e-67
BSU00790,YPO3400,1.3099999999999999e-30
BSU00810,YPO3655,5.65e-74
BSU00820,YPO0888,0.0
BSU00860,YPO3275,0.0
BSU00870,YPO0443,2.3e-145
BSU00900,YPO3361,3.28e-36
BSU00910,YPO3360,1.39e-62
BSU00920,YPO2984,2.24e-115
BSU00930,YPO0070,9.09e-47
BSU00940,YPO3073,3.49e-139
BSU00960,YPO0381,6.5100000000000005e-59
BSU01010,YPO3752,2.7899999999999998e-52
BSU01020,YPO3751,1.65e-65
BSU01030,YPO3750,6.929999999999999e-74
BSU01040,YPO3749,5.850000000000001e-27
BSU01050,YPO3748,5.33e-26
BSU01060,YPO0427,6.35e-14
BSU01070,YPO3747,0.0
BSU01080,YPO3746,0.0
BSU01100,YPO0200,1.9599999999999998e-61
BSU01110,YPO0201,4.509999999999999e-68
BSU01120,YPO0202,0.0
BSU01130,YPO3754,0.0
BSU01150,YPO0209,2.05e-47
BSU01160,YPO0210,2.9999999999999998e-61
BSU01170,YPO0211,9.01e-50
BSU01190,YPO0213,2.66e-116
BSU01200,YPO0214,9.42e-45
BSU01210,YPO0215,2.7400000000000002e-36
BSU01220,YPO0216,5.3299999999999995e-90
BSU01230,YPO0217,5.98e-55
BSU01250,YPO0219,5.78e-27
BSU01260,YPO0220,1.04e-52
BSU01270,YPO0221,9.13e-25
BSU01280,YPO0222,3.46e-80
BSU01300,YPO0223,4.5299999999999994e-42
BSU01310,YPO0224,4.81e-56
BSU01320,YPO0225,2.79e-28
BSU01330,YPO0226,3.4e-59
BSU01350,YPO0228,7.6e-38
BSU01360,YPO0229,9.599999999999999e-91
BSU01370,YPO3118,1.36e-65
BSU01380,YPO1043,8.420000000000001e-75
BSU01390,YPO1370,8.41e-35
BSU01410,YPO0231,4.04e-49
BSU01420,YPO0232,9.31e-59
BSU01430,YPO0234,9.650000000000001e-88
BSU01440,YPO0235,8.94e-29
BSU01480,YPO2766,4.72e-41
BSU01490,YPO3563,9.6e-59
BSU01500,YPO3562,1.51e-46
BSU01540,YPO1523,2.3900000000000003e-59
BSU01640,YPO3619,9.05e-14
BSU01660,YPO0616,4.2300000000000004e-27
BSU01690,YPO2926,3.6300000000000003e-37
BSU01700,YPO2925,7.74e-107
BSU01730,YPO2711,1.3700000000000001e-27
BSU01770,YPO3500,1.92e-120
BSU01780,YPO4118,2.57e-139
BSU01820,YPO0072,7.38e-32
BSU02060,YPO3854,0.0
BSU02140,YPO4007,4.29e-92
BSU02230,YPO1775,1.38e-155
BSU02280,YPO2767,1.79e-14
BSU02290,YPO0364,2.2199999999999997e-23
BSU02320,YPO0456,3.74e-23
BSU02330,YPO2451,4.53e-46
BSU02370,YPO3456,6.13e-17
BSU02390,YPO3899,2.6e-35
BSU02650,YPO2703,1.73e-76
BSU02690,YPO1386,5.439999999999999e-91
BSU02770,YPO2806,1.4999999999999999e-61
BSU02900,YPO0298,2.4399999999999997e-81
BSU02950,YPO1932,3.32e-47
BSU02980,YPO2647,3.48e-133
BSU02990,YPO2646,1.34e-81
BSU03130,YPO2912,2.22e-14
BSU03150,YPO0151,4.4e-22
BSU03160,YPO3218,3.5299999999999997e-38
BSU03210,YPO1851,1.02e-78
BSU03220,YPO1853,3.03e-173
BSU03300,YPO0161,9.66e-164
BSU03360,YPO1277,1.43e-12
BSU03470,YPO1646,3.12e-17
BSU03520,YPO1908,8.65e-33
BSU03590,YPO1848,3e-93
BSU03600,YPO1847,7.83e-65
BSU03610,YPO1846,1.12e-44
BSU03630,YPO2773,3.5e-65
BSU03640,YPO3769,2.4900000000000003e-58
BSU03670,YPO2361,4e-62
BSU03750,YPO0136,8.45e-55
BSU03790,YPO0459,2.11e-43
BSU03800,YPO4023,3.0999999999999996e-89
BSU03810,YPO4024,1.52e-75
BSU03820,YPO4025,4.11e-102
BSU03830,YPO4022,2.36e-65
BSU03900,YPO2844,4.11e-117
BSU03910,YPO3687,3.5400000000000004e-124
BSU03981,YPO4068,0.0
BSU03990,YPO4067,5.36e-109
BSU04000,YPO2496,3.68e-125
BSU04050,YPO2700,7.04e-96
BSU04080,YPO2698,6.03e-49
BSU04090,YPO2699,5.42e-62
BSU04100,YPO1714,9.5e-31
BSU04140,YPO2604,6.570000000000001e-47
BSU04150,YPO2375,1.68e-107
BSU04260,YPO2165,1.01e-104
BSU04300,YPO1953,1.3799999999999999e-30
BSU04340,YPO1358,5.8e-117
BSU04360,YPO2982,2.09e-129
BSU04440,YPO1579,3.6700000000000006e-21
BSU04470,YPO3992,5.57e-155
BSU04560,YPO0557,3.25e-53
BSU04570,YPO0551,1.8800000000000002e-59
BSU04580,YPO3488,4.6200000000000006e-129
BSU04620,YPO2929,2.42e-22
BSU04780,YPO0134,0.0
BSU05120,YPO2595,2.0299999999999998e-24
BSU05170,YPO1737,4.22e-14
BSU05310,YPO3263,6.34e-81
BSU05330,YPO3346,6.97e-13
BSU05340,YPO3347,1.2600000000000001e-167
BSU05470,YPO0077,5.88e-13
BSU05620,YPO1859,5.16e-178
BSU05680,YPO1267,4.1099999999999994e-67
BSU05700,YPO3651,2.74e-17
BSU05740,YPO2298,2.66e-41
BSU05900,YPO3180,2.28e-53
BSU05910,YPO0369,3.01e-26
BSU05920,YPO2072,1.25e-18
BSU05930,YPO0429,1.16e-20
BSU05940,YPO0646,6.849999999999999e-89
BSU05960,YPO1160,1.06e-47
BSU05990,YPO3776,3.5e-36
BSU06020,YPO0350,2.01e-20
BSU06030,YPO0351,0.0
BSU06100,YPO0387,2.92e-11
BSU06160,YPO0995,5.23e-63
BSU06180,YPO2351,5.66e-12
BSU06300,YPO0673,6.34e-29
BSU06360,YPO2870,0.0
BSU06420,YPO3076,1.16e-52
BSU06430,YPO3077,1.2299999999999999e-46
BSU06440,YPO1636,1.1900000000000001e-26
BSU06450,YPO3059,8.390000000000001e-64
BSU06480,YPO2921,1.1199999999999999e-28
BSU06490,YPO2772,2.93e-104
BSU06500,YPO2828,4.6200000000000004e-123
BSU06510,YPO2829,1.2e-40
BSU06520,YPO3728,0.0
BSU06530,YPO3729,1.6599999999999999e-150
BSU06550,YPO0655,1.09e-28
BSU06610,YPO3841,0.0
BSU06620,YPO2989,0.0
BSU06650,YPO2332,4.36e-25
BSU06680,YPO3261,1.4300000000000001e-59
BSU06710,YPO2849,2.01e-95
BSU06720,YPO2856,1.41e-39
BSU06730,YPO1336,5.66e-45
BSU06970,YPO1719,2.49e-33
BSU06980,YPO1722,1.1399999999999999e-98
BSU06990,YPO1721,2.1e-72
BSU07270,YPO3115,1.5e-80
BSU07320,YPO3093,3.28e-101
BSU07330,YPO2295,8.499999999999999e-38
BSU07370,YPO1419,1.33e-122
BSU07390,YPO3085,1.01e-13
BSU07570,YPO0081,1.1e-105
BSU07640,YPO1446,5.03e-15
BSU07800,YPO3697,2.66e-122
BSU07810,YPO3696,0.0
BSU07840,YPO3530,8.169999999999999e-176
BSU07910,YPO1380,2.49e-13
BSU08000,YPO3837,1.76e-13
BSU08010,YPO1834,4.8e-13
BSU08100,YPO2914,7.790000000000001e-71
BSU08190,YPO1253,3.4e-18
BSU08310,YPO3406,2.1800000000000003e-56
BSU08480,YPO2163,2.43e-13
BSU08510,YPO2778,4.65e-55
BSU08630,YPO0952,4.69e-63
BSU08720,YPO3064,3.9300000000000005e-37
BSU08790,YPO3739,0.0
BSU08800,YPO0308,7.359999999999999e-23
BSU08820,YPO1207,0.0
BSU08830,YPO0183,6.43e-55
BSU08840,YPO3624,7.499999999999999e-45
BSU08850,YPO3626,3.8600000000000004e-77
