Complex,Complex_compartment,Protein,Protein_compartment,translocase_pathway
CLJU_RS00005-MONOMER,Plasma_Membrane,CLJU_c00010(),Plasma_Membrane,s
CLJU_RS00850-MONOMER,Plasma_Membrane,CLJU_c01750(),Plasma_Membrane,s
CLJU_RS01005-MONOMER,Cell_Wall,CLJU_c02060(),Cell_Wall,s
CLJU_RS20520-MONOMER,Plasma_Membrane,CLJU_c41650(),Plasma_Membrane,s
CLJU_RS20475-MONOMER,Plasma_Membrane,CLJU_c41560(),Plasma_Membrane,s
CLJU_RS20460-MONOMER,Plasma_Membrane,CLJU_c41530(),Plasma_Membrane,s
CLJU_RS20115-MONOMER,Plasma_Membrane,CLJU_c40840(),Plasma_Membrane,s
CLJU_RS20070-MONOMER,Plasma_Membrane,CLJU_c40750(),Plasma_Membrane,s
CLJU_RS20065-MONOMER,Plasma_Membrane,CLJU_c40740(),Plasma_Membrane,s
CLJU_RS20060-MONOMER,Plasma_Membrane,CLJU_c40730(),Plasma_Membrane,s
CLJU_RS19925-MONOMER,Plasma_Membrane,CLJU_c40460(),Plasma_Membrane,s
CLJU_RS08795-MONOMER,Plasma_Membrane,CLJU_c17900(),Plasma_Membrane,s
CLJU_RS01425-MONOMER,Plasma_Membrane,CLJU_c02910(),Plasma_Membrane,s
CLJU_RS19685-MONOMER,Plasma_Membrane,CLJU_c39960(),Plasma_Membrane,s
CLJU_RS00340-MONOMER,Plasma_Membrane,CLJU_c00710(),Plasma_Membrane,s
CLJU_RS10705-MONOMER,Plasma_Membrane,CLJU_c21810(),Plasma_Membrane,s
CLJU_RS10205-MONOMER,Plasma_Membrane,CLJU_c20780(),Plasma_Membrane,s
CLJU_RS13890-MONOMER,Plasma_Membrane,CLJU_c28120(),Plasma_Membrane,s
CLJU_RS09120-MONOMER,Plasma_Membrane,CLJU_c18590(),Plasma_Membrane,s
CLJU_RS03195-MONOMER,Plasma_Membrane,CLJU_c06500(),Plasma_Membrane,s
CLJU_RS02290-MONOMER,Plasma_Membrane,CLJU_c04680(),Plasma_Membrane,s
CLJU_RS07385-MONOMER,Plasma_Membrane,CLJU_c15070(),Plasma_Membrane,s
CLJU_RS18655-MONOMER,Plasma_Membrane,CLJU_c37880(),Plasma_Membrane,s
CPLX_ZNabc-3,Plasma_Membrane,CLJU_c37880(),Plasma_Membrane,s
CLJU_RS15665-MONOMER,Plasma_Membrane,CLJU_c31790(),Plasma_Membrane,s
CPLX_ZNabc-0,Plasma_Membrane,CLJU_c31790(),Plasma_Membrane,s
CPLX_ZNabc-1,Plasma_Membrane,CLJU_c31790(),Plasma_Membrane,s
CPLX_ZNabc-2,Plasma_Membrane,CLJU_c31790(),Plasma_Membrane,s
CPLX_ZNabc-3,Plasma_Membrane,CLJU_c31790(),Plasma_Membrane,s
CLJU_RS15670-MONOMER,Plasma_Membrane,CLJU_c31800(),Plasma_Membrane,s
CPLX_ZNabc-0,Plasma_Membrane,CLJU_c31800(),Plasma_Membrane,s
CPLX_ZNabc-1,Plasma_Membrane,CLJU_c31800(),Plasma_Membrane,s
CPLX_ZNabc-2,Plasma_Membrane,CLJU_c31800(),Plasma_Membrane,s
CPLX_ZNabc-3,Plasma_Membrane,CLJU_c31800(),Plasma_Membrane,s
CLJU_RS10380-MONOMER,Plasma_Membrane,CLJU_c21140(),Plasma_Membrane,s
CLJU_RS13120-MONOMER,Plasma_Membrane,CLJU_c26620(),Plasma_Membrane,s
CLJU_RS18645-MONOMER,Plasma_Membrane,CLJU_c37860(),Plasma_Membrane,s
CLJU_RS18650-MONOMER,Plasma_Membrane,CLJU_c37870(),Plasma_Membrane,s
CLJU_RS10135-MONOMER,Plasma_Membrane,CLJU_c20640(),Plasma_Membrane,s
CLJU_RS02965-MONOMER,Plasma_Membrane,CLJU_c06030(),Plasma_Membrane,s
CLJU_RS12575-MONOMER,Plasma_Membrane,CLJU_c25520(),Plasma_Membrane,s
CLJU_RS03285-MONOMER,Plasma_Membrane,CLJU_c06680(),Plasma_Membrane,s
CPLX271D-27,Plasma_Membrane,CLJU_c06670(),Plasma_Membrane,s
CLJU_RS03280-MONOMER,Plasma_Membrane,CLJU_c06670(),Plasma_Membrane,s
CLJU_RS19185-MONOMER,Plasma_Membrane,CLJU_c38970(),Plasma_Membrane,s
CLJU_RS19220-MONOMER,Plasma_Membrane,CLJU_c39040(),Plasma_Membrane,s
CLJU_RS04190-MONOMER,Plasma_Membrane,CLJU_c08510(),Plasma_Membrane,s
CLJU_RS20570-MONOMER,Plasma_Membrane,CLJU_c41750(),Plasma_Membrane,s
CLJU_RS02960-MONOMER,Plasma_Membrane,CLJU_c06020(),Plasma_Membrane,s
CLJU_RS02200-MONOMER,Plasma_Membrane,CLJU_c04500(),Plasma_Membrane,s
CLJU_RS10490-MONOMER,Plasma_Membrane,CLJU_c21370(),Plasma_Membrane,s
CLJU_RS03505-MONOMER,Plasma_Membrane,CLJU_c07120(),Plasma_Membrane,s
