Transcription-Units,Genes of transcription unit,Direction
TU271D-1804,CLJU_RS15245,-
TU271D-2035,CLJU_RS22080 // CLJU_RS21860,-
TU271D-2661,CLJU_RS13290,+
TU271D-1489,CLJU_RS12670,-
TU271D-1265,CLJU_RS10705,-
TU271D-306,CLJU_RS02445,+
TU271D-2856,CLJU_RS03355,+
TU271D-2073,CLJU_RS17555,-
TU271D-1681,CLJU_RS14200,-
TU271D-866,CLJU_RS07430,+
TU271D-2440,CLJU_RS20655,+
TU271D-370,CLJU_RS03070 // CLJU_RS03065,+
TU271D-417,CLJU_RS03495,+
TU271D-81,CLJU_RS00640,+
TU271D-1971,CLJU_RS16685,-
TU271D-183,CLJU_RS01435,+
TU271D-329,CLJU_RS02655 // CLJU_RS02650,-
TU271D-1159,CLJU_RS09845,+
TU271D-1747,CLJU_RS14770 // CLJU_RS14765,-
TU271D-645,CLJU_RS05490 // CLJU_RS05485 // CLJU_RS05480 // CLJU_RS05475 // CLJU_RS05470,+
TU271D-2778,CLJU_RS08595,-
TU271D-1111,CLJU_RS09465 // CLJU_RS09460,+
TU271D-2660,CLJU_RS21670,-
TU271D-1092,CLJU_RS09330,+
TU271D-2268,CLJU_RS19135 // CLJU_RS19130 // CLJU_RS19125,+
TU271D-1470,CLJU_RS12530,+
TU271D-1908,CLJU_RS16200 // CLJU_RS16195 // CLJU_RS16190,-
TU271D-1304,CLJU_RS11035,-
TU271D-2727,CLJU_RS10495,+
TU271D-1779,CLJU_RS15045,-
TU271D-1523,CLJU_RS13030 // CLJU_RS13025 // CLJU_RS13020,+
TU271D-1241,CLJU_RS10490,-
TU271D-596,CLJU_RS04960,+
TU271D-2439,CLJU_RS20650,+
TU271D-865,CLJU_RS07425 // CLJU_RS22180,+
TU271D-1208,CLJU_RS10250,+
TU271D-104,CLJU_RS00830 // CLJU_RS00825,+
TU271D-994,CLJU_RS08540,+
TU271D-947,CLJU_RS08165 // CLJU_RS08160,+
TU271D-1302,CLJU_RS21330,-
TU271D-1594,CLJU_RS13580 // CLJU_RS13575,-
TU271D-276,CLJU_RS02215,+
TU271D-50,CLJU_RS00410,+
TU271D-236,CLJU_RS01900,+
TU271D-1525,CLJU_RS13050,+
TU271D-226,CLJU_RS01815,+
TU271D-644,CLJU_RS05465,+
TU271D-532,CLJU_RS04430 // CLJU_RS04425,+
TU271D-1137,CLJU_RS09700,+
TU271D-1862,CLJU_RS15850,+
TU271D-473,CLJU_RS03970 // CLJU_RS03965,+
TU271D-2777,CLJU_RS08600,+
TU271D-1632,CLJU_RS13850,-
TU271D-1803,CLJU_RS15240,-
TU271D-1487,CLJU_RS12630,-
TU271D-2659,CLJU_RS22300,+
TU271D-1974,CLJU_RS16705,-
TU271D-864,CLJU_RS07420,+
TU271D-2438,CLJU_RS22090,+
TU271D-1947,CLJU_RS16495,-
TU271D-399,CLJU_RS03330,+
TU271D-130,CLJU_RS01010,+
TU271D-1070,CLJU_RS09150,+
TU271D-2093,CLJU_RS22670,-
TU271D-1469,CLJU_RS12525,-
TU271D-643,CLJU_RS05460 // CLJU_RS05455 // CLJU_RS05450,+
TU271D-1315,CLJU_RS11120 // CLJU_RS11115 // CLJU_RS11110 // CLJU_RS11105 // CLJU_RS11100 // CLJU_RS11095,-
TU271D-2164,CLJU_RS18330,-
TU271D-298,CLJU_RS02365,+
TU271D-2839,CLJU_RS04350,-
TU271D-2776,CLJU_RS08690,-
TU271D-2211,CLJU_RS18715,-
TU271D-2658,CLJU_RS13415,-
TU271D-1429,CLJU_RS12165 // CLJU_RS12160,-
TU271D-1506,CLJU_RS12830,-
TU271D-2326,CLJU_RS19715,-
TU271D-2267,CLJU_RS19120,+
TU271D-149,CLJU_RS01130,+
TU271D-1984,CLJU_RS16800 // CLJU_RS16795 // CLJU_RS16790,-
TU271D-981,CLJU_RS08440 // CLJU_RS08435 // CLJU_RS08430 // CLJU_RS08425,+
TU271D-1352,CLJU_RS11485 // CLJU_RS11480,+
TU271D-863,CLJU_RS07415 // CLJU_RS07410,-
TU271D-2437,CLJU_RS20645,-
TU271D-1029,CLJU_RS22205,-
TU271D-957,CLJU_RS21285,+
TU271D-2138,CLJU_RS18145 // CLJU_RS18140 // CLJU_RS18135,-
TU271D-1593,CLJU_RS22325,-
TU271D-249,CLJU_RS02000 // CLJU_RS01995,+
TU271D-49,CLJU_RS21525 // CLJU_RS00405,+
TU271D-642,CLJU_RS05445,+
TU271D-2334,CLJU_RS19755,+
TU271D-1024,CLJU_RS08755,-
TU271D-2775,CLJU_RS08705,-
TU271D-531,CLJU_RS04420,+
TU271D-1861,CLJU_RS15845,-
