amino_acid	enzyme
ala__L_c	SYNPCC7942_0876-MONOMER_mod_zn2(4)
arg__L_c	SYNPCC7942_1577-MONOMER_mod_mg2(1)
asn__L_c	SYNPCC7942_0830-MONOMER
asp__L_c	SYNPCC7942_1313-MONOMER
cys__L_c	SYNPCC7942_1662-MONOMER_mod_zn2(1)
gln__L_c	CPLX_dummy
glu__L_c	generic_glu_ligase
gly_c	CPLX490-33
his__L_c	generic_his_ligase
ile__L_c	SYNPCC7942_2437-MONOMER_mod_zn2(2)
leu__L_c	SYNPCC7942_1920-MONOMER
lys__L_c	SYNPCC7942_2415-MONOMER
met__L_c	SYNPCC7942_1142-MONOMER_mod_zn2(2)
phe__L_c	CPLX490-27_mod_mg2(1)
pro__L_c	SYNPCC7942_1959-MONOMER
ser__L_c	SYNPCC7942_0449-MONOMER_mod_mg2(1)
thr__L_c	SYNPCC7942_2606-MONOMER_mod_zn2(1)
trp__L_c	SYNPCC7942_1308-MONOMER_mod_mg2(1)
tyr__L_c	SYNPCC7942_2570-MONOMER
val__L_c	SYNPCC7942_0587-MONOMER_mod_mg2(1)
