,value
BSU00010,TU8J2-1216
BSU00020,TU8J2-1216
BSU00030,TU8J2-1215
BSU00040,TU8J2-1215
BSU00050,TU8J2-1215
BSU00060,TU8J2-1215
BSU00070,TU8J2-1214
BSU00080,TU8J2-1314
BSU00090,TU8J2-1212
BSU00110,TU8J2-1211
BSU00120,TU8J2-1211
BSU00130,TU8J2-127
BSU00140,TU8J2-1210
BSU00150,TU8J2-1210
BSU00160,TU8J2-1209
BSU00180,TU8J2-1208
BSU00230,TU8J2-1207
BSU00240,TU8J2-1205
BSU00250,TU8J2-1204
BSU00260,TU8J2-1204
BSU00370,TU8J2-3
BSU00380,TU8J2-1202
BSU00400,TU8J2-1201
BSU00410,TU8J2-1200
BSU00420,TU8J2-1200
BSU00430,TU8J2-1199
BSU00440,TU8J2-1198
BSU00450,TU8J2-1197
BSU00470,TU8J2-1196
BSU00480,TU8J2-1196
BSU00490,TU8J2-1195
BSU00500,TU8J2-1194
BSU00510,TU8J2-1194
BSU00520,TU8J2-1194
BSU00540,TU8J2-3023
BSU00560,TU8J2-1193
BSU00570,TU8J2-1192
BSU00580,TU8J2-1192
BSU00590,TU8J2-1192
BSU00600,TU8J2-1192
BSU00610,TU8J2-1192
BSU00620,TU8J2-1192
BSU00630,TU8J2-1192
BSU00640,TU8J2-1190
BSU00690,TU8J2-1189
BSU00730,TU8J2-1188
BSU00740,TU8J2-1187
BSU00750,TU8J2-1187
BSU00760,TU8J2-1187
BSU00770,TU8J2-1187
BSU00780,TU8J2-1187
BSU00790,TU8J2-1187
BSU00800,TU8J2-1187
BSU00810,TU8J2-1187
BSU00820,TU8J2-1187
BSU00830,TU8J2-1186
BSU00840,TU8J2-1186
BSU00850,TU8J2-1186
BSU00860,TU8J2-1186
BSU00870,TU8J2-1186
BSU00880,TU8J2-1186
BSU00890,TU8J2-1185
BSU00900,TU8J2-1185
BSU00910,TU8J2-1185
BSU00920,TU8J2-1184
BSU00930,TU8J2-1184
BSU00940,TU8J2-1184
BSU00950,TU8J2-1184
BSU00960,TU8J2-1184
BSU00970,TU8J2-1184
BSU00980,TU8J2-1183
BSU01040,TU8J2-2965
BSU01050,TU8J2-2965
BSU01070,TU8J2-1182
BSU01520,TU8J2-1181
BSU01530,TU8J2-1181
BSU01550,TU8J2-1180
BSU01560,TU8J2-1315
BSU01570,TU8J2-1179
BSU01600,TU8J2-13
BSU01610,TU8J2-13
BSU01620,TU8J2-13
BSU01630,TU8J2-13
BSU01640,TU8J2-1177
BSU01730,TU8J2-1175
BSU01740,TU8J2-1175
BSU01750,TU8J2-2947
BSU01760,TU8J2-2947
BSU01770,TU8J2-2947
BSU01780,TU8J2-1288
BSU01800,TU8J2-1174
BSU01810,TU8J2-1173
BSU01820,TU8J2-1173
BSU01890,TU8J2-1172
BSU01910,TU8J2-1171
BSU01920,TU8J2-1171
BSU01935,TU8J2-1171
BSU01950,TU8J2-1171
BSU01960,TU8J2-1171
BSU01970,TU8J2-1171
BSU01980,TU8J2-1171
BSU02010,TU8J2-1170
BSU02050,TU8J2-1169
BSU02060,TU8J2-1168
BSU02070,TU8J2-1167
BSU02080,TU8J2-1167
BSU02090,TU8J2-1166
BSU02100,TU8J2-1165
BSU02110,TU8J2-1164
BSU02120,TU8J2-1163
BSU02130,TU8J2-1162
BSU02140,TU8J2-1162
BSU02230,TU8J2-1217
BSU02240,TU8J2-2962
BSU02270,TU8J2-28
BSU02280,TU8J2-28
BSU02290,TU8J2-28
BSU02310,TU8J2-1160
BSU02350,TU8J2-2951
BSU02360,TU8J2-2951
BSU02370,TU8J2-2952
BSU02380,TU8J2-1159
BSU02390,TU8J2-1158
BSU02410,TU8J2-175
BSU02420,TU8J2-176
BSU02430,TU8J2-176
BSU02460,TU8J2-1157
BSU02470,TU8J2-1157
BSU02480,TU8J2-1157
BSU02490,TU8J2-1157
BSU02500,TU8J2-1157
BSU02510,TU8J2-1157
BSU02520,TU8J2-1157
BSU02530,TU8J2-1237
BSU02540,TU8J2-1237
BSU02550,TU8J2-1156
BSU02560,TU8J2-1156
BSU02590,TU8J2-1316
BSU02600,TU8J2-1155
BSU02610,TU8J2-1154
BSU02620,TU8J2-1153
BSU02650,TU8J2-1317
BSU02660,TU8J2-1152
BSU02670,TU8J2-1151
BSU02680,TU8J2-1151
BSU02690,TU8J2-1150
BSU02700,TU8J2-1149
BSU02710,TU8J2-1318
BSU02720,TU8J2-1319
BSU02730,TU8J2-1148
BSU02740,TU8J2-1147
BSU02750,TU8J2-1146
BSU02760,TU8J2-1146
BSU02770,TU8J2-1145
BSU02780,TU8J2-1144
BSU02790,TU8J2-1143
BSU02810,TU8J2-1320
BSU02820,TU8J2-1142
BSU02850,TU8J2-1141
BSU02860,TU8J2-1141
BSU02870,TU8J2-1141
BSU02880,TU8J2-1321
BSU02890,TU8J2-1140
BSU02900,TU8J2-1140
BSU02910,TU8J2-1140
BSU02920,TU8J2-1140
BSU02930,TU8J2-1140
BSU02940,TU8J2-1140
BSU02970,TU8J2-1139
BSU02980,TU8J2-25
BSU02990,TU8J2-25
BSU03000,TU8J2-25
BSU03010,TU8J2-1137
BSU03020,TU8J2-1136
BSU03030,TU8J2-1135
BSU03040,TU8J2-1134
BSU03050,TU8J2-1133
BSU03060,TU8J2-1133
BSU03070,TU8J2-1132
BSU03090,TU8J2-1131
BSU03100,TU8J2-1131
BSU03110,TU8J2-1322
BSU03120,TU8J2-1130
BSU03130,TU8J2-1129
BSU03140,TU8J2-1128
BSU03150,TU8J2-1127
BSU03160,TU8J2-1323
BSU03180,TU8J2-1126
BSU03200,TU8J2-1303
BSU03210,TU8J2-1303
BSU03220,TU8J2-1303
BSU03230,TU8J2-1302
BSU03270,TU8J2-1125
BSU03280,TU8J2-1124
BSU03290,TU8J2-1124
BSU03300,TU8J2-1124
BSU03310,TU8J2-1124
BSU03320,TU8J2-1124
BSU03330,TU8J2-1123
BSU03340,TU8J2-1122
BSU03350,TU8J2-1122
BSU03359,TU8J2-1298
BSU03360,TU8J2-1298
BSU03390,TU8J2-1121
BSU03400,TU8J2-1120
BSU03410,TU8J2-1119
BSU03420,TU8J2-1118
BSU03430,TU8J2-1118
BSU03440,TU8J2-1117
BSU03450,TU8J2-1116
BSU03460,TU8J2-1116
BSU03470,TU8J2-1115
BSU03480,TU8J2-1114
BSU03490,TU8J2-1114
BSU03500,TU8J2-1114
BSU03510,TU8J2-1114
BSU03520,TU8J2-1114
BSU03530,TU8J2-1113
BSU03540,TU8J2-1112
BSU03550,TU8J2-1112
BSU03560,TU8J2-1324
BSU03580,TU8J2-1111
BSU03590,TU8J2-1110
BSU03600,TU8J2-1110
BSU03610,TU8J2-1110
BSU03660,TU8J2-1109
BSU03670,TU8J2-1108
BSU03680,TU8J2-1325
BSU03690,TU8J2-1326
BSU03700,TU8J2-456
BSU03710,TU8J2-456
BSU03720,TU8J2-456
BSU03730,TU8J2-3032
BSU03740,TU8J2-3032
BSU03750,TU8J2-3034
BSU03760,TU8J2-3034
BSU03770,TU8J2-1107
BSU03780,TU8J2-1107
BSU03790,TU8J2-1106
BSU03800,TU8J2-1105
BSU03810,TU8J2-1105
BSU03820,TU8J2-1105
BSU03830,TU8J2-1105
BSU03840,TU8J2-1104
BSU03850,TU8J2-1104
BSU03860,TU8J2-1103
BSU03870,TU8J2-1103
BSU03880,TU8J2-1102
BSU03890,TU8J2-1101
BSU03900,TU8J2-1100
BSU03910,TU8J2-1100
BSU03920,TU8J2-1099
BSU03930,TU8J2-1099
BSU03940,TU8J2-8231
BSU03950,TU8J2-8231
BSU03960,TU8J2-1098
BSU03970,TU8J2-1097
BSU03981,TU8J2-1096
BSU03982,TU8J2-1096
BSU03990,TU8J2-1096
BSU04000,TU8J2-1095
BSU04010,TU8J2-1094
BSU04020,TU8J2-1093
BSU04030,TU8J2-1092
BSU04039,TU8J2-1327
BSU04040,TU8J2-1091
BSU04050,TU8J2-1090
BSU04060,TU8J2-1090
BSU04070,TU8J2-1090
BSU04080,TU8J2-1090
BSU04090,TU8J2-1090
BSU04100,TU8J2-1090
BSU04110,TU8J2-1090
BSU04120,TU8J2-1089
BSU04130,TU8J2-1088
BSU04160,TU8J2-1087
BSU04180,TU8J2-1328
BSU04190,TU8J2-1086
BSU04200,TU8J2-1086
BSU04210,TU8J2-1086
BSU04220,TU8J2-1086
BSU04230,TU8J2-2964
BSU04240,TU8J2-1329
BSU04250,TU8J2-1085
BSU04270,TU8J2-1579
BSU04280,TU8J2-1579
BSU04290,TU8J2-1579
BSU04300,TU8J2-1579
BSU04310,TU8J2-1579
BSU04340,TU8J2-1084
BSU04360,TU8J2-1083
BSU04370,TU8J2-1082
BSU04380,TU8J2-1082
BSU04390,TU8J2-1081
BSU04400,TU8J2-1080
BSU04430,TU8J2-1079
BSU04440,TU8J2-1079
BSU04450,TU8J2-1078
BSU04460,TU8J2-1078
BSU04470,TU8J2-1078
BSU04520,TU8J2-171
BSU04530,TU8J2-1077
BSU04536,TU8J2-1077
BSU04540,TU8J2-1076
BSU04550,TU8J2-1075
BSU04590,TU8J2-1074
BSU04600,TU8J2-1074
BSU04610,TU8J2-1073
BSU04630,TU8J2-1072
BSU04650,TU8J2-2990
BSU04660,TU8J2-2990
BSU04670,TU8J2-1070
BSU04680,TU8J2-1070
BSU04690,TU8J2-1070
BSU04700,TU8J2-1070
BSU04710,TU8J2-1070
BSU04720,TU8J2-1070
BSU04730,TU8J2-1070
BSU04740,TU8J2-1070
BSU04750,TU8J2-2999
BSU04760,TU8J2-2999
BSU04770,TU8J2-2999
BSU04800,TU8J2-3037
BSU04810,TU8J2-3037
BSU04820,TU8J2-3037
BSU04830,TU8J2-3036
BSU04839,TU8J2-3036
BSU04840,TU8J2-3036
BSU04849,TU8J2-3036
BSU04850,TU8J2-3036
BSU04860,TU8J2-3036
BSU04870,TU8J2-3036
BSU04880,TU8J2-3036
BSU04890,TU8J2-3036
BSU04900,TU8J2-3036
BSU04910,TU8J2-3036
BSU04920,TU8J2-3036
BSU04930,TU8J2-3036
BSU04940,TU8J2-3036
BSU04950,TU8J2-3036
BSU04960,TU8J2-3036
BSU04970,TU8J2-3036
BSU04980,TU8J2-3036
BSU04990,TU8J2-3036
BSU05000,TU8J2-1330
BSU05010,TU8J2-1069
BSU05020,TU8J2-1069
BSU05040,TU8J2-1331
BSU05050,TU8J2-1332
BSU05060,TU8J2-1333
BSU05160,TU8J2-1334
BSU05170,TU8J2-1335
BSU05280,TU8J2-1336
BSU05290,TU8J2-1337
BSU05300,TU8J2-1338
BSU05310,TU8J2-1339
BSU05360,TU8J2-1340
BSU05370,TU8J2-1341
BSU05380,TU8J2-1342
BSU05390,TU8J2-1343
BSU05410,TU8J2-156
BSU05420,TU8J2-156
BSU05430,TU8J2-155
BSU05440,TU8J2-1068
BSU05450,TU8J2-1067
BSU05470,TU8J2-2984
BSU05480,TU8J2-111
BSU05490,TU8J2-1066
BSU05500,TU8J2-111
BSU05530,TU8J2-1065
BSU05540,TU8J2-1064
BSU05550,TU8J2-165
BSU05560,TU8J2-165
BSU05570,TU8J2-165
BSU05630,TU8J2-1063
BSU05640,TU8J2-151
BSU05650,TU8J2-151
BSU05680,TU8J2-1344
BSU05690,TU8J2-1345
BSU05710,TU8J2-1062
BSU05720,TU8J2-1255
BSU05730,TU8J2-27
BSU05740,TU8J2-27
BSU05750,TU8J2-1346
BSU05790,TU8J2-1060
BSU05800,TU8J2-1272
BSU05810,TU8J2-91
BSU05820,TU8J2-91
BSU05830,TU8J2-1059
BSU05840,TU8J2-91
BSU05850,TU8J2-91
BSU05860,TU8J2-91
BSU05870,TU8J2-91
BSU05880,TU8J2-91
BSU05890,TU8J2-1238
BSU05899,TU8J2-1238
BSU05950,TU8J2-1347
BSU06020,TU8J2-1058
BSU06030,TU8J2-1058
BSU06060,TU8J2-1057
BSU06070,TU8J2-1057
BSU06090,TU8J2-1056
BSU06100,TU8J2-1056
BSU06110,TU8J2-1056
BSU06130,TU8J2-1055
BSU06140,TU8J2-1054
BSU06150,TU8J2-1053
BSU06160,TU8J2-1053
BSU06180,TU8J2-1052
BSU06190,TU8J2-1052
BSU06200,TU8J2-1052
BSU06210,TU8J2-1052
BSU06220,TU8J2-1051
BSU06230,TU8J2-1050
BSU06240,TU8J2-1049
BSU06250,TU8J2-1048
BSU06270,TU8J2-1047
BSU06280,TU8J2-1047
BSU06290,TU8J2-1047
BSU06300,TU8J2-1046
BSU06310,TU8J2-1045
BSU06320,TU8J2-2982
BSU06360,TU8J2-1044
BSU06370,TU8J2-1043
BSU06420,TU8J2-1042
BSU06430,TU8J2-1042
BSU06440,TU8J2-1042
BSU06450,TU8J2-1042
BSU06460,TU8J2-1042
BSU06470,TU8J2-1042
BSU06480,TU8J2-1042
BSU06490,TU8J2-1042
BSU06500,TU8J2-1042
BSU06510,TU8J2-1042
BSU06520,TU8J2-1042
BSU06530,TU8J2-1042
BSU06540,TU8J2-1348
BSU06550,TU8J2-1349
BSU06559,TU8J2-1350
BSU06570,TU8J2-102
BSU06580,TU8J2-102
BSU06590,TU8J2-1351
BSU06600,TU8J2-150
BSU06610,TU8J2-150
BSU06620,TU8J2-150
BSU06630,TU8J2-150
BSU06650,TU8J2-1041
BSU06660,TU8J2-1040
BSU06700,TU8J2-1352
BSU06740,TU8J2-1353
BSU06830,TU8J2-1039
BSU06839,TU8J2-1311
