,value
ALW85_RS00005,MONOMER
ALW85_RS00010,MONOMER
ALW85_RS00015,MONOMER
ALW85_RS00020,MONOMER
ALW85_RS00025,MONOMER
ALW85_RS00030,tRNA
ALW85_RS00035,tRNA
ALW85_RS00040,tRNA
ALW85_RS00045,MONOMER
ALW85_RS00050,MONOMER
ALW85_RS00055,MONOMER
ALW85_RS00060,MONOMER
ALW85_RS00065,MONOMER
ALW85_RS00070,MONOMER
ALW85_RS00075,MONOMER
ALW85_RS00080,MONOMER
ALW85_RS00085,MONOMER
ALW85_RS00090,MONOMER
ALW85_RS00095,MONOMER
ALW85_RS00100,MONOMER
ALW85_RS00105,MONOMER
ALW85_RS00110,MONOMER
ALW85_RS00115,MONOMER
ALW85_RS00120,MONOMER
ALW85_RS00125,MONOMER
ALW85_RS00130,MONOMER
ALW85_RS00135,MONOMER
ALW85_RS00140,MONOMER
ALW85_RS00145,MONOMER
ALW85_RS00150,MONOMER
ALW85_RS00155,MONOMER
ALW85_RS00160,MONOMER
ALW85_RS00165,tRNA
ALW85_RS00170,MONOMER
ALW85_RS00175,MONOMER
ALW85_RS00180,MONOMER
ALW85_RS00185,MONOMER
ALW85_RS00190,MONOMER
ALW85_RS00195,MONOMER
ALW85_RS00200,MONOMER
ALW85_RS00205,MONOMER
ALW85_RS00210,MONOMER
ALW85_RS00215,MONOMER
ALW85_RS00220,MONOMER
ALW85_RS00225,MONOMER
ALW85_RS00230,MONOMER
ALW85_RS00235,MONOMER
ALW85_RS00240,MONOMER
ALW85_RS00245,MONOMER
ALW85_RS00250,MONOMER
ALW85_RS00255,MONOMER
ALW85_RS00260,MONOMER
ALW85_RS00265,MONOMER
ALW85_RS00270,MONOMER
ALW85_RS00275,MONOMER
ALW85_RS00280,MONOMER
ALW85_RS00285,MONOMER
ALW85_RS00290,MONOMER
ALW85_RS00295,rRNA
ALW85_RS00300,tRNA
ALW85_RS00305,tRNA
ALW85_RS00310,rRNA
ALW85_RS00315,rRNA
ALW85_RS00320,MONOMER
ALW85_RS00325,MONOMER
ALW85_RS00330,MONOMER
ALW85_RS00335,MONOMER
ALW85_RS00340,MONOMER
ALW85_RS00345,MONOMER
ALW85_RS00350,MONOMER
ALW85_RS00355,MONOMER
ALW85_RS00360,MONOMER
ALW85_RS00365,MONOMER
ALW85_RS00370,MONOMER
ALW85_RS00375,MONOMER
ALW85_RS00380,MONOMER
ALW85_RS00385,MONOMER
ALW85_RS00390,MONOMER
ALW85_RS00395,MONOMER
ALW85_RS00400,MONOMER
ALW85_RS00405,MONOMER
ALW85_RS00410,MONOMER
ALW85_RS00415,MONOMER
ALW85_RS00420,MONOMER
ALW85_RS00425,MONOMER
ALW85_RS00430,MONOMER
ALW85_RS00435,MONOMER
ALW85_RS00440,MONOMER
ALW85_RS00445,MONOMER
ALW85_RS00450,MONOMER
ALW85_RS00455,MONOMER
ALW85_RS00460,MONOMER
ALW85_RS00465,MONOMER
ALW85_RS00470,MONOMER
ALW85_RS00475,MONOMER
ALW85_RS00480,MONOMER
ALW85_RS00485,MONOMER
ALW85_RS00490,MONOMER
ALW85_RS00495,MONOMER
ALW85_RS00500,MONOMER
ALW85_RS00505,MONOMER
ALW85_RS00510,MONOMER
ALW85_RS00515,MONOMER
ALW85_RS00520,MONOMER
ALW85_RS00525,MONOMER
ALW85_RS00530,MONOMER
ALW85_RS00535,MONOMER
ALW85_RS00540,MONOMER
ALW85_RS00545,MONOMER
ALW85_RS00550,MONOMER
ALW85_RS00555,MONOMER
ALW85_RS00560,MONOMER
ALW85_RS00565,MONOMER
ALW85_RS00570,MONOMER
ALW85_RS00575,MONOMER
ALW85_RS00580,MONOMER
ALW85_RS00585,MONOMER
ALW85_RS00590,MONOMER
ALW85_RS00595,MONOMER
ALW85_RS00600,MONOMER
ALW85_RS00605,MONOMER
ALW85_RS00610,MONOMER
ALW85_RS00615,MONOMER
ALW85_RS00620,MONOMER
ALW85_RS00625,MONOMER
ALW85_RS00630,MONOMER
ALW85_RS00635,MONOMER
ALW85_RS00640,MONOMER
ALW85_RS00645,MONOMER
ALW85_RS00650,MONOMER
ALW85_RS00655,MONOMER
ALW85_RS00660,MONOMER
ALW85_RS00665,MONOMER
ALW85_RS00670,MONOMER
ALW85_RS00675,MONOMER
ALW85_RS00680,MONOMER
ALW85_RS00685,MONOMER
ALW85_RS00690,MONOMER
ALW85_RS00700,MONOMER
ALW85_RS00705,MONOMER
ALW85_RS00710,MONOMER
ALW85_RS00715,MONOMER
ALW85_RS00720,MONOMER
ALW85_RS00725,MONOMER
ALW85_RS00730,MONOMER
ALW85_RS00735,MONOMER
ALW85_RS00740,MONOMER
ALW85_RS00745,MONOMER
ALW85_RS00750,MONOMER
ALW85_RS00755,MONOMER
ALW85_RS00760,MONOMER
ALW85_RS00765,MONOMER
ALW85_RS00770,MONOMER
ALW85_RS00775,MONOMER
ALW85_RS00780,MONOMER
ALW85_RS00785,MONOMER
ALW85_RS00790,MONOMER
ALW85_RS00795,MONOMER
ALW85_RS00800,MONOMER
ALW85_RS00810,MONOMER
ALW85_RS00815,MONOMER
ALW85_RS00820,MONOMER
ALW85_RS00825,MONOMER
ALW85_RS00830,MONOMER
ALW85_RS00835,MONOMER
ALW85_RS00840,MONOMER
ALW85_RS00845,MONOMER
ALW85_RS00850,MONOMER
ALW85_RS00855,MONOMER
ALW85_RS00865,MONOMER
ALW85_RS00870,MONOMER
ALW85_RS00875,MONOMER
ALW85_RS00880,MONOMER
ALW85_RS00885,MONOMER
ALW85_RS00890,MONOMER
ALW85_RS00895,MONOMER
ALW85_RS00900,MONOMER
ALW85_RS00905,MONOMER
ALW85_RS00910,MONOMER
ALW85_RS00915,MONOMER
ALW85_RS00920,MONOMER
ALW85_RS00925,MONOMER
ALW85_RS00930,MONOMER
ALW85_RS00935,MONOMER
ALW85_RS00940,MONOMER
ALW85_RS00945,MONOMER
ALW85_RS00950,MONOMER
ALW85_RS00955,MONOMER
ALW85_RS00965,MONOMER
ALW85_RS00970,MONOMER
ALW85_RS00975,MONOMER
ALW85_RS00980,MONOMER
ALW85_RS00985,MONOMER
ALW85_RS00990,MONOMER
ALW85_RS00995,MONOMER
ALW85_RS01000,MONOMER
ALW85_RS01005,MONOMER
ALW85_RS01010,MONOMER
ALW85_RS01015,MONOMER
ALW85_RS01020,MONOMER
ALW85_RS01025,MONOMER
ALW85_RS01030,MONOMER
ALW85_RS01035,MONOMER
ALW85_RS01040,MONOMER
ALW85_RS01045,MONOMER
ALW85_RS01050,MONOMER
ALW85_RS01055,MONOMER
ALW85_RS01060,MONOMER
ALW85_RS01065,MONOMER
ALW85_RS01070,MONOMER
ALW85_RS01075,MONOMER
ALW85_RS01080,MONOMER
ALW85_RS01085,MONOMER
ALW85_RS01090,MONOMER
ALW85_RS01095,MONOMER
ALW85_RS01100,MONOMER
ALW85_RS01105,MONOMER
ALW85_RS01110,MONOMER
ALW85_RS01115,MONOMER
ALW85_RS01120,MONOMER
ALW85_RS01125,MONOMER
ALW85_RS01130,MONOMER
ALW85_RS01135,MONOMER
ALW85_RS01140,MONOMER
ALW85_RS01145,MONOMER
ALW85_RS01150,MONOMER
ALW85_RS01155,MONOMER
ALW85_RS01160,MONOMER
ALW85_RS01165,MONOMER
ALW85_RS01170,MONOMER
ALW85_RS01175,MONOMER
ALW85_RS01180,MONOMER
ALW85_RS01185,MONOMER
ALW85_RS01190,tRNA
ALW85_RS01195,MONOMER
ALW85_RS01200,MONOMER
ALW85_RS01205,MONOMER
ALW85_RS01210,MONOMER
ALW85_RS01215,MONOMER
ALW85_RS01225,MONOMER
ALW85_RS01230,MONOMER
ALW85_RS01235,MONOMER
ALW85_RS01240,MONOMER
ALW85_RS01245,MONOMER
ALW85_RS01250,MONOMER
ALW85_RS01260,MONOMER
ALW85_RS01265,MONOMER
ALW85_RS01270,MONOMER
ALW85_RS01275,MONOMER
ALW85_RS01280,MONOMER
ALW85_RS01295,MONOMER
ALW85_RS01300,MONOMER
ALW85_RS01305,MONOMER
ALW85_RS01310,MONOMER
ALW85_RS01320,MONOMER
ALW85_RS01325,MONOMER
ALW85_RS01335,MONOMER
ALW85_RS01340,MONOMER
ALW85_RS01345,MONOMER
ALW85_RS01350,MONOMER
ALW85_RS01355,MONOMER
ALW85_RS01360,MONOMER
ALW85_RS01365,MONOMER
ALW85_RS01370,MONOMER
ALW85_RS01375,MONOMER
ALW85_RS01380,MONOMER
ALW85_RS01385,MONOMER
ALW85_RS01395,MONOMER
ALW85_RS01400,MONOMER
ALW85_RS01410,MONOMER
ALW85_RS01415,MONOMER
ALW85_RS01420,MONOMER
ALW85_RS01425,MONOMER
ALW85_RS01430,MONOMER
ALW85_RS01445,MONOMER
ALW85_RS01450,MONOMER
ALW85_RS01455,MONOMER
ALW85_RS01460,MONOMER
ALW85_RS01465,MONOMER
ALW85_RS01470,MONOMER
ALW85_RS01475,MONOMER
ALW85_RS01480,MONOMER
ALW85_RS01485,MONOMER
ALW85_RS01490,MONOMER
ALW85_RS01495,MONOMER
ALW85_RS01500,MONOMER
ALW85_RS01505,MONOMER
ALW85_RS01510,MONOMER
ALW85_RS01515,MONOMER
ALW85_RS01520,MONOMER
ALW85_RS01525,MONOMER
ALW85_RS01530,tRNA
ALW85_RS01535,MONOMER
ALW85_RS01540,MONOMER
ALW85_RS01545,MONOMER
ALW85_RS01550,MONOMER
ALW85_RS01555,MONOMER
ALW85_RS01560,MONOMER
ALW85_RS01565,MONOMER
ALW85_RS01570,MONOMER
ALW85_RS01575,MONOMER
ALW85_RS01580,MONOMER
ALW85_RS01585,MONOMER
ALW85_RS01590,MONOMER
ALW85_RS01595,MONOMER
ALW85_RS01600,MONOMER
ALW85_RS01605,MONOMER
ALW85_RS01610,MONOMER
ALW85_RS01615,MONOMER
ALW85_RS01620,MONOMER
ALW85_RS01625,MONOMER
ALW85_RS01630,MONOMER
ALW85_RS01635,MONOMER
ALW85_RS01640,MONOMER
ALW85_RS01645,MONOMER
ALW85_RS01650,MONOMER
ALW85_RS01655,MONOMER
ALW85_RS01660,MONOMER
ALW85_RS01665,MONOMER
ALW85_RS01670,MONOMER
ALW85_RS01675,MONOMER
ALW85_RS01680,MONOMER
ALW85_RS01690,MONOMER
ALW85_RS01695,MONOMER
ALW85_RS01700,MONOMER
ALW85_RS01705,MONOMER
ALW85_RS01710,MONOMER
ALW85_RS01715,MONOMER
ALW85_RS01720,MONOMER
ALW85_RS01725,MONOMER
ALW85_RS01730,MONOMER
ALW85_RS01735,tRNA
ALW85_RS01740,MONOMER
ALW85_RS01745,MONOMER
ALW85_RS01750,MONOMER
ALW85_RS01755,MONOMER
ALW85_RS01760,MONOMER
ALW85_RS01765,MONOMER
ALW85_RS01770,MONOMER
ALW85_RS01775,MONOMER
ALW85_RS01780,MONOMER
ALW85_RS01785,MONOMER
ALW85_RS01790,MONOMER
ALW85_RS01795,MONOMER
ALW85_RS01810,MONOMER
ALW85_RS01815,MONOMER
ALW85_RS01820,MONOMER
ALW85_RS01825,MONOMER
ALW85_RS01830,MONOMER
ALW85_RS01835,MONOMER
ALW85_RS01840,MONOMER
ALW85_RS01845,tRNA
ALW85_RS01850,MONOMER
ALW85_RS01855,MONOMER
ALW85_RS01860,MONOMER
ALW85_RS01865,MONOMER
ALW85_RS01870,MONOMER
ALW85_RS01875,MONOMER
ALW85_RS01880,MONOMER
ALW85_RS01885,MONOMER
ALW85_RS01890,MONOMER
ALW85_RS01895,MONOMER
ALW85_RS01900,MONOMER
ALW85_RS01905,MONOMER
ALW85_RS01910,MONOMER
ALW85_RS01915,MONOMER
ALW85_RS01920,MONOMER
ALW85_RS01925,MONOMER
ALW85_RS01930,MONOMER
ALW85_RS01935,MONOMER
ALW85_RS01940,MONOMER
ALW85_RS01945,tRNA
ALW85_RS01950,MONOMER
ALW85_RS01955,MONOMER
ALW85_RS01960,MONOMER
ALW85_RS01965,MONOMER
ALW85_RS01970,MONOMER
ALW85_RS01975,MONOMER
ALW85_RS01980,MONOMER
ALW85_RS01985,MONOMER
ALW85_RS01995,MONOMER
ALW85_RS02000,MONOMER
ALW85_RS02005,MONOMER
ALW85_RS02010,tRNA
ALW85_RS02015,MONOMER
ALW85_RS02020,MONOMER
ALW85_RS02025,MONOMER
ALW85_RS02030,MONOMER
ALW85_RS02035,MONOMER
ALW85_RS02040,MONOMER
ALW85_RS02045,MONOMER
ALW85_RS02050,MONOMER
ALW85_RS02055,MONOMER
ALW85_RS02060,MONOMER
ALW85_RS02070,MONOMER
ALW85_RS02075,MONOMER
ALW85_RS02080,MONOMER
ALW85_RS02085,MONOMER
ALW85_RS02090,MONOMER
ALW85_RS02095,MONOMER
ALW85_RS02100,MONOMER
ALW85_RS02105,MONOMER
ALW85_RS02110,tRNA
ALW85_RS02115,tRNA
ALW85_RS02120,tRNA
ALW85_RS02125,MONOMER
ALW85_RS02130,MONOMER
ALW85_RS02135,MONOMER
ALW85_RS02140,MONOMER
ALW85_RS02145,MONOMER
ALW85_RS02150,MONOMER
ALW85_RS02155,MONOMER
ALW85_RS02160,MONOMER
ALW85_RS02165,MONOMER
ALW85_RS02170,MONOMER
ALW85_RS02175,MONOMER
ALW85_RS02180,MONOMER
ALW85_RS02185,MONOMER
