complex_id,name,genes,mod,replace
CPLX-tRNA-GLY-LIGASE,tRNA-Gly ligase,LLMG_RS07450(2) AND LLMG_RS07455(2),,
CPLX-tRNA-PHE-LIGASE,tRNA-Phe ligase,LLMG_RS11025(2) AND LLMG_RS11030(2),,
CPLX_ACPS2-0,Acyl carrier protein synthase,LLMG_RS08960() AND LLMG_RS08575(),,
CPLX_ADCL-0,4-aminobenzoate synthase,LLMG_RS05855() AND LLMG_RS05860(),,
CPLX_AEPabc-0,2 Aminoethyl phosphonate AEP transport via ABC system,LLMG_RS01625() AND LLMG_RS01620() AND LLMG_RS01635(),,
CPLX_AEPabc-1,2 Aminoethyl phosphonate AEP transport via ABC system,LLMG_RS01625() AND LLMG_RS01620() AND LLMG_RS01630(),,
CPLX_ARGabc-0,L-arginine transport via ABC system,LLMG_RS09920() AND LLMG_RS09915() AND LLMG_RS02805(),,
CPLX_AIRCr-0,Phosphoribosylaminoimidazole carboxylase,LLMG_RS05085() AND LLMG_RS05090(),,
CPLX_ATPS3r-0,ATP synthase three protons for one ATP ,LLMG_RS09730() AND LLMG_RS09735() AND LLMG_RS09740() AND LLMG_RS09745() AND LLMG_RS09750() AND LLMG_RS09755() AND LLMG_RS09760() AND LLMG_RS09765(),,
CPLX_CBPS-0,Carbamoyl-phosphate synthase (glutamine-hydrolysing),LLMG_RS04565(2) AND LLMG_RS05530(2),,
CPLX_CHLabc-0,Choline transport via ABC system,LLMG_RS08550() AND LLMG_RS08555(),,
CPLX_CRPT_25-0,CDP ribitol phosphoribitoltransferase 25 units with ribitol P ,LLMG_RS08070() AND LLMG_RS08165() AND LLMG_RS08170(),,
CPLX_ANS-0,Anthranilate synthase,LLMG_RS05235() AND LLMG_RS05240(),,
CPLX_CYTB_B2-0,Menaquinol oxidase  71 protons ,LLMG_RS09330() AND LLMG_RS09335() AND LLMG_RS09325() AND LLMG_RS09320(),,
CPLX_DAGGT_LLA-0,1 2 diacylglycerol 3 glucosyltransferase Lactis specific ,LLMG_RS12135() AND LLMG_RS12140(),,
CPLX_DALTAL_LLA-0,D Alanine lipoteichoic acid ligase,LLMG_RS06160() AND LLMG_RS06165() AND LLMG_RS06170() AND LLMG_RS06175(),,
CPLX_DHAPT-0,Dihydroxyacetone phosphotransferase,LLMG_RS01335() AND LLMG_RS01350() AND LLMG_RS01355() AND LLMG_RS00670() AND LLMG_RS00675(),,
CPLX_DHORDi-0,Dihydoorotic acid dehydrogenase  irreversible ,LLMG_RS05610() AND LLMG_RS05615(),,
CPLX_GLUabc-0,L-glutamate transport via ABC system,LLMG_RS09920() AND LLMG_RS09915(),,
CPLX_GLYBabc-0,Glycine betaine transport via ABC system,LLMG_RS05325() AND LLMG_RS05330(),,
CPLX_FE3abc-0,Iron (III) transport via ABC system,LLMG_RS01785() AND LLMG_RS01790() AND LLMG_RS01795() AND LLMG_RS01800(),,
CPLX_GLCP-0,Glycogen phosphorylase,LLMG_RS09360() AND LLMG_RS09365(),,
CPLX_GLCS1-0,Glycogen synthase (ADPGlc),LLMG_RS09370() AND LLMG_RS00845(),,
CPLX_GLGC-0,Glucose-1-phosphate adenylyltransferase,LLMG_RS09380() AND LLMG_RS09375(),,
CPLX_GLNTRS2-0,Glutaminyl tRNA synthetase,LLMG_RS00935() AND LLMG_RS00940() AND LLMG_RS00930(),,
CPLX_GLNabc-0,L-glutamine transport via ABC system,LLMG_RS09715() AND LLMG_RS09720(),,
CPLX_GLUSy-0,Glutamate synthase (NADPH),LLMG_RS05995(4) AND LLMG_RS05990(4),,
CPLX_IG3PS_1-0,Imidazole glycerol 3 phosphate synthase,LLMG_RS06540(1) AND LLMG_RS06550(1),,
CPLX_IPPMIa-0,3-isopropylmalate dehydratase,LLMG_RS06500(1) AND LLMG_RS06510(1),,
CPLX_MALTabc-0,Maltose transport via ABC system,LLMG_RS03810() AND LLMG_RS03815() AND LLMG_RS03820(),,
CPLX_METabc-0,L-methionine transport via ABC system,LLMG_RS01760() AND LLMG_RS01755() AND LLMG_RS01740(),,
CPLX_METabc-1,L-methionine transport via ABC system,LLMG_RS01735() AND LLMG_RS01760() AND LLMG_RS01755(2),,
CPLX_METabc-2,L-methionine transport via ABC system,LLMG_RS01760() AND LLMG_RS01755() AND LLMG_RS01730(),,
CPLX_METabc-3,L-methionine transport via ABC system,LLMG_RS01760() AND LLMG_RS01755() AND LLMG_RS01750(),,
CPLX_MNabc-0,Manganese transport via ABC system,LLMG_RS05770() AND LLMG_RS05775() AND LLMG_RS05780(),,
CPLX_PFL-0,Pyruvate formate lyase,LLMG_RS03285() AND LLMG_RS10005(),,
CPLX_PGGT2-0,Peptidoglycan glycosyltransferase,LLMG_RS02600() AND LLMG_RS11990() AND LLMG_RS08445(),,
CPLX_PGGT2-1,Peptidoglycan glycosyltransferase,LLMG_RS02600() AND LLMG_RS11990() AND LLMG_RS01845(),,
CPLX_SBTpts-0,D-sorbitol transport via PEP:Pyr PTS,LLMG_RS00670() AND LLMG_RS00675(),,
CPLX_PPIabc-0,Diphosphate transport in via ABC system,LLMG_RS09490() AND LLMG_RS09495() AND LLMG_RS09500() AND LLMG_RS09505() AND LLMG_RS09510() AND LLMG_RS09515(),,
CPLX_PRFGS_1-0,Phosphoribosylformylglycinamidine synthase,LLMG_RS04955() AND LLMG_RS04960() AND LLMG_RS04965(),,
CPLX_PTRCabc-0,Putrescine transport via ABC system,LLMG_RS06720(1) AND LLMG_RS06725(1) AND LLMG_RS06730(2) AND LLMG_RS06715(1),,
CPLX_RIBabc-0,D-ribose transport via ABC system,LLMG_RS04060() AND LLMG_RS04065() AND LLMG_RS04070(),,
CPLX_RNDR4-0,Ribonucleoside-diphosphate reductase (UDP),LLMG_RS07765(2) AND LLMG_RS07760(2),,
CPLX_SERD_L-0,L-serine deaminase,LLMG_RS08705() AND LLMG_RS08710(),,
CPLX_OIVD1r-0,2-oxoisovalerate dehydrogenase (acylating; 4-methyl-2-oxopentaoate),LLMG_RS00400() AND LLMG_RS00405() AND LLMG_RS00395() AND LLMG_RS00390(),,
CPLX_TRPS2-0,Tryptophan synthase (indole),LLMG_RS05285(2) AND LLMG_RS05280(2),,
CPLX_ACCOAC-0,Acetyl-CoA carboxylase,LLMG_RS08920() AND LLMG_RS08940() AND LLMG_RS08930() AND LLMG_RS08925() AND LLMG_RS09820(),,
