amino_acid	enzyme
ala__L_c	LLMG_RS09540-MONOMER_mod_zn2(4)
arg__L_c	LLMG_RS11600-MONOMER_mod_mg2(1)
asn__L_c	LLMG_RS10095-MONOMER
asp__L_c	LLMG_RS11115-MONOMER
cys__L_c	LLMG_RS10195-MONOMER_mod_zn2(1)
gln__L_c	CPLX_dummy
glu__L_c	LLMG_RS11690-MONOMER_mod_mg2(1)_mod_zn2(1)
gly_c	CPLX-tRNA-GLY-LIGASE
his__L_c	LLMG_RS11125-MONOMER_mod_mg2(4)
ile__L_c	LLMG_RS10255-MONOMER_mod_zn2(2)
leu__L_c	LLMG_RS08750-MONOMER
lys__L_c	LLMG_RS01995-MONOMER
met__L_c	LLMG_RS08860-MONOMER
phe__L_c	CPLX-tRNA-PHE-LIGASE_mod_mg2(1)
pro__L_c	LLMG_RS12095-MONOMER
ser__L_c	LLMG_RS03735-MONOMER_mod_mg2(1)
thr__L_c	LLMG_RS10900-MONOMER_mod_zn2(1)
trp__L_c	LLMG_RS00430-MONOMER_mod_mg2(1)
tyr__L_c	LLMG_RS02055-MONOMER
val__L_c	LLMG_RS12325-MONOMER_mod_mg2(1)
