,value
BSU38700-MONOMER,RNAP_BSU38700MONOMER
MONOMER8J2-54,RNAP_MONOMER8J254
BSU26840-MONOMER,RNAP_BSU26840MONOMER
BSU34200-MONOMER,RNAP_BSU34200MONOMER
BSU13450-MONOMER,RNAP_BSU13450MONOMER
BSU23450-MONOMER,RNAP_BSU23450MONOMER
BSU27120-MONOMER,RNAP_BSU27120MONOMER
BSU09520-MONOMER,RNAP_BSU09520MONOMER
BSU14730-MONOMER,RNAP_BSU14730MONOMER
BSU23100-MONOMER,RNAP_BSU23100MONOMER
CPLX8J2-52,RNAP_CPLX8J252
CPLX8J2-61,RNAP_CPLX8J261
CPLX8J2-47,RNAP_CPLX8J247
CPLX8J2-59,RNAP_CPLX8J259
CPLX8J2-44,RNAP_CPLX8J244
CPLX8J2-56,RNAP_CPLX8J256
CPLX8J2-53,RNAP_CPLX8J253
CPLX8J2-50,RNAP_CPLX8J250
BSU00980-MONOMER,RNAP_BSU00980MONOMER
BSU15330-MONOMER,RNAP_BSU15330MONOMER
CPLX8J2-48,RNAP_CPLX8J248
CPLX8J2-45,RNAP_CPLX8J245
CPLX8J2-57,RNAP_CPLX8J257
CPLX8J2-54,RNAP_CPLX8J254
MONOMER8J2-6,RNAP_MONOMER8J26
CPLX8J2-51,RNAP_CPLX8J251
CPLX8J2-49,RNAP_CPLX8J249
BSU01730-MONOMER,RNAP_BSU01730MONOMER
BSU04730-MONOMER,RNAP_BSU04730MONOMER
CPLX8J2-60,RNAP_CPLX8J260
CPLX8J2-46,RNAP_CPLX8J246
CPLX8J2-58,RNAP_CPLX8J258
CPLX8J2-55,RNAP_CPLX8J255
BSU25200-MONOMER,RNAP_BSU25200MONOMER
BSU12560-MONOMER,RNAP_BSU12560MONOMER
BSU16470-MONOMER,RNAP_BSU16470MONOMER
MONOMER8J2-53,RNAP_MONOMER8J253
BSU15320-MONOMER,RNAP_BSU15320MONOMER
