Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product
G185E-4260	Rv0143c	168704	170182	G185E-4260-MONOMER
G185E-6734	Rv2498c	2812355	2813176	G185E-6734-MONOMER
G185E-7224	Rv2970c	3324573	3325703	G185E-7224-MONOMER
G185E-4707	Rv0573c	665851	667242	G185E-4707-MONOMER
G185E-7690	Rv3413c	3832146	3833045	G185E-7690-MONOMER
G185E-5275	Rv1110	1236185	1237192	G185E-5275-MONOMER
G185E-8189	Rv3891c	4374049	4374372	G185E-8189-MONOMER
G185E-5741	Rv1553	1759435	1760178	G185E-5741-MONOMER
G185E-6196	Rv1994c	2237628	2237984	G185E-6196-MONOMER
G185E-4244	Rv0127	154232	155599	G185E-4244-MONOMER
G185E-7196	Rv2943	3288464	3289705	G185E-7196-MONOMER
G185E-4689	Rv0556	647959	648474	G185E-4689-MONOMER
G185E-7666	Rv3390	3804865	3805575	G185E-7666-MONOMER
G185E-5256	Rv1092c	1219248	1220186	G185E-5256-MONOMER
G185E-8173	Rv3875	4352609	4352896	G185E-8173-MONOMER
G185E-5724	Rv1536	1736519	1739644	G185E-5724-MONOMER
G185E-6177	Rv1978	2220908	2221756	G185E-6177-MONOMER
G185E-4226	Rv0109	131382	132872	G185E-4226-MONOMER
G185E-7176	Rv2923c	3238086	3238499	G185E-7176-MONOMER
G185E-4671	Rv0538	630040	631686	G185E-4671-MONOMER
G185E-7646	Rv3370c	3781501	3784740	G185E-7646-MONOMER
G185E-5234	Rv1072	1196279	1197115	G185E-5234-MONOMER
G185E-5127	Rv0971c	1081775	1082584	G185E-5127-MONOMER
G185E-8156	Rv3858c	4330039	4331505	G185E-8156-MONOMER
G185E-5705	Rv1517	1708871	1709635	G185E-5705-MONOMER
G185E-6158	Rv1960c	2203974	2204225	G185E-6158-MONOMER
G185E-6672	Rv2440c	2738247	2739686	G185E-6672-MONOMER
G185E-4204	Rv0087	95414	96892	G185E-4204-MONOMER
G185E-7158	Rv2906c	3215665	3216357	G185E-7158-MONOMER
G185E-7625	Rv3349c	3754293	3755033	G185E-7625-MONOMER
G185E-5202	Rv1042c	1165092	1165499	G185E-5202-MONOMER
G185E-5104	Rv0949	1058260	1060575	G185E-5104-MONOMER
G185E-8134	Rv3838c	4311704	4312669	G185E-8134-MONOMER
G185E-5677	Rv1492	1682157	1684004	G185E-5677-MONOMER
G185E-6132	Rv1935c	2186203	2187159	G185E-6132-MONOMER
G185E-6647	Rv2417c	2715472	2716314	G185E-6647-MONOMER
G185E-4186	Rv0071	79486	80193	G185E-4186-MONOMER
G185E-7138	Rv2886c	3195545	3196432	G185E-7138-MONOMER
G185E-4637	Rv0505c	595464	596585	G185E-4637-MONOMER
G185E-7605	Rv3329	3714392	3715708	G185E-7605-MONOMER
G185E-5186	Rv1027c	1148427	1149107	G185E-5186-MONOMER
G185E-8111	Rv3815c	4280033	4280788	G185E-8111-MONOMER
G185E-6113	Rv1916	2161566	2162762	G185E-6113-MONOMER
G185E-6621	Rv2395	2690072	2692075	G185E-6621-MONOMER
G185E-4166	Rv0052	57410	57973	G185E-4166-MONOMER
G185E-7120	Rv2868c	3179368	3180531	G185E-7120-MONOMER
G185E-4613	Rv0485	573984	575300	G185E-4613-MONOMER
G185E-7585	Rv3311	3698121	3699383	G185E-7585-MONOMER
