Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product
ABAYE_RS09490	ABAYE_RS09490	1905156	1906373	ABAYE_RS09490-MONOMER
ABAYE_RS15800	ABAYE_RS15800	3209318	3209869	ABAYE_RS15800-MONOMER
ABAYE_RS06560	ABAYE_RS06560	1307527	1307817	ABAYE_RS06560-MONOMER
ABAYE_RS17515	ABAYE_RS17515	3577540	3578352	ABAYE_RS17515-MONOMER
ABAYE_RS19290	ABAYE_RS19290	3926862	3927044	ABAYE_RS19290-MONOMER
ABAYE_RS10580	ABAYE_RS10580	2127733	2128287	ABAYE_RS10580-MONOMER
ABAYE_RS00090	ABAYE_RS00090	1384	1599	ABAYE_RS00090-MONOMER
ABAYE_RS16045	ABAYE_RS16045	3259896	3261137	ABAYE_RS16045-MONOMER
ABAYE_RS13655	ABAYE_RS13655	2760713	2761114	ABAYE_RS13655-MONOMER
ABAYE_RS06175	ABAYE_RS06175	1230052	1231065	ABAYE_RS06175-MONOMER
ABAYE_RS10970	ABAYE_RS10970	2203254	2203997	ABAYE_RS10970-MONOMER
ABAYE_RS04155	ABAYE_RS04155	738163	739518	ABAYE_RS04155-MONOMER
ABAYE_RS11825	ABAYE_RS11825	2388408	2389472	ABAYE_RS11825-MONOMER
ABAYE_RS09285	ABAYE_RS09285	1861847	1862668	ABAYE_RS09285-MONOMER
ABAYE_RS18480	ABAYE_RS18480	3753471	3753716	ABAYE_RS18480-MONOMER
ABAYE_RS19090	ABAYE_RS19090	3887784	3888785	ABAYE_RS19090-MONOMER
ABAYE_RS01005	ABAYE_RS01005	104467	105384	ABAYE_RS01005-MONOMER
ABAYE_RS03960	ABAYE_RS03960	697324	697400	ABAYE_RS03960-tRNA
ABAYE_RS09060	ABAYE_RS09060	1813980	1814906	ABAYE_RS09060-MONOMER
ABAYE_RS06990	ABAYE_RS06990	1377051	1378061	ABAYE_RS06990-MONOMER
