id	me_id	name	formula	compartment	type
alatrna_c					REMOVE
argtrna_c					REMOVE
asntrna_c					REMOVE
asptrna_c					REMOVE
bwco1gdp_c					REMOVE
bwco_c					REMOVE
bwcogdp_c					REMOVE
cystrna_c					REMOVE
fmettrna_c					REMOVE
glntrna_c					REMOVE
glutrna_c					REMOVE
glytrna_c					REMOVE
histrna_c					REMOVE
iletrna_c					REMOVE
leutrna_c					REMOVE
lipopb_c					REMOVE
lystrna_c					REMOVE
mettrna_c					REMOVE
octapb_c					REMOVE
phetrna_c					REMOVE
protrna_c					REMOVE
sectrna_c					REMOVE
sertrna[sec]_c					REMOVE
sertrna_c					REMOVE
thrtrna_c					REMOVE
trnaala_c					REMOVE
trnaarg_c					REMOVE
trnaasn_c					REMOVE
trnaasp_c					REMOVE
trnacys_c					REMOVE
trnagln_c					REMOVE
trnaglu_c					REMOVE
trnagly_c					REMOVE
trnahis_c					REMOVE
trnaile_c					REMOVE
trnaleu_c					REMOVE
trnalys_c					REMOVE
trnamet_c					REMOVE
trnaphe_c					REMOVE
trnapro_c					REMOVE
trnasecys_c					REMOVE
trnaser_c					REMOVE
trnathr_c					REMOVE
trnatrp_c					REMOVE
trnatyr_c					REMOVE
trnaval_c					REMOVE
trptrna_c					REMOVE
tyrtrna_c					REMOVE
valtrna_c					REMOVE
wco_c					REMOVE
2fe1s_c					REMOVE
apoACP_c	ACP				REPLACE
ACP_c	ACP_mod_pan4p(1)				REPLACE
3haACP_c	ACP_mod_pan4p(1)_mod_3ha(1)				REPLACE
3hcddec5eACP_c	ACP_mod_pan4p(1)_mod_3hcddec5e(1)				REPLACE
3hcmrs7eACP_c	ACP_mod_pan4p(1)_mod_3hcmrs7e(1)				REPLACE
3hcvac11eACP_c	ACP_mod_pan4p(1)_mod_3hcvac11e(1)				REPLACE
3hddecACP_c	ACP_mod_pan4p(1)_mod_3hddec(1)				REPLACE
3hdecACP_c	ACP_mod_pan4p(1)_mod_3hdec(1)				REPLACE
3hhexACP_c	ACP_mod_pan4p(1)_mod_3hhex(1)				REPLACE
3hmrsACP_c	ACP_mod_pan4p(1)_mod_3hmrs(1)				REPLACE
3hoctACP_c	ACP_mod_pan4p(1)_mod_3hoct(1)				REPLACE
3hoctaACP_c	ACP_mod_pan4p(1)_mod_3hocta(1)				REPLACE
3hpalmACP_c	ACP_mod_pan4p(1)_mod_3hpalm(1)				REPLACE
3ocddec5eACP_c	ACP_mod_pan4p(1)_mod_3ocddec5e(1)				REPLACE
3ocmrs7eACP_c	ACP_mod_pan4p(1)_mod_3ocmrs7e(1)				REPLACE
