Year,Organism,ModelID
1999,Haemophilus influenzae,iJE296
2000,Escherichia coli,iJE660
2000,Haemophilus influenzae,iCS400
2002,Helicobacter pylori,iCS291
2003,Escherichia coli,iJR904
2004,Mannheimia succiniciproducens, 
2005,Helicobacter pylori,iIT341
2005,Lactococcus lactis, 
2005,Staphylococcus aureus,iSB619
2005,Staphylococcus aureus,iMH551
2005,Streptomyces coelicolor, 
2006,Geobacter sulfurreducens, 
2006,Lactobacillus plantarum, 
2007,Bacillus subtilis,model_v3
2007,Escherichia coli,iAF1260
2007,Mannheimia succiniciproducens, 
2007,Mycobacterium tuberculosis,iNJ661
2007,Mycobacterium tuberculosis,GSMN-TB
2007,Neisseria meningitidis, 
2007,Rhizobium etli,iOR363
2008,Acinetobacter baylyi,iAbaylyiV4
2008,Clostridium acetobutylicum, 
2008,Corynebacterium glutamicum, 
2008,Corynebacterium glutamicum, 
2008,Porphyromonas gingivalis,iVM679
2008,Pseudomonas aeruginosa,iMO1056
2008,Pseudomonas putida,iJN746
2008,Pseudomonas putida,iJP815
2009,Bacillus subtilis,iBsu1103
2009,Buchnera aphidicola,iGT196
2009,Corynebacterium glutamicum, 
2009,Geobacter metallireducens, 
2009,Mycoplasma genitalium,iPS189
2009,Rhodoferax ferrireducens, 
2009,Salmonella enterica,iRR1083
2009,Salmonella enterica,iMA945
2009,Staphylococcus aureus, 
2009,Streptococcus thermophilus, 
2009,Thermotoga maritima, 
2009,Yersinia pestis,iAN818m
2010,Acinetobacter baumannii,AbyMBEL891
2010,Clostridium thermocellum,iSR432
2010,Dehalococcoides ethenogenes,iAI549
2010,Francisella tularensis,iRS605
2010,Mycobacterium tuberculosis,iNJ661m
2010,Pseudomonas putida,PpuMBEL1071
2010,Shewanella oneidensis,iSO783
2010,Streptomyces coelicolor, 
2010,Synechocystis sp. PCC6803,iSyn669
2010,Zymomonas mobilis,iZM363
2010,Zymomonas mobilis,ZmobMBEL601
2011,Burkholderia cenocepacia,iKF1028
2011,Campylobacter jejuni, 
2011,Chromohalobacter salexigens,iOA584
2011,Clostridium beijerinckii,iCB925
2011,Escherichia coli,iJO1366
