Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product
HP_RS01075	HP0219	227704	228165	HP_RS01075-MONOMER
HP_RS03515	HP0722	774452	776341	HP_RS03515-MONOMER
HP_RS05960	HP1207	1284324	1284992	HP_RS05960-MONOMER
HP_RS00960	HP0197	203618	204775	HP_RS00960-MONOMER
HP_RS03405	HP0696	747954	750251	HP_RS03405-MONOMER
HP_RS05850	HP1190	1260646	1261974	HP_RS05850-MONOMER
HP_RS00870	HP0178	184798	185820	HP_RS00870-MONOMER
HP_RS03275	HP0664	711827	712342	HP_RS03275-MONOMER
HP_RS05745	HP1169	1236572	1237225	HP_RS05745-MONOMER
HP_RS00775	HP0157	166150	166638	HP_RS00775-MONOMER
HP_RS03180	HP0645	690364	692046	HP_RS03180-MONOMER
HP_RS07780	HP1572	1652651	1653769	HP_RS07780-MONOMER
HP_RS05660	HP1152	1213522	1214868	HP_RS05660-MONOMER
HP_RS00670	HP0136	146813	147271	HP_RS00670-MONOMER
HP_RS03080	HP0625	671610	672689	HP_RS03080-MONOMER
HP_RS07680	HP1553	1632600	1635437	HP_RS07680-MONOMER
HP_RS05565	HP1133	1195705	1196610	HP_RS05565-MONOMER
HP_RS00580	HP0114	121002	122885	HP_RS00580-MONOMER
HP_RS02980	HP0604	640271	641290	HP_RS02980-MONOMER
HP_RS07575	HP1532	1609975	1611768	HP_RS07575-MONOMER
HP_RS05455	HP1111	1172352	1173296	HP_RS05455-MONOMER
HP_RS00470	HP0092	98083	98916	HP_RS00470-MONOMER
HP_RS02890	HP0586	616194	619127	HP_RS02890-MONOMER
HP_RS07445	HP1504	1577239	1577955	HP_RS07445-MONOMER
HP_RS05350	HP1088	1146594	1148519	HP_RS05350-MONOMER
HP_RS00370	HP0073	77240	77956	HP_RS00370-MONOMER
HP_RS02800	HP0569	601079	602179	HP_RS02800-MONOMER
HP_RS07355	HP1485	1557743	1558315	HP_RS07355-MONOMER
HP_RS05250	HP1067	1126268	1126642	HP_RS05250-MONOMER
HP_RS00245	HP0048	46042	48294	HP_RS00245-MONOMER
HP_RS02695	HP0547	579921	583481	HP_RS02695-MONOMER
HP_RS07260	HP1466	1536794	1537927	HP_RS07260-MONOMER
HP_RS05145	HP1047	1109612	1109947	HP_RS05145-MONOMER
HP_RS00145	HP0026	26078	27358	HP_RS00145-MONOMER
HP_RS02615	HP0531	564381	565037	HP_RS02615-MONOMER
HP_RS07170	HP1448	1517075	1517560	HP_RS07170-MONOMER
HP_RS05060	HP1030	1091743	1092606	HP_RS05060-MONOMER
HP_RS00020	HP0004	1932	2597	HP_RS00020-MONOMER
HP_RS02535	HP0514	542013	542462	HP_RS02535-MONOMER
HP_RS07060	HP1427	1496989	1497171	HP_RS07060-MONOMER
HP_RS04965	HP1010	1072429	1074456	HP_RS04965-MONOMER
HP_RS02440	HP0493	519534	520595	HP_RS02440-MONOMER
HP_RS06945	HP1406	1471119	1471967	HP_RS06945-MONOMER
HP_RS04775	HP0976	1037710	1039020	HP_RS04775-MONOMER
HP_RS02340	HP0473	495165	495905	HP_RS02340-MONOMER
HP_RS06810	HP1379	1442398	1444905	HP_RS06810-MONOMER
HP_RS04680	HP0956	1015046	1015774	HP_RS04680-MONOMER
HP_RS02110	HP0426	442479	444212	HP_RS02110-MONOMER
HP_RS06725	HP1361	1421605	1422918	HP_RS06725-MONOMER
HP_RS04555	HP0935	995544	996029	HP_RS04555-MONOMER
HP_RS01985	HP0403	415635	416621	HP_RS01985-MONOMER
