Gene Name,Accession-1,Left-End-Position,Right-End-Position,Product,replicon
YPO0001,YPO0001,270,711,YPO0001-MONOMER,NC_003143.1
YPO0002,YPO0002,803,1265,YPO0002-MONOMER,NC_003143.1
YPO0003,YPO0003,1434,2427,YPO0003-MONOMER,NC_003143.1
YPO0004,YPO0004,2525,3992,YPO0004-MONOMER,NC_003143.1
YPO0005,YPO0005,3995,5549,YPO0005-MONOMER,NC_003143.1
YPO0006,YPO0006,5822,7691,YPO0006-MONOMER,NC_003143.1
YPO0007,YPO0007,7895,8315,YPO0007-MONOMER,NC_003143.1
YPO0008,YPO0008,8365,9292,YPO0008-MONOMER,NC_003143.1
YPO_RS01050,YPO_RS01050,9344,9515,YPO_RS01050-MONOMER,NC_003143.1
YPO0009,YPO0009,9511,10936,YPO0009-MONOMER,NC_003143.1
YPO0010,YPO0010,11015,11705,YPO0010-MONOMER,NC_003143.1
YPOr01,YPOr01,12264,13807,YPOr01-rRNA,NC_003143.1
YPt_01,YPt_01,13943,14019,YPt_01-tRNA,NC_003143.1
YPOr02,YPOr02,14271,17178,YPOr02-rRNA,NC_003143.1
YPOr03,YPOr03,17287,17403,YPOr03-rRNA,NC_003143.1
YPO0011,YPO0011,17905,19114,YPO0011-MONOMER,NC_003143.1
YPO0012,YPO0012,19171,19702,YPO0012-MONOMER,NC_003143.1
YPO0013,YPO0013,19701,20289,YPO0013-MONOMER,NC_003143.1
YPO0013a,YPO0013a,20442,20712,YPO0013a-MONOMER,NC_003143.1
YPO0014,YPO0014,20791,21778,YPO0014-MONOMER,NC_003143.1
YPO0015,YPO0015,21805,22429,YPO0015-MONOMER,NC_003143.1
YPO0017,YPO0017,22920,25719,YPO0017-MONOMER,NC_003143.1
YPO0018,YPO0018,26127,26586,YPO0018-MONOMER,NC_003143.1
YPO0019,YPO0019,26837,27488,YPO0019-MONOMER,NC_003143.1
YPO0020,YPO0020,28232,28799,YPO0020-MONOMER,NC_003143.1
YPO0021,YPO0021,28981,30355,YPO0021-MONOMER,NC_003143.1
