,value
generic_16Sm4Cm1402,{'enzymes': ['YPO0547-MONOMER']}
generic_LYSINEaaRS,{'enzymes': ['YPO0888-MONOMER']}
generic_Dus,{'enzymes': ['YPO3655-MONOMER']}
generic_RF,"{'enzymes': ['YPO2017-MONOMER', 'YPO0889-MONOMER']}"
generic_Tuf,{'enzymes': ['YPO3754-MONOMER']}
generic_RNase,{'enzymes': ['YPO0044-MONOMER']}
generic_16s_rRNAs,"{'enzymes': ['RNA_YPOr01', 'RNA_YPOr04', 'RNA_YPOr09', 'RNA_YPOr13', 'RNA_YPOr16', 'RNA_YPOr19']}"
generic_23s_rRNAs,"{'enzymes': ['RNA_YPOr02', 'RNA_YPOr05', 'RNA_YPOr08', 'RNA_YPOr12', 'RNA_YPOr15', 'RNA_YPOr18']}"
generic_5s_rRNAs,"{'enzymes': ['RNA_YPOr03', 'RNA_YPOr06', 'RNA_YPOr07', 'RNA_YPOr10', 'RNA_YPOr11', 'RNA_YPOr14', 'RNA_YPOr17']}"
generic_fes_transfers_complex,{'enzymes': ['YPO3387-MONOMER']}
