Modified_enzyme,Core_enzyme,Modifications,Source
RNAP-CPLX_mod_zn2(1)_mod_mg2(2),RNAP-CPLX,zn2(1) AND mg2(2),RNA_Polymerase
YPO0003-MONOMER_mod_mg2(1),YPO0003-MONOMER,mg2(1),Homology
YPO0008-MONOMER_mod_k(1)_mod_mg2(1),YPO0008-MONOMER,k(1) AND mg2(1),Homology
YPO0013-MONOMER_mod_mg2(1),YPO0013-MONOMER,mg2(1),Homology
YPO0013-MONOMER_mod_mn2(1),YPO0013-MONOMER,mn2(1),Homology
YPO0021-MONOMER_mod_4fe4s(1),YPO0021-MONOMER,4fe4s(1),Homology
YPO0024-MONOMER_mod_mn2(1),YPO0024-MONOMER,mn2(1),Homology
YPO0038-MONOMER_mod_mn2(1),YPO0038-MONOMER,mn2(1),Homology
YPO0039-MONOMER_mod_mg2(1),YPO0039-MONOMER,mg2(1),Homology
YPO0040-MONOMER_mod_mg2(1),YPO0040-MONOMER,mg2(1),Homology
YPO0044-MONOMER_mod_mg2(1),YPO0044-MONOMER,mg2(1),Homology
YPO0045-MONOMER_mod_mg2(1),YPO0045-MONOMER,mg2(1),Homology
YPO0047-MONOMER_mod_zn2(1),YPO0047-MONOMER,zn2(1),Homology
YPO0048-MONOMER_mod_fmn(1),YPO0048-MONOMER,fmn(1),Homology
YPO0048-MONOMER_mod_mg2(1),YPO0048-MONOMER,mg2(1),Homology
YPO0053-MONOMER_mod_mg2(1),YPO0053-MONOMER,mg2(1),Homology
YPO0058-MONOMER_mod_nadp(1),YPO0058-MONOMER,nadp(1),Homology
YPO0059-MONOMER_mod_pydx5p(1),YPO0059-MONOMER,pydx5p(1),Homology
YPO0060-MONOMER_mod_zn2(1),YPO0060-MONOMER,zn2(1),Homology
YPO0064-MONOMER_mod_mn2(1),YPO0064-MONOMER,mn2(1),Homology
YPO0066-MONOMER_mod_Oxidized(1),YPO0066-MONOMER,Oxidized(1),Homology
YPO0078-MONOMER_mod_mg2(1),YPO0078-MONOMER,mg2(1),Homology
YPO0088-MONOMER_mod_fad(1),YPO0088-MONOMER,fad(1),Homology
YPO0104-MONOMER_mod_mg2(1),YPO0104-MONOMER,mg2(1),Homology
YPO0117-MONOMER_mod_fad(1),YPO0117-MONOMER,fad(1),Homology
YPO0138-MONOMER_mod_mg2(1),YPO0138-MONOMER,mg2(1),Homology
YPO0138-MONOMER_mod_ca2(1),YPO0138-MONOMER,ca2(1),Homology
YPO0138-MONOMER_mod_mn2(1),YPO0138-MONOMER,mn2(1),Homology
YPO0144-MONOMER_mod_mg2(1),YPO0144-MONOMER,mg2(1),Homology
YPO0151-MONOMER_mod_mg2(1),YPO0151-MONOMER,mg2(1),Homology
YPO0151-MONOMER_mod_mn2(1),YPO0151-MONOMER,mn2(1),Homology
YPO0151-MONOMER_mod_cobalt2(1),YPO0151-MONOMER,cobalt2(1),Homology
YPO0151-MONOMER_mod_fe2(1),YPO0151-MONOMER,fe2(1),Homology
YPO0151-MONOMER_mod_ca2(1),YPO0151-MONOMER,ca2(1),Homology
YPO0151-MONOMER_mod_k(1),YPO0151-MONOMER,k(1),Homology
YPO0152-MONOMER_mod_cobalt2(1)_mod_nad(1),YPO0152-MONOMER,cobalt2(1) AND nad(1),Homology
