Reaction,Complexes
GAMAN6Ptex,YPO1222-MONOMER
GAMptspp,CPLX_GAMptspp-0
GALCTNLtex,YPO1222-MONOMER
GAMtex,YPO1222-MONOMER
GALCTNtex,YPO1222-MONOMER
GAPD,YPO2157-MONOMER
GALCTtex,YPO1222-MONOMER
GALKr,YPO1137-MONOMER_mod_mg2(1)
GARFT,YPO2829-MONOMER
GALtex,YPO1222-MONOMER
DDGLCNtex,YPO1222-MONOMER
DDGLK,YPO3990-MONOMER
GALTtex,YPO1222-MONOMER
DDPA,YPO3286-MONOMER
GALURt2rpp,YPO0577-MONOMER
GART,YPO1775-MONOMER_mod_mg2(1)
GALURtex,YPO1222-MONOMER
DGK1,YPO0040-MONOMER_mod_mg2(1)
DGMPtex,YPO1222-MONOMER
GBBTNtex,YPO1222-MONOMER
DGSNtex,YPO1222-MONOMER
DHAD1,YPO3897-MONOMER_mod_4fe4s(1)
DHAD2,YPO3897-MONOMER_mod_4fe4s(1)
DHAtex,YPO1222-MONOMER
GDPDPK,YPO3380-MONOMER OR YPO0038-MONOMER_mod_mn2(1)
GDPtex,YPO1222-MONOMER
GF6PTA,YPO4118-MONOMER
GHMT2r,YPO2907-MONOMER
GK1,YPO0040-MONOMER_mod_mg2(1)
GLBRAN2,YPO3942-MONOMER
GLCabcpp,CPLX_GLCabcpp-0
GLCNt2rpp,YPO3954-MONOMER OR YPO0767-MONOMER
GLCNtex,YPO1222-MONOMER
GLCP,YPO3938-MONOMER_mod_pydx5p(1)
GLCP2,YPO3938-MONOMER_mod_pydx5p(1)
GLCptspp,CPLX_GLCptspp-0 OR CPLX_GAMptspp-0 OR CPLX_GLCptspp-1
GLCRtex,YPO1222-MONOMER
GLCS1,YPO3939-MONOMER
GLCtex_copy1,YPO1222-MONOMER
GLCtex_copy2,YPO3711-MONOMER
GLCUR1Ptex,YPO1222-MONOMER
GLCURt2rpp,YPO0577-MONOMER
GLCURtex,YPO1222-MONOMER
GLDBRAN2,YPO3941-MONOMER
GLGC,YPO3940-MONOMER_mod_mg2(1)
GLNabcpp,CPLX_GLNabcpp-0
12PPDRtex,YPO1222-MONOMER
12PPDStex,YPO1222-MONOMER
14GLUCANabcpp,CPLX_14GLUCANabcpp-0
14GLUCANtexi,YPO3711-MONOMER
23CAMPtex,YPO1222-MONOMER
5DGLCNtex,YPO1222-MONOMER
2AGPG180tipp,YPO0792-MONOMER
23CCMPtex,YPO1222-MONOMER
2AGPG181tipp,YPO0792-MONOMER
2AGPGAT120,YPO0793-MONOMER
5DOAN,YPO3384-MONOMER
2AGPGAT140,YPO0793-MONOMER
2AGPGAT141,YPO0793-MONOMER
AACPS1,CPLX_AACPS1-0
23CGMPtex,YPO1222-MONOMER
AACPS2,CPLX_AACPS1-0
2AGPGAT160,YPO0793-MONOMER
2AGPGAT161,YPO0793-MONOMER
AACPS3,CPLX_AACPS1-0
AACPS4,CPLX_AACPS1-0
AACPS5,CPLX_AACPS1-0
AACPS6,CPLX_AACPS1-0
2AGPGAT180,YPO0793-MONOMER
2AGPGAT181,YPO0793-MONOMER
AACPS7,CPLX_AACPS1-0
23CUMPtex,YPO1222-MONOMER
AACPS8,CPLX_AACPS1-0
AACPS9,CPLX_AACPS1-0
AADDGT,YPO3857-MONOMER
2DGLCNRx,YPO4078-MONOMER
AAMYLpp,YPO4080-MONOMER
2DGLCNRy,YPO4078-MONOMER
ABTA,YPO2844-MONOMER_mod_pydx5p(1)
23DAPPAtex,YPO1222-MONOMER
ABUTtex,YPO1222-MONOMER
2DGULRx,YPO4078-MONOMER
2DGULRy,YPO4078-MONOMER
23PDE2pp,YPO3530-MONOMER
34dhpactex,YPO1222-MONOMER
3AMPtex,YPO1222-MONOMER
ACACtex,YPO1222-MONOMER
ACALD,YPO2180-MONOMER
ACALDtex,YPO1222-MONOMER
3CMPtex,YPO1222-MONOMER
3GMPtex,YPO1222-MONOMER
23PDE4pp,YPO3530-MONOMER
ACCOAC,CPLX_ACCOAC-0
ACGAL1Ptex,YPO1222-MONOMER
ACGALtex,YPO1222-MONOMER
ACGAM1Ptex,YPO1222-MONOMER
ACGAMK,YPO1629-MONOMER
