Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product
SGL_RS11745	SGL_RS11745	2087804	2087875	SGL_RS11745-tRNA
SGL_RS14840	SGL_RS14840	2785941	2786717	SGL_RS14840-MONOMER
SGL_RS07530	SGL_RS07530	1215453	1216151	SGL_RS07530-MONOMER
SGL_RS06740	SGL_RS06740	1042609	1042953	SGL_RS06740-MONOMER
SGL_RS18595	SGL_RS18595	34375	34668	SGL_RS18595-MONOMER
SGL_RS16950	SGL_RS16950	3257692	3259887	SGL_RS16950-MONOMER
SGL_RS01225	SGL_RS01225	15590	17317	SGL_RS01225-MONOMER
SGL_RS17280	SGL_RS17280	3331625	3332821	SGL_RS17280-MONOMER
SGL_RS01085	SGL_RS01085	94718	95344	SGL_RS01085-MONOMER
SGL_RS03615	SGL_RS03615	365274	365621	SGL_RS03615-MONOMER
SGL_RS06980	SGL_RS06980	1093626	1094516	SGL_RS06980-MONOMER
SGL_RS05860	SGL_RS05860	843613	844221	SGL_RS05860-MONOMER
SGL_RS04395	SGL_RS04395	545250	545588	SGL_RS04395-MONOMER
SGL_RS00580	SGL_RS00580	111783	112217	SGL_RS00580-MONOMER
SGL_RS06435	SGL_RS06435	976706	977842	SGL_RS06435-MONOMER
SGL_RS10495	SGL_RS10495	1826259	1826708	SGL_RS10495-MONOMER
SGL_RS09170	SGL_RS09170	1560387	1561424	SGL_RS09170-MONOMER
SGL_RS05310	SGL_RS05310	737867	738808	SGL_RS05310-MONOMER
SGL_RS03015	SGL_RS03015	247117	247569	SGL_RS03015-MONOMER
SGL_RS15875	SGL_RS15875	3009463	3010095	SGL_RS15875-MONOMER
SGL_RS13905	SGL_RS13905	2581944	2582393	SGL_RS13905-MONOMER
SGL_RS11165	SGL_RS11165	1965485	1965949	SGL_RS11165-MONOMER
SGL_RS17520	SGL_RS17520	3386777	3388465	SGL_RS17520-MONOMER
SGL_RS03450	SGL_RS03450	336747	337760	SGL_RS03450-MONOMER
SGL_RS12735	SGL_RS12735	2309413	2310471	SGL_RS12735-MONOMER
SGL_RS11370	SGL_RS11370	2012754	2013485	SGL_RS11370-MONOMER
SGL_RS12315	SGL_RS12315	2224789	2225112	SGL_RS12315-MONOMER
SGL_RS13520	SGL_RS13520	2504415	2506043	SGL_RS13520-MONOMER
SGL_RS00430	SGL_RS00430	90973	91218	SGL_RS00430-MONOMER
SGL_RS15315	SGL_RS15315	2886182	2887513	SGL_RS15315-MONOMER
SGL_RS07280	SGL_RS07280	1157029	1158909	SGL_RS07280-MONOMER
SGL_RS01265	SGL_RS01265	23856	24077	SGL_RS01265-MONOMER
SGL_RS18850	SGL_RS18850	1616904	1617466	SGL_RS18850-MONOMER
SGL_RS08445	SGL_RS08445	1399382	1400311	SGL_RS08445-MONOMER
SGL_RS15290	SGL_RS15290	2880766	2881155	SGL_RS15290-MONOMER
SGL_RS18110	SGL_RS18110	3520597	3521694	SGL_RS18110-MONOMER
SGL_RS15235	SGL_RS15235	2868767	2869561	SGL_RS15235-MONOMER
SGL_RS08705	SGL_RS08705	1460129	1460566	SGL_RS08705-MONOMER
SGL_RS17305	SGL_RS17305	3338682	3339485	SGL_RS17305-MONOMER
SGL_RS09980	SGL_RS09980	1719356	1719541	SGL_RS09980-MONOMER
SGL_RS12870	SGL_RS12870	2346573	2347127	SGL_RS12870-MONOMER
SGL_RS00735	SGL_RS00735	24925	25509	SGL_RS00735-MONOMER
SGL_RS01005	SGL_RS01005	76204	77592	SGL_RS01005-MONOMER
SGL_RS08210	SGL_RS08210	1350236	1351579	SGL_RS08210-MONOMER
SGL_RS00055	SGL_RS00055	17880	18800	SGL_RS00055-MONOMER
SGL_RS07735	SGL_RS07735	1254036	1254623	SGL_RS07735-MONOMER
SGL_RS07880	SGL_RS07880	1284660	1285943	SGL_RS07880-MONOMER
SGL_RS08535	SGL_RS08535	1416843	1417247	SGL_RS08535-MONOMER
SGL_RS16290	SGL_RS16290	3104142	3107102	SGL_RS16290-MONOMER
SGL_RS11810	SGL_RS11810	2098921	2100261	SGL_RS11810-MONOMER
SGL_RS13760	SGL_RS13760	2553495	2553788	SGL_RS13760-MONOMER
SGL_RS05580	SGL_RS05580	798846	799535	SGL_RS05580-MONOMER
SGL_RS03230	SGL_RS03230	287929	289104	SGL_RS03230-MONOMER
SGL_RS15765	SGL_RS15765	2986238	2987194	SGL_RS15765-MONOMER
SGL_RS15110	SGL_RS15110	2838924	2839379	SGL_RS15110-MONOMER
SGL_RS16360	SGL_RS16360	3117042	3118091	SGL_RS16360-MONOMER
SGL_RS14150	SGL_RS14150	2631611	2631868	SGL_RS14150-MONOMER
SGL_RS10850	SGL_RS10850	1899700	1901148	SGL_RS10850-MONOMER
SGL_RS09780	SGL_RS09780	1682870	1683529	SGL_RS09780-MONOMER
SGL_RS11915	SGL_RS11915	2127879	2128127	SGL_RS11915-MONOMER
SGL_RS15385	SGL_RS15385	2904531	2905235	SGL_RS15385-MONOMER
SGL_RS11345	SGL_RS11345	2007850	2008752	SGL_RS11345-MONOMER
SGL_RS13165	SGL_RS13165	2420030	2421445	SGL_RS13165-MONOMER
SGL_RS05240	SGL_RS05240	725413	726234	SGL_RS05240-MONOMER
SGL_RS01740	SGL_RS01740	77766	78551	SGL_RS01740-MONOMER
SGL_RS06335	SGL_RS06335	951797	953098	SGL_RS06335-MONOMER
SGL_RS13790	SGL_RS13790	2560112	2561293	SGL_RS13790-MONOMER
SGL_RS17325	SGL_RS17325	3342125	3342514	SGL_RS17325-MONOMER
SGL_RS00185	SGL_RS00185	39663	40259	SGL_RS00185-MONOMER
SGL_RS17690	SGL_RS17690	3424394	3424648	SGL_RS17690-MONOMER
SGL_RS14230	SGL_RS14230	2646301	2646522	SGL_RS14230-MONOMER
SGL_RS12990	SGL_RS12990	2389062	2389481	SGL_RS12990-MONOMER
SGL_RS18300	SGL_RS18300	3553977	3555512	SGL_RS18300-MONOMER
SGL_RS10625	SGL_RS10625	1848799	1850550	SGL_RS10625-MONOMER
SGL_RS06665	SGL_RS06665	1024825	1025346	SGL_RS06665-MONOMER
SGL_RS03660	SGL_RS03660	374646	375452	SGL_RS03660-MONOMER
SGL_RS06955	SGL_RS06955	1089400	1090323	SGL_RS06955-MONOMER
SGL_RS02935	SGL_RS02935	230658	231839	SGL_RS02935-MONOMER
SGL_RS18025	SGL_RS18025	3503304	3503585	SGL_RS18025-MONOMER
SGL_RS06380	SGL_RS06380	962888	965800	SGL_RS06380-MONOMER
SGL_RS10380	SGL_RS10380	1802742	1804142	SGL_RS10380-MONOMER
SGL_RS18285	SGL_RS18285	3551159	3552382	SGL_RS18285-MONOMER
SGL_RS11980	SGL_RS11980	2139193	2140395	SGL_RS11980-MONOMER
SGL_RS02955	SGL_RS02955	234905	236356	SGL_RS02955-MONOMER
SGL_RS12835	SGL_RS12835	2335706	2336326	SGL_RS12835-MONOMER
SGL_RS18835	SGL_RS18835	1561693	1562423	SGL_RS18835-MONOMER
SGL_RS10575	SGL_RS10575	1838299	1839252	SGL_RS10575-MONOMER
SGL_RS02475	SGL_RS02475	133923	134177	SGL_RS02475-MONOMER
SGL_RS02845	SGL_RS02845	209527	209826	SGL_RS02845-MONOMER
SGL_RS17215	SGL_RS17215	3317701	3318747	SGL_RS17215-MONOMER
SGL_RS10680	SGL_RS10680	1865033	1865473	SGL_RS10680-MONOMER
SGL_RS04455	SGL_RS04455	554727	555050	SGL_RS04455-MONOMER
SGL_RS04030	SGL_RS04030	458408	458857	SGL_RS04030-MONOMER
SGL_RS05670	SGL_RS05670	821550	821783	SGL_RS05670-MONOMER
SGL_RS19000	SGL_RS19000	2445550	2445915	SGL_RS19000-MONOMER
SGL_RS15835	SGL_RS15835	3002066	3002797	SGL_RS15835-MONOMER
SGL_RS06085	SGL_RS06085	901197	902315	SGL_RS06085-MONOMER
SGL_RS16470	SGL_RS16470	3143696	3144181	SGL_RS16470-MONOMER
SGL_RS04345	SGL_RS04345	533086	537474	SGL_RS04345-MONOMER
SGL_RS10265	SGL_RS10265	1776081	1776839	SGL_RS10265-MONOMER
SGL_RS05575	SGL_RS05575	797734	798792	SGL_RS05575-MONOMER
SGL_RS13880	SGL_RS13880	2577453	2578043	SGL_RS13880-MONOMER
SGL_RS01620	SGL_RS01620	53782	54240	SGL_RS01620-MONOMER
SGL_RS02825	SGL_RS02825	204604	206397	SGL_RS02825-MONOMER
SGL_RS09565	SGL_RS09565	1637476	1638270	SGL_RS09565-MONOMER
SGL_RS00685	SGL_RS00685	11524	12513	SGL_RS00685-MONOMER
SGL_RS12465	SGL_RS12465	2251657	2252958	SGL_RS12465-MONOMER
SGL_RS07885	SGL_RS07885	1286105	1286902	SGL_RS07885-MONOMER
SGL_RS17420	SGL_RS17420	3368416	3369621	SGL_RS17420-MONOMER
SGL_RS05520	SGL_RS05520	783379	784764	SGL_RS05520-MONOMER
SGL_RS16630	SGL_RS16630	3186379	3188043	SGL_RS16630-MONOMER
SGL_RS15145	SGL_RS15145	2847323	2848348	SGL_RS15145-MONOMER
SGL_RS08300	SGL_RS08300	1370043	1370426	SGL_RS08300-MONOMER
SGL_RS04045	SGL_RS04045	460692	460895	SGL_RS04045-MONOMER
SGL_RS11295	SGL_RS11295	1997497	1997790	SGL_RS11295-MONOMER
SGL_RS17825	SGL_RS17825	3458023	3458145	SGL_RS17825-MONOMER
SGL_RS18720	SGL_RS18720	851717	852447	SGL_RS18720-MONOMER
SGL_RS03965	SGL_RS03965	442164	443933	SGL_RS03965-MONOMER
SGL_RS05185	SGL_RS05185	711608	712783	SGL_RS05185-MONOMER
SGL_RS10920	SGL_RS10920	1914818	1915135	SGL_RS10920-MONOMER
SGL_RS03065	SGL_RS03065	258227	259363	SGL_RS03065-MONOMER
SGL_RS16195	SGL_RS16195	3083746	3084123	SGL_RS16195-MONOMER
SGL_RS04715	SGL_RS04715	609948	610487	SGL_RS04715-MONOMER
SGL_RS12070	SGL_RS12070	2156497	2156961	SGL_RS12070-MONOMER
