bnum	modification	position
CLJU_c00110	ms2t6A	A37
CLJU_c00110	Y	U55
CLJU_c00110	m7G	G46
CLJU_c00110	3_prime_cleaved	
CLJU_c00110	5_prime_cleaved	
CLJU_c00180	ms2i6A	A37
CLJU_c00180	Y	U55
CLJU_c00180	3_prime_cleaved	
CLJU_c00180	5_prime_cleaved	
CLJU_c00190	ms2t6A	A37
CLJU_c00190	Y	U55
CLJU_c00190	3_prime_cleaved	
CLJU_c00190	5_prime_cleaved	
CLJU_c00200	I	A34
CLJU_c00200	Y	U55
CLJU_c00200	m7G	G46
CLJU_c00200	3_prime_cleaved	
CLJU_c00200	5_prime_cleaved	
CLJU_c00750	Y	U55
CLJU_c00750	m7G	G46
CLJU_c00750	3_prime_cleaved	
CLJU_c00750	5_prime_cleaved	
CLJU_c00770	ms2i6A	A37
CLJU_c00770	Y	U55
CLJU_c00770	Y	U39
CLJU_c00770	3_prime_cleaved	
CLJU_c00770	5_prime_cleaved	
CLJU_c00840	ms2i6A	A37
CLJU_c00840	Y	U55
CLJU_c00840	3_prime_cleaved	
CLJU_c00840	5_prime_cleaved	
CLJU_c01030	ms2t6A	A37
CLJU_c01030	Y	U55
CLJU_c01030	s2U	U34
CLJU_c01030	cmnm5s2	s2U34
CLJU_c01030	m7G	G46
CLJU_c01030	Y	U39
CLJU_c01030	3_prime_cleaved	
CLJU_c01030	5_prime_cleaved	
CLJU_c01170	ms2i6A	A37
CLJU_c01170	Y	U55
CLJU_c01170	m7G	G46
CLJU_c01170	Y	U39
CLJU_c01170	3_prime_cleaved	
CLJU_c01170	5_prime_cleaved	
CLJU_c01330	ms2i6A	A37
CLJU_c01330	Y	U55
CLJU_c01330	3_prime_cleaved	
CLJU_c01330	5_prime_cleaved	
CLJU_c02530	ms2t6A	A37
CLJU_c02530	Y	U55
CLJU_c02530	m7G	G46
CLJU_c02530	Y	U39
CLJU_c02530	3_prime_cleaved	
CLJU_c02530	5_prime_cleaved	
CLJU_c02540	ms2i6A	A37
CLJU_c02540	Y	U55
CLJU_c02540	Q	G34
CLJU_c02540	Y	U39
CLJU_c02540	3_prime_cleaved	
CLJU_c02540	5_prime_cleaved	
CLJU_c02550	m6A	A37
CLJU_c02550	Y	U55
CLJU_c02550	m7G	G46
CLJU_c02550	3_prime_cleaved	
CLJU_c02550	5_prime_cleaved	
CLJU_c02560	ms2t6A	A37
CLJU_c02560	Y	U55
CLJU_c02560	m7G	G46
CLJU_c02560	Y	U39
CLJU_c02560	3_prime_cleaved	
CLJU_c02560	5_prime_cleaved	
CLJU_c02570	ms2i6A	A37
CLJU_c02570	Y	U55
CLJU_c02570	Q	G34
CLJU_c02570	Y	U39
CLJU_c02570	3_prime_cleaved	
CLJU_c02570	5_prime_cleaved	
CLJU_c02760	m1G	G37
CLJU_c02760	Y	U55
CLJU_c02760	3_prime_cleaved	
CLJU_c02760	5_prime_cleaved	
CLJU_c06240	m7G	G46
CLJU_c06240	Y	U55
CLJU_c06240	3_prime_cleaved	
CLJU_c06240	5_prime_cleaved	
CLJU_c06250	ms2t6A	A37
CLJU_c06250	Y	U55
CLJU_c06250	m7G	G46
CLJU_c06250	3_prime_cleaved	
CLJU_c06250	5_prime_cleaved	
CLJU_c06320	ms2i6A	A37
CLJU_c06320	Y	U55
CLJU_c06320	m7G	G46
CLJU_c06320	Y	U39
CLJU_c06320	3_prime_cleaved	
CLJU_c06320	5_prime_cleaved	
CLJU_c06530	Y	U55
CLJU_c06530	m7G	G46
CLJU_c06530	3_prime_cleaved	
CLJU_c06530	5_prime_cleaved	
CLJU_c06540	ms2t6A	A37
CLJU_c06540	Y	U55
CLJU_c06540	m7G	G46
CLJU_c06540	3_prime_cleaved	
CLJU_c06540	5_prime_cleaved	
CLJU_c06570	ms2t6A	A37
CLJU_c06570	Y	U55
CLJU_c06570	Q	G34
CLJU_c06570	3_prime_cleaved	
CLJU_c06570	5_prime_cleaved	
CLJU_c14920	ms2t6A	A37
CLJU_c14920	Y	U55
CLJU_c14920	m7G	G46
CLJU_c14920	3_prime_cleaved	
CLJU_c14920	5_prime_cleaved	
CLJU_c27280	ms2i6A	A37
CLJU_c27280	CAA_cap	
CLJU_c27280	Y	U55
CLJU_c27280	m7G	G46
CLJU_c27280	3_prime_cleaved_CAA	
CLJU_c27280	5_prime_cleaved	
CLJU_c27690	ms2i6A	A37
CLJU_c27690	CAA_cap	
CLJU_c27690	Y	U55
CLJU_c27690	m7G	G46
CLJU_c27690	3_prime_cleaved_CAA	
CLJU_c27690	5_prime_cleaved	
CLJU_c28440	m1G	G37
CLJU_c28440	Y	U55
CLJU_c28440	Y	U39
CLJU_c28440	3_prime_cleaved	
CLJU_c28440	5_prime_cleaved	
CLJU_c28450	ms2t6A	A37
CLJU_c28450	Y	U55
CLJU_c28450	s2U	U34
CLJU_c28450	cmnm5s2	s2U34
CLJU_c28450	m7G	G46
CLJU_c28450	Y	U39
CLJU_c28450	3_prime_cleaved	
CLJU_c28450	5_prime_cleaved	
CLJU_c28460	Y	U55
CLJU_c28460	Y	U39
CLJU_c28460	cmnm5s2	s2U34
CLJU_c28460	3_prime_cleaved	
CLJU_c28460	5_prime_cleaved	
CLJU_c31750	Y	U55
CLJU_c31750	3_prime_cleaved	
CLJU_c31750	5_prime_cleaved	
CLJU_c32740	ms2i6A	A37
CLJU_c32740	Y	U55
CLJU_c32740	Cm	C34
CLJU_c32740	Y	U39
CLJU_c32740	3_prime_cleaved	
CLJU_c32740	5_prime_cleaved	
CLJU_c33580	m1G	G37
CLJU_c33580	Y	U55
CLJU_c33580	3_prime_cleaved	
CLJU_c33580	5_prime_cleaved	
CLJU_c34490	m6A	A37
CLJU_c34490	Y	U55
CLJU_c34490	m7G	G46
CLJU_c34490	3_prime_cleaved	
CLJU_c34490	5_prime_cleaved	
CLJU_c34500	ms2i6A	A37
CLJU_c34500	Y	U55
CLJU_c34500	m7G	G46
CLJU_c34500	Y	U39
CLJU_c34500	3_prime_cleaved	
CLJU_c34500	5_prime_cleaved	
CLJU_c34510	Y	U55
CLJU_c34510	m7G	G46
CLJU_c34510	3_prime_cleaved	
CLJU_c34510	5_prime_cleaved	
CLJU_c34520	ms2i6A	A37
CLJU_c34520	Y	U55
CLJU_c34520	3_prime_cleaved	
CLJU_c34520	5_prime_cleaved	
CLJU_c36690	Y	U55
CLJU_c36690	m7G	G46
CLJU_c36690	Y	U39
CLJU_c36690	3_prime_cleaved	
CLJU_c36690	5_prime_cleaved	
CLJU_c36700	Y	U55
CLJU_c36700	3_prime_cleaved	
CLJU_c36700	5_prime_cleaved	
CLJU_c36710	m1G	G37
CLJU_c36710	Y	U55
CLJU_c36710	m7G	G46
CLJU_c36710	3_prime_cleaved	
CLJU_c36710	5_prime_cleaved	
CLJU_c36720	ms2t6A	A37
CLJU_c36720	Y	U55
CLJU_c36720	m7G	G46
CLJU_c36720	Y	U39
CLJU_c36720	3_prime_cleaved	
CLJU_c36720	5_prime_cleaved	
CLJU_c36730	ms2t6A	A37
CLJU_c36730	Y	U55
CLJU_c36730	m7G	G46
CLJU_c36730	cmnm5s2	s2U34
CLJU_c36730	3_prime_cleaved	
CLJU_c36730	5_prime_cleaved	
CLJU_c36740	Y	U55
CLJU_c36740	3_prime_cleaved	
CLJU_c36740	5_prime_cleaved	
CLJU_c36750	Y	U55
CLJU_c36750	m7G	G46
CLJU_c36750	3_prime_cleaved	
CLJU_c36750	5_prime_cleaved	
CLJU_c36760	m1G	G37
CLJU_c36760	Y	U55
CLJU_c36760	Y	U39
CLJU_c36760	3_prime_cleaved	
CLJU_c36760	5_prime_cleaved	
CLJU_c36770	ms2t6A	A37
CLJU_c36770	Y	U55
CLJU_c36770	s2U	U34
CLJU_c36770	cmnm5s2	s2U34
CLJU_c36770	m7G	G46
CLJU_c36770	Y	U39
CLJU_c36770	3_prime_cleaved	
CLJU_c36770	5_prime_cleaved	
CLJU_c36780	Y	U55
CLJU_c36780	Y	U39
CLJU_c36780	cmnm5s2	s2U34
CLJU_c36780	3_prime_cleaved	
CLJU_c36780	5_prime_cleaved	
CLJU_c36790	m1G	G37
CLJU_c36790	Y	U55
CLJU_c36790	m7G	G46
CLJU_c36790	Q	G34
CLJU_c36790	Y	U39
CLJU_c36790	Y	U39
CLJU_c36790	3_prime_cleaved	
CLJU_c36790	5_prime_cleaved	
CLJU_c36800	ms2t6A	A37
CLJU_c36800	Y	U55
CLJU_c36800	m7G	G46
CLJU_c36800	Y	U39
CLJU_c36800	3_prime_cleaved	
CLJU_c36800	5_prime_cleaved	
CLJU_c36810	ms2t6A	A37
CLJU_c36810	Y	U55
CLJU_c36810	m7G	G46
CLJU_c36810	cmnm5s2	s2U34
CLJU_c36810	3_prime_cleaved	
CLJU_c36810	5_prime_cleaved	
CLJU_c36820	Y	U55
CLJU_c36820	3_prime_cleaved	
CLJU_c36820	5_prime_cleaved	
CLJU_c36830	m1G	G37
CLJU_c36830	Y	U55
CLJU_c36830	m7G	G46
CLJU_c36830	3_prime_cleaved	
CLJU_c36830	5_prime_cleaved	
CLJU_c38150	ms2i6A	A37
CLJU_c38150	Y	U55
CLJU_c38150	m7G	G46
CLJU_c38150	3_prime_cleaved	
CLJU_c38150	5_prime_cleaved	
CLJU_c39240	m1G	G37
CLJU_c39240	Y	U55
CLJU_c39240	Y	U39
CLJU_c39240	Y	U39
CLJU_c39240	3_prime_cleaved	
CLJU_c39240	5_prime_cleaved	
CLJU_c41210	ms2t6A	A37
CLJU_c41210	Y	U55
CLJU_c41210	m7G	G46
CLJU_c41210	3_prime_cleaved	
CLJU_c41210	5_prime_cleaved	
CLJU_c41220	Y	U55
CLJU_c41220	m7G	G46
CLJU_c41220	Y	U39
CLJU_c41220	3_prime_cleaved	
CLJU_c41220	5_prime_cleaved	
CLJU_c41390	ms2t6A	A37
CLJU_c41390	Y	U55
CLJU_c41390	m7G	G46
CLJU_c41390	Q	G34
CLJU_c41390	3_prime_cleaved	
CLJU_c41390	5_prime_cleaved	
CLJU_c41400	Y	U55
CLJU_c41400	m7G	G46
CLJU_c41400	3_prime_cleaved	
CLJU_c41400	5_prime_cleaved	
CLJU_c41410	ms2t6A	A37
CLJU_c41410	Y	U55
CLJU_c41410	m7G	G46
CLJU_c41410	3_prime_cleaved	
CLJU_c41410	5_prime_cleaved	
CLJU_c41470	ms2t6A	A37
CLJU_c41470	Y	U55
CLJU_c41470	m7G	G46
CLJU_c41470	Q	G34
CLJU_c41470	3_prime_cleaved	
CLJU_c41470	5_prime_cleaved	
CLJU_c41570	ms2t6A	A37
CLJU_c41570	Y	U55
CLJU_c41570	m7G	G46
CLJU_c41570	3_prime_cleaved	
CLJU_c41570	5_prime_cleaved	
CLJU_c41580	ms2i6A	A37
CLJU_c41580	m7G	G46
CLJU_c41580	Y	U55
CLJU_c41580	Y	U39
CLJU_c41580	cmnm5s2	s2U34
CLJU_c41580	3_prime_cleaved	
CLJU_c41580	5_prime_cleaved	
CLJU_c41590	ms2t6A	A37
CLJU_c41590	Y	U55
CLJU_c41590	m7G	G46
CLJU_c41590	3_prime_cleaved	
CLJU_c41590	5_prime_cleaved	
CLJU_c41600	ms2t6A	A37
CLJU_c41600	Y	U55
CLJU_c41600	m7G	G46
CLJU_c41600	3_prime_cleaved	
CLJU_c41600	5_prime_cleaved	
CLJU_c41610	ms2i6A	A37
CLJU_c41610	m7G	G46
CLJU_c41610	Y	U55
CLJU_c41610	Y	U39
CLJU_c41610	cmnm5s2	s2U34
CLJU_c41610	3_prime_cleaved	
CLJU_c41610	5_prime_cleaved	
CLJU_c41830	m1G	G37
CLJU_c41830	Y	U55
CLJU_c41830	m7G	G46
CLJU_c41830	3_prime_cleaved	
CLJU_c41830	5_prime_cleaved	
CLJU_c42240	ms2t6A	A37
CLJU_c42240	Y	U55
CLJU_c42240	m7G	G46
CLJU_c42240	Y	U39
CLJU_c42240	3_prime_cleaved	
CLJU_c42240	5_prime_cleaved	
CLJU_c42250	Y	U55
CLJU_c42250	m7G	G46
CLJU_c42250	Q	G34
CLJU_c42250	3_prime_cleaved	
CLJU_c42250	5_prime_cleaved	
CLJU_c42260	m6A	A37
CLJU_c42260	Y	U55
CLJU_c42260	m7G	G46
CLJU_c42260	3_prime_cleaved	
CLJU_c42260	5_prime_cleaved	
CLJU_c42270	s2U	U34
CLJU_c42270	cmnm5s2	s2U34
CLJU_c42270	Y	U55
CLJU_c42270	3_prime_cleaved	
CLJU_c42270	5_prime_cleaved	
CLJU_c42280	Y	U55
CLJU_c42280	m7G	G46
CLJU_c42280	Q	G34
CLJU_c42280	3_prime_cleaved	
CLJU_c42280	5_prime_cleaved	
CLJU_c42290	m6A	A37
CLJU_c42290	Y	U55
CLJU_c42290	m7G	G46
CLJU_c42290	3_prime_cleaved	
CLJU_c42290	5_prime_cleaved	
CLJU_c42300	s2U	U34
CLJU_c42300	cmnm5s2	s2U34
CLJU_c42300	Y	U55
CLJU_c42300	3_prime_cleaved	
CLJU_c42300	5_prime_cleaved	
CLJU_c42680	ms2t6A	A37
CLJU_c42680	Y	U55
CLJU_c42680	m7G	G46
CLJU_c42680	Y	U39
