Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product
G12WB-787	CD630_06770	820169	820648	G12WB-787-MONOMER
G12WB-3394	CD630_32270	3776445	3777161	G12WB-3394-MONOMER
G12WB-192	CD630_01080	138020	140371	G12WB-192-MONOMER
G12WB-3487	CD630_33200	3885750	3886409	G12WB-3487-MONOMER
G12WB-1487	CD630_13520	1568072	1569460	G12WB-1487-MONOMER
G12WB-381	CD630_02760	338303	339214	G12WB-381-MONOMER
G12WB-790	CD630_06810	824262	825527	G12WB-790-MONOMER
G12WB-2073	CD630_19310	2229612	2230247	G12WB-2073-MONOMER
G12WB-3411	CD630_32450	3796132	3797892	G12WB-3411-MONOMER
G12WB-1884	CD630_17400	2015960	2017246	G12WB-1884-MONOMER
G12WB-2156	CD630_20101	2320236	2320331	G12WB-2156-MONOMER
G12WB-1187	CD630_10640	1257133	1258149	G12WB-1187-MONOMER
G12WB-752	CD630_06430	765815	766504	G12WB-752-MONOMER
G12WB-2584	CD630_24320	2808178	2810244	G12WB-2584-MONOMER
G12WB-2116	CD630_19740	2275970	2276230	G12WB-2116-MONOMER
G12WB-2987	CD630_28270	3299417	3299863	G12WB-2987-MONOMER
G12WB-2555	CD630_24040	2771822	2774050	G12WB-2555-MONOMER
G12WB-1003	CD630_08950	1078053	1078967	G12WB-1003-MONOMER
G12WB-295	CD630_01900	248042	249073	G12WB-295-MONOMER
G12WB-1457	CD630_13220	1532100	1533323	G12WB-1457-MONOMER
G12WB-1422	CD630_12880	1495736	1496473	G12WB-1422-MONOMER
G12WB-3416	CD630_32490	3804309	3804512	G12WB-3416-MONOMER
G12WB-3375	CD630_32090	3755775	3756290	G12WB-3375-MONOMER
G12WB-3826	CD630_36390	4248297	4249178	G12WB-3826-MONOMER
G12WB-3786	CD630_35990	4206546	4207739	G12WB-3786-MONOMER
G12WB-1901	CD630_17551	2034340	2034603	G12WB-1901-MONOMER
G12WB-1695	CD630_15560	1804700	1805533	G12WB-1695-MONOMER
G12WB-1858	CD630_17150	1988874	1989305	G12WB-1858-MONOMER
G12WB-766	CD630_06570	783839	785032	G12WB-766-MONOMER
G12WB-73	CD630_00210	34867	38298	G12WB-73-MONOMER
G12WB-2134	CD630_19902	2298045	2298245	G12WB-2134-MONOMER
G12WB-2099	CD630_19570	2256788	2257459	G12WB-2099-MONOMER
G12WB-2569	CD630_24180	2791319	2791864	G12WB-2569-MONOMER
G12WB-2538	CD630_23870	2756823	2757845	G12WB-2538-MONOMER
G12WB-2965	CD630_28050	3275616	3276635	G12WB-2965-MONOMER
G12WB-2935	CD630_27760	3226990	3227829	G12WB-2935-MONOMER
G12WB-1439	CD630_13040	1509727	1511550	G12WB-1439-MONOMER
G12WB-1403	CD630_12690	1474379	1475026	G12WB-1403-MONOMER
G12WB-3392	CD630_32250	3774518	3775405	G12WB-3392-MONOMER
G12WB-503	CD630_03970	469086	470312	G12WB-503-MONOMER
G12WB-3360	CD630_31940	3738048	3738968	G12WB-3360-MONOMER
G12WB-3805	CD630_36190	4225539	4225988	G12WB-3805-MONOMER
G12WB-3404	CD630_32370	3789848	3790855	G12WB-3404-MONOMER
G12WB-504	CD630_03980	470312	471439	G12WB-504-MONOMER
G12WB-3769	CD630_35820	4181832	4182497	G12WB-3769-MONOMER
