generic_component	enzymes
generic_16Sm4Cm1402	S0081-MONOMER
generic_16s_rRNAs	RNA_S0194,RNA_S2826,RNA_S3534,RNA_S3656,RNA_S3694,RNA_S3825,RNA_S3928
generic_23s_rRNAs	RNA_S0197,RNA_S2824,RNA_S3531,RNA_S3654,RNA_S3692,RNA_S3822,RNA_S3926
generic_5s_rRNAs	RNA_S0198,RNA_S2823,RNA_S3528,RNA_S3530,RNA_S3653,RNA_S3691,RNA_S3821,RNA_S3925
generic_Dus	S3515-MONOMER
generic_LYSINEaaRS	S3075-MONOMER
generic_RF	S1298-MONOMER,S3076-MONOMER
generic_RNase	S4086-MONOMER
generic_Tuf	S3682-MONOMER
generic_fes_transfers_complex	S0151-MONOMER
generic_lys_ligase	S3075-MONOMER,S4578-MONOMER
