Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
S1743-MONOMER	Inner_Membrane	S1743()	Inner_Membrane	r
CPLX_DMSOR1-0	Inner_Membrane	S1743()	Inner_Membrane	r
S1742-MONOMER	Inner_Membrane	S1742()	Periplasm	t
CPLX_DMSOR1-0	Inner_Membrane	S1742()	Periplasm	t
S1892-MONOMER	Inner_Membrane	S1892()	Inner_Membrane	r
S1752-MONOMER	Inner_Membrane	S1752()	Inner_Membrane	r
CPLX_SPMDt3pp-0	Inner_Membrane	S1752()	Inner_Membrane	r
S1753-MONOMER	Inner_Membrane	S1753()	Inner_Membrane	r
CPLX_SPMDt3pp-0	Inner_Membrane	S1753()	Inner_Membrane	r
S3157-MONOMER	Periplasm	S3157()	Periplasm	s
S3280-MONOMER	Outer_Membrane	S3280()	Outer_Membrane	sb
CPLX_CMtpp-0	Outer_Membrane	S3280()	Outer_Membrane	sb
S4557-MONOMER	Inner_Membrane	S4557()	Inner_Membrane	r
CPLX_DSBDR-0	Inner_Membrane	S4557()	Inner_Membrane	r
CPLX_DSBDR-1	Inner_Membrane	S4557()	Inner_Membrane	r
CPLX_TDSR1-0	Inner_Membrane	S4557()	Inner_Membrane	r
CPLX_TDSR2-0	Inner_Membrane	S4557()	Inner_Membrane	r
S4559-MONOMER	Inner_Membrane	S4559()	Inner_Membrane	r
S4154-MONOMER	Periplasm	S4154()	Periplasm	s
S3940-MONOMER	Inner_Membrane	S3940()	Inner_Membrane	r
S0086-MONOMER	Inner_Membrane	S0086()	Inner_Membrane	r
S3630-MONOMER	Inner_Membrane	S3630()	Inner_Membrane	r
S0780-MONOMER	Periplasm	S0780()	Periplasm	s
S3163-MONOMER	Outer_Membrane	S3163()	Outer_Membrane	pla
S1693-MONOMER	Inner_Membrane	S1693()	Inner_Membrane	r
S3894-MONOMER	Inner_Membrane	S3894()	Inner_Membrane	r
S3440-MONOMER	Periplasm	S3440()	Periplasm	s
S3566-MONOMER	Inner_Membrane	S3566()	Inner_Membrane	r
S2519-MONOMER	Inner_Membrane	S2519()	Inner_Membrane	r
CPLX_ARGabcpp-0	Inner_Membrane	S2519()	Inner_Membrane	r
CPLX_HISabcpp-0	Inner_Membrane	S2519()	Inner_Membrane	r
S2521-MONOMER	Inner_Membrane	S2521()	Periplasm	s
CPLX_ARGabcpp-0	Inner_Membrane	S2521()	Periplasm	s
S2518-MONOMER	Inner_Membrane	S2518()	Inner_Membrane	r
CPLX_ARGabcpp-0	Inner_Membrane	S2518()	Inner_Membrane	r
CPLX_HISabcpp-0	Inner_Membrane	S2518()	Inner_Membrane	r
S0375-MONOMER	Inner_Membrane	S0375()	Inner_Membrane	r
