amino_acid	enzyme
ala__L_c	SGL_RS11990-MONOMER_mod_zn2(4)
arg__L_c	SGL_RS16720-MONOMER_mod_mg2(1)
asn__L_c	SGL_RS16775-MONOMER
asp__L_c	SGL_RS08775-MONOMER
cys__L_c	SGL_RS11450-MONOMER_mod_zn2(1)
gln__L_c	CPLX_dummy
glu__L_c	SGL_RS14665-MONOMER_mod_mg2(1)_mod_zn2(1)
gly_c	CPLX-tRNA-GLY-LIGASE
his__L_c	SGL_RS13330-MONOMER_mod_mg2(4)
ile__L_c	SGL_RS06865-MONOMER_mod_zn2(2)
leu__L_c	SGL_RS05615-MONOMER
lys__L_c	SGL_RS06545-MONOMER_mod_mg2(6)
met__L_c	SGL_RS14365-MONOMER_mod_zn2(2)
phe__L_c	CPLX-tRNA-PHE-LIGASE_mod_mg2(1)
pro__L_c	SGL_RS09270-MONOMER
ser__L_c	SGL_RS05225-MONOMER_mod_mg2(1)
thr__L_c	SGL_RS15335-MONOMER
trp__L_c	SGL_RS07690-MONOMER_mod_mg2(1)
tyr__L_c	SGL_RS04920-MONOMER
val__L_c	SGL_RS16980-MONOMER_mod_mg2(1)
