Reaction	Complexes
12MGDG160	SGL_RS10570-MONOMER
12MGDG161	SGL_RS10570-MONOMER
12MGDG180	SGL_RS10570-MONOMER
12MGDG181	SGL_RS10570-MONOMER
12MGDG181_9	SGL_RS10570-MONOMER
12MGDG182_9_12	SGL_RS10570-MONOMER
12MGDG183_6_9_12	SGL_RS10570-MONOMER
12MGDG183_9_12_15	SGL_RS10570-MONOMER
12MGDG184_6_9_12_15	SGL_RS10570-MONOMER
34DHOXPEGOX	SGL_RS04900-MONOMER_mod_zn2(1)
34HPPOR	SGL_RS15355-MONOMER
3HAD100	SGL_RS08755-MONOMER
3HAD120	SGL_RS08755-MONOMER
3HAD121	SGL_RS08755-MONOMER
3HAD140	SGL_RS08755-MONOMER
3HAD141	SGL_RS08755-MONOMER
3HAD160	SGL_RS08755-MONOMER
3HAD161	SGL_RS08755-MONOMER
3HAD180	SGL_RS08755-MONOMER
3HAD181	SGL_RS08755-MONOMER
3HAD40_2	SGL_RS08755-MONOMER
3HAD60	SGL_RS08755-MONOMER
3HAD80	SGL_RS08755-MONOMER
3OAR100	SGL_RS07245-MONOMER OR SGL_RS12965-MONOMER
3OAR120	SGL_RS07245-MONOMER OR SGL_RS12965-MONOMER
3OAR121	SGL_RS07245-MONOMER
3OAR140	SGL_RS07245-MONOMER OR SGL_RS12965-MONOMER
3OAR141	SGL_RS07245-MONOMER
3OAR160	SGL_RS07245-MONOMER OR SGL_RS12965-MONOMER
3OAR161	SGL_RS07245-MONOMER
3OAR180	SGL_RS07245-MONOMER OR SGL_RS12965-MONOMER
3OAR181	SGL_RS07245-MONOMER
3OAR40_2	SGL_RS07245-MONOMER OR SGL_RS12965-MONOMER
3OAR60	SGL_RS07245-MONOMER OR SGL_RS12965-MONOMER
3OAR80	SGL_RS07245-MONOMER OR SGL_RS12965-MONOMER
3OAS100	SGL_RS05665-MONOMER OR SGL_RS09720-MONOMER
3OAS120	SGL_RS05665-MONOMER OR SGL_RS09720-MONOMER
3OAS121	SGL_RS05665-MONOMER OR SGL_RS09720-MONOMER
3OAS140	SGL_RS05665-MONOMER OR SGL_RS09720-MONOMER
3OAS141	SGL_RS05665-MONOMER OR SGL_RS09720-MONOMER
3OAS160	SGL_RS05665-MONOMER OR SGL_RS09720-MONOMER
3OAS161	SGL_RS05665-MONOMER OR SGL_RS09720-MONOMER
3OAS180	SGL_RS05665-MONOMER OR SGL_RS09720-MONOMER
3OAS181	SGL_RS05665-MONOMER OR SGL_RS09720-MONOMER
3OAS60	SGL_RS05665-MONOMER OR SGL_RS09720-MONOMER
3OAS80	SGL_RS05665-MONOMER OR SGL_RS09720-MONOMER
4HTHBPNDH	SGL_RS08415-MONOMER
AACOAR_syn	SGL_RS08625-MONOMER
AALACPTD	CPLX_AALACPTD-0
ABTA	SGL_RS04875-MONOMER_mod_pydx5p(1)
ABUTD	SGL_RS15360-MONOMER
ACACT1r	SGL_RS08620-MONOMER
ACBIPGT	SGL_RS13535-MONOMER
ACCOAC	CPLX_ACCOAC-0_mod_btn(1)
ACGK	SGL_RS05885-MONOMER
ACGS	SGL_RS10330-MONOMER
ACHBS2	CPLX_ACHBS2-0
ACKr	SGL_RS05025-MONOMER
ACLSa_1	CPLX_ACHBS2-0
ACLSb_1	CPLX_ACHBS2-0
ACOATA	SGL_RS09325-MONOMER
ACODA	SGL_RS15740-MONOMER OR SGL_RS17805-MONOMER
ACONTa_1	SGL_RS17360-MONOMER_mod_4fe4s(1)
ACONTb_1	SGL_RS17360-MONOMER_mod_4fe4s(1)
ACOTA	SGL_RS04875-MONOMER_mod_pydx5p(1)
ACP1_FMN	SGL_RS18120-MONOMER_mod_cobalt2(1)
ACS	SGL_RS15030-MONOMER
ADCL	SGL_RS07250-MONOMER
ADCPS1	SGL_RS12265-MONOMER
ADCPS2	SGL_RS12265-MONOMER
ADCS	SGL_RS10370-MONOMER
ADCYRS	SGL_RS15620-MONOMER
ADK1	SGL_RS02195-MONOMER OR SGL_RS05755-MONOMER_mod_mg2(1)
ADNCYC	SGL_RS03900-MONOMER OR SGL_RS08610-MONOMER OR SGL_RS08340-MONOMER
ADOCBIK	SGL_RS13535-MONOMER
ADOCBLS	SGL_RS14280-MONOMER
ADOCBLS(2)	SGL_RS14280-MONOMER
ADPRDP	SGL_RS02230-MONOMER OR SGL_RS05525-MONOMER
ADPT	SGL_RS09235-MONOMER_mod_mg2(1) OR SGL_RS09235-MONOMER_mod_mn2(1)
ADPT2	SGL_RS09235-MONOMER_mod_mg2(1) OR SGL_RS09235-MONOMER_mod_mn2(1)
ADSK	SGL_RS03840-MONOMER_mod_mg2(1) OR SGL_RS03840-MONOMER_mod_mn2(1) OR SGL_RS03840-MONOMER_mod_cobalt2(1) OR SGL_RS03840-MONOMER_mod_cd2(1)
ADSL1r	SGL_RS11780-MONOMER
ADSL2r	SGL_RS11780-MONOMER
ADSS	SGL_RS05700-MONOMER_mod_mg2(1)
AGMT	SGL_RS02550-MONOMER
AGPAT160	SGL_RS12400-MONOMER
AGPAT161	SGL_RS12400-MONOMER
AGPAT180	SGL_RS12400-MONOMER
AGPAT181	SGL_RS12400-MONOMER
AGPAT181_9	SGL_RS12400-MONOMER
AGPAT182_9_12	SGL_RS12400-MONOMER
AGPAT183_6_9_12	SGL_RS12400-MONOMER
AGPAT183_9_12_16	SGL_RS12400-MONOMER
AGPAT184_6_9_12_15	SGL_RS12400-MONOMER
AGPR	SGL_RS15325-MONOMER
AGTi	SGL_RS11200-MONOMER
AHCi	SGL_RS09665-MONOMER
AHMMPS2	SGL_RS15825-MONOMER
AICART	SGL_RS18300-MONOMER
AIRCra	SGL_RS18210-MONOMER
AIRCrb	SGL_RS16805-MONOMER
ALAALAr	SGL_RS07575-MONOMER
ALAD_L2	SGL_RS02960-MONOMER
ALAR	SGL_RS15085-MONOMER_mod_pydx5p(1)
ALATRS	SGL_RS11990-MONOMER_mod_zn2(4)
ALAabcpp	CPLX_ALAabcpp-0
ALCD19	SGL_RS04900-MONOMER_mod_zn2(1)
ALCD19y	SGL_RS11340-MONOMER
ALCD2ir	SGL_RS04900-MONOMER_mod_zn2(1)
ALCD2y	SGL_RS11340-MONOMER
ALDD20x	SGL_RS15360-MONOMER
ALDD2x	SGL_RS15360-MONOMER
AMID2_1	SGL_RS15160-MONOMER
