,value
ala__L_c,S2911-MONOMER_mod_zn2(4)
arg__L_c,S2007-MONOMER_mod_mg2(1)
asn__L_c,S0991-MONOMER
asp__L_c,S1942-MONOMER
cys__L_c,S0465-MONOMER_mod_zn2(1)
gln__L_c,S0624-MONOMER
glu__L_c,CPLX-tRNA-GLU-LIGASE_mod_mg2(1)_mod_zn2(1)
gly_c,CPLX-tRNA-GLY-LIGASE
his__L_c,S2732-MONOMER_mod_mg2(4)
ile__L_c,S0025-MONOMER_mod_zn2(2)
leu__L_c,S0661-MONOMER
lys__L_c,generic_lys_ligase
met__L_c,S2303-MONOMER_mod_zn2(2)
phe__L_c,S4806-MONOMER
pro__L_c,S0187-MONOMER
ser__L_c,S0893-MONOMER_mod_mg2(1)
thr__L_c,S1630-MONOMER
trp__L_c,S4360-MONOMER_mod_mg2(1)
tyr__L_c,S1794-MONOMER
val__L_c,S4492-MONOMER_mod_mg2(1)
