Reaction,Complexes
12PPDRtex,S0310-MONOMER OR S0990-MONOMER OR S2429-MONOMER
12PPDStex,S0310-MONOMER OR S0990-MONOMER OR S2429-MONOMER
12PPDStpp_copy2,S3742-MONOMER
14GLUCANabcpp,CPLX_14GLUCANabcpp-0
14GLUCANtexi,S3562-MONOMER
23CAMPtex,S0310-MONOMER OR S0990-MONOMER OR S2429-MONOMER
23CCMPtex,S0310-MONOMER OR S0990-MONOMER OR S2429-MONOMER
23CGMPtex,S0310-MONOMER OR S0990-MONOMER OR S2429-MONOMER
23CUMPtex,S0310-MONOMER OR S0990-MONOMER OR S2429-MONOMER
23DAPPAtex,S0310-MONOMER OR S0990-MONOMER OR S2429-MONOMER
23PDE2pp,S4538-MONOMER
23PDE4pp,S4538-MONOMER
23PDE7pp,S4538-MONOMER
23PDE9pp,S4538-MONOMER
26DAHtex,S0310-MONOMER OR S0990-MONOMER OR S2429-MONOMER
2AGPA120tipp,S3043-MONOMER
2AGPA140tipp,S3043-MONOMER
2AGPA141tipp,S3043-MONOMER
2AGPA160tipp,S3043-MONOMER
2AGPA161tipp,S3043-MONOMER
2AGPA180tipp,S3043-MONOMER
2AGPA181tipp,S3043-MONOMER
2AGPE120tipp,S3043-MONOMER
2AGPE140tipp,S3043-MONOMER
2AGPE141tipp,S3043-MONOMER
2AGPE160tipp,S3043-MONOMER
2AGPE161tipp,S3043-MONOMER
2AGPE180tipp,S3043-MONOMER
2AGPE181tipp,S3043-MONOMER
2AGPEAT120,S3044-MONOMER_mod_mg2(1)
2AGPEAT140,S3044-MONOMER_mod_mg2(1)
2AGPEAT141,S3044-MONOMER_mod_mg2(1)
2AGPEAT160,S3044-MONOMER_mod_mg2(1)
2AGPEAT161,S3044-MONOMER_mod_mg2(1)
2AGPEAT180,S3044-MONOMER_mod_mg2(1)
2AGPEAT181,S3044-MONOMER_mod_mg2(1)
2AGPG120tipp,S3043-MONOMER
2AGPG140tipp,S3043-MONOMER
2AGPG141tipp,S3043-MONOMER
2AGPG160tipp,S3043-MONOMER
2AGPG161tipp,S3043-MONOMER
2AGPG180tipp,S3043-MONOMER
2AGPG181tipp,S3043-MONOMER
2AGPGAT120,S3044-MONOMER_mod_mg2(1)
2AGPGAT140,S3044-MONOMER_mod_mg2(1)
2AGPGAT141,S3044-MONOMER_mod_mg2(1)
2AGPGAT160,S3044-MONOMER_mod_mg2(1)
2AGPGAT161,S3044-MONOMER_mod_mg2(1)
2AGPGAT180,S3044-MONOMER_mod_mg2(1)
2AGPGAT181,S3044-MONOMER_mod_mg2(1)
2DGULRGx,S4182-MONOMER
2DGULRGy,S4182-MONOMER
2DGULRx,S4182-MONOMER
2DGULRy,S4182-MONOMER
2HH24DDH,S4650-MONOMER
2HH24DDH1,S4650-MONOMER
2MAHMP,S0397-MONOMER_mod_mg2(1) OR S1236-MONOMER
2PGtex,S0310-MONOMER OR S2429-MONOMER
34dhpactex,S0310-MONOMER OR S0990-MONOMER OR S2429-MONOMER
3AMACHYD,S1082-MONOMER
3AMPtex,S0310-MONOMER OR S0990-MONOMER OR S2429-MONOMER
3CMPtex,S0310-MONOMER OR S0990-MONOMER OR S2429-MONOMER
3GMPtex,S0990-MONOMER OR S2429-MONOMER OR S0310-MONOMER
3HAD100,S1020-MONOMER OR S0173-MONOMER
3HAD120,S0173-MONOMER OR S1020-MONOMER
3HAD121,S0173-MONOMER OR S1020-MONOMER
3HAD140,S1020-MONOMER OR S0173-MONOMER
3HAD141,S1020-MONOMER OR S0173-MONOMER
3HAD160,S1020-MONOMER OR S0173-MONOMER
3HAD161,S0173-MONOMER OR S1020-MONOMER
3HAD180,S1020-MONOMER OR S0173-MONOMER
3HAD181,S1020-MONOMER OR S0173-MONOMER
3HAD40,S1020-MONOMER OR S0173-MONOMER
3HAD60,S1020-MONOMER OR S0173-MONOMER
3HAD80,S1020-MONOMER OR S0173-MONOMER
3HOXPACt2pp,S4648-MONOMER
3HPPtex,S0990-MONOMER OR S2429-MONOMER OR S0310-MONOMER
3NTD2pp,S4538-MONOMER
3NTD4pp,S4538-MONOMER
3NTD7pp,S4538-MONOMER
3NTD9pp,S4538-MONOMER
3OAR100,S1177-MONOMER
3OAR120,S1177-MONOMER
3OAR121,S1177-MONOMER
3OAR140,S1177-MONOMER
3OAR141,S1177-MONOMER
3OAR160,S1177-MONOMER
3OAR161,S1177-MONOMER
3OAR180,S1177-MONOMER
3OAR181,S1177-MONOMER
3OAR40,S1177-MONOMER
3OAR60,S1177-MONOMER
3OAR80,S1177-MONOMER
3OAS100,S2534-MONOMER OR S1179-MONOMER
3OAS120,S1179-MONOMER OR S2534-MONOMER
3OAS121,S2534-MONOMER
3OAS140,S2534-MONOMER OR S1179-MONOMER
3OAS141,S2534-MONOMER
3OAS160,S2534-MONOMER OR S1179-MONOMER
3OAS161,S2534-MONOMER
3OAS180,S1179-MONOMER OR S2534-MONOMER
3OAS181,S1179-MONOMER
3OAS60,S1179-MONOMER OR S2534-MONOMER
3OAS80,S2534-MONOMER OR S1179-MONOMER
3OXCOAT,S3052-MONOMER
3PEPTabcpp,CPLX_3PEPTabcpp-0
3PEPTtex,S0310-MONOMER OR S0990-MONOMER OR S2429-MONOMER
3PGtex,S0310-MONOMER OR S2429-MONOMER
3UMPtex,S0310-MONOMER OR S0990-MONOMER OR S2429-MONOMER
3hoxpactex,S0310-MONOMER OR S0990-MONOMER OR S2429-MONOMER
4H2KPILY,S4649-MONOMER
4HOXPACDtex,S0310-MONOMER OR S0990-MONOMER OR S2429-MONOMER
4HOXPACt2pp,S4648-MONOMER
4HTHRK,S0003-MONOMER_mod_k(1)_mod_mg2(1)
4HTHRS,S0004-MONOMER_mod_pydx5p(1)
4HTHRtex,S0310-MONOMER OR S2429-MONOMER
4HTHRtrpp,S3368-MONOMER
4PCP,S1271-MONOMER
4PEPTabcpp,CPLX_4PEPTabcpp-0
4PEPTtex,S0310-MONOMER OR S0990-MONOMER OR S2429-MONOMER
5DGLCNtex,S0310-MONOMER OR S0990-MONOMER OR S2429-MONOMER
5DOAN,S0154-MONOMER
5MTRtex,S0990-MONOMER OR S2429-MONOMER OR S0310-MONOMER
6APAt1,S0310-MONOMER OR S0990-MONOMER OR S2429-MONOMER
A5PISO,S3455-MONOMER OR S2922-MONOMER
AACPS1,CPLX_AACPS1-0
AACPS2,CPLX_AACPS1-0
AACPS3,CPLX_AACPS1-0
AACPS4,CPLX_AACPS1-0
AACPS5,CPLX_AACPS1-0
AACPS6,CPLX_AACPS1-0
AACPS7,CPLX_AACPS1-0
AACPS8,CPLX_AACPS1-0
AACPS9,CPLX_AACPS1-0
AADDGT,S3893-MONOMER
AAMYL,S2066-MONOMER
AAMYLpp,S4154-MONOMER_mod_ca2(1)
AB6PGH,S3086-MONOMER
ABTA,S2874-MONOMER_mod_pydx5p(1) OR S1389-MONOMER_mod_pydx5p(1)
ABUTD,S1905-MONOMER
ABUTt2pp,S2875-MONOMER
ABUTtex,S0310-MONOMER OR S0990-MONOMER OR S2429-MONOMER
ACACT1r,S2555-MONOMER OR S3831-MONOMER
ACACT2r,S2555-MONOMER OR S3831-MONOMER
ACACT3r,S2555-MONOMER OR S3831-MONOMER
ACACT4r,S2555-MONOMER OR S3831-MONOMER
ACACT5r,S2555-MONOMER OR S3831-MONOMER
ACACT6r,S2555-MONOMER OR S3831-MONOMER
ACACT7r,S2555-MONOMER OR S3831-MONOMER
ACACT8r,S2555-MONOMER OR S3831-MONOMER
ACACtex,S0310-MONOMER OR S0990-MONOMER OR S2429-MONOMER
ACALD,S1326-MONOMER_mod_fe2(1)
ACALDtex,S0310-MONOMER OR S0990-MONOMER OR S2429-MONOMER
ACALDtpp,S0001-MONOMER
ACCOAC,CPLX_ACCOAC-0_mod_btn(1)
ACGAL1Ptex,S0310-MONOMER OR S0990-MONOMER OR S2429-MONOMER
ACGAL6PISO,S3393-MONOMER
ACGALptspp,CPLX_ACGALptspp-0
ACGALtex,S0310-MONOMER OR S0990-MONOMER OR S2429-MONOMER
ACGAM1Ptex,S0310-MONOMER OR S0990-MONOMER OR S2429-MONOMER
ACGAMK,S1203-MONOMER
ACGAMT,S3902-MONOMER_mod_mg2(1)
ACGAptspp,CPLX_ACGAptspp-0 OR CPLX_ACGAptspp-1
ACGAtex,S0310-MONOMER OR S0990-MONOMER OR S2429-MONOMER
ACGK,S3710-MONOMER_mod_mg2(1)
ACGS,S3026-MONOMER
ACHBS,CPLX_ACHBS-0_mod_mg2(1)_mod_fad(1)_mod_thmpp(1) OR CPLX_ACHBS-1
ACKr,S3367-MONOMER OR S2507-MONOMER_mod_mg2(1) OR S1925-MONOMER_mod_mg2(1)
ACLS,CPLX_ACHBS-0_mod_mg2(1)_mod_fad(1)_mod_thmpp(1) OR CPLX_ACHBS-1
ACM6PH,S2629-MONOMER
ACMAMUT,S3891-MONOMER
ACMANAptspp,CPLX_ACMANAptspp-0
ACMANAtex,S0310-MONOMER OR S0990-MONOMER OR S2429-MONOMER
ACMUMptspp,CPLX_ACMUMptspp-0
ACMUMtex,S0310-MONOMER OR S0990-MONOMER OR S2429-MONOMER
ACNAMt2pp,S3477-MONOMER
ACNAMtex,S4468-MONOMER OR S0990-MONOMER OR S2429-MONOMER
ACNML,S3478-MONOMER
ACOAD1f,S0292-MONOMER
ACOAD2f,S0292-MONOMER
ACOAD3f,S0292-MONOMER
ACOAD4f,S0292-MONOMER
ACOAD5f,S0292-MONOMER
ACOAD6f,S0292-MONOMER
ACOAD7f,S0292-MONOMER
ACOAD8f,S0292-MONOMER
ACOATA,CPLX_ACOATA-0
ACODA,S3712-MONOMER_mod_zn2(1)
ACOLIPAabctex,CPLX_ACOLIPAabctex-0
ACONCtex,S0310-MONOMER OR S2429-MONOMER
ACONIs,S0001-MONOMER
ACONMT,S1702-MONOMER
ACONTa,S0117-MONOMER_mod_4fe4s(1) OR S1363-MONOMER_mod_4fe4s(1)
ACONTb,S0117-MONOMER_mod_4fe4s(1) OR S1363-MONOMER_mod_4fe4s(1)
ACOTA,S4385-MONOMER_mod_pydx5p(1)
ACPPAT120,CPLX_ACPPAT120-0
ACPPAT140,CPLX_ACPPAT120-0
ACPPAT141,CPLX_ACPPAT120-0
ACPPAT160,CPLX_ACPPAT120-0
ACPPAT161,CPLX_ACPPAT120-0
ACPPAT180,CPLX_ACPPAT120-0
ACPPAT181,CPLX_ACPPAT120-0
ACPS1,S4270-MONOMER OR S2798-MONOMER_mod_mg2(1) OR S2798-MONOMER_mod_mn2(1)
ACSERtex,S2429-MONOMER OR S0310-MONOMER OR S0990-MONOMER
ACSERtpp,S2813-MONOMER OR S1688-MONOMER
ACt4pp,S3594-MONOMER
ACtex,S0310-MONOMER OR S0990-MONOMER OR S2429-MONOMER
ADA,S1780-MONOMER
ADCL,S1180-MONOMER_mod_pydx5p(1)
ADCS,CPLX_ADCS-0_mod_mg2(1)
ADD,S3972-MONOMER_mod_mn2(1)
ADEt2rpp,S4075-MONOMER OR S3971-MONOMER
ADEtex,S0310-MONOMER OR S0990-MONOMER OR S2429-MONOMER
ADK1,S0426-MONOMER_mod_mg2(1)
ADK3,S0426-MONOMER_mod_mg2(1)
ADK4,S0426-MONOMER_mod_mg2(1)
ADMDC,S0119-MONOMER
ADNCYC,S3878-MONOMER_mod_mg2(1)
ADNK1,S0426-MONOMER_mod_mg2(1)
ADNUC,S0029-MONOMER
ADNt2pp,S3164-MONOMER OR S2598-MONOMER
ADNtex,S0356-MONOMER
ADOCBLPP,S0665-MONOMER
ADOCBLPS,S2170-MONOMER
ADOCBLS,S2170-MONOMER
ADOCBLabcpp,CPLX_ADOCBLabcpp-0
ADOCBLtonex,CPLX_ADOCBLtonex-0
ADPRDP,S4347-MONOMER_mod_mg2(1) OR S3279-MONOMER_mod_mg2(1)
ADPT,S0421-MONOMER_mod_mg2(1) OR S0421-MONOMER_mod_mn2(1)
ADSK,S2966-MONOMER_mod_mg2(1) OR S2966-MONOMER_mod_mn2(1) OR S2966-MONOMER_mod_cobalt2(1) OR S2966-MONOMER_mod_cd2(1)
ADSL1r,S1233-MONOMER
ADSL2r,S1233-MONOMER
ADSS,S4600-MONOMER_mod_mg2(1)
AEPtex,S0310-MONOMER OR S2429-MONOMER
AGDC,S0627-MONOMER_mod_zn2(1)
AGM3PA,S0109-MONOMER
AGM3PApp,S2636-MONOMER OR S3025-MONOMER OR S4592-MONOMER
AGM3PH,S1191-MONOMER
AGM3Pt2pp,S0384-MONOMER
AGM4PA,S0109-MONOMER
AGM4PApp,S2636-MONOMER OR S3025-MONOMER OR S4592-MONOMER
AGM4PCP,S1271-MONOMER
AGM4PH,S1191-MONOMER
AGM4Pt2pp,S0384-MONOMER
AGMH,S1191-MONOMER
AGMHE,S4109-MONOMER_mod_nadp(1)
AGMPTRCtpp,S0491-MONOMER
AGMT,S3129-MONOMER_mod_mn2(2)
AGMt2pp,S0384-MONOMER
AGMtex,S0310-MONOMER OR S0990-MONOMER OR S2429-MONOMER
AGPAT120,S3266-MONOMER
AGPAT140,S3266-MONOMER
AGPAT141,S3266-MONOMER
AGPAT160,S3266-MONOMER
AGPAT161,S3266-MONOMER
AGPAT180,S3266-MONOMER
AGPAT181,S3266-MONOMER
AGPR,S3711-MONOMER
AGt3,CPLX_AGt3-0
AHCYSNS,S0154-MONOMER
AICART,S3657-MONOMER
AIRC2,S0461-MONOMER
AIRC3,S0462-MONOMER
AIRStex,S0310-MONOMER OR S2429-MONOMER
AKGDH,CPLX_AKGDH-0_mod_mg2(1)_mod_lipoyl(1)
AKGt2rpp,S2822-MONOMER
AKGtex,S0310-MONOMER OR S0990-MONOMER OR S2429-MONOMER
ALAALAabcpp,CPLX_ALAALAabcpp-0
ALAALAr,S0254-MONOMER OR S0091-MONOMER
ALAALAtex,S0310-MONOMER OR S0990-MONOMER OR S2429-MONOMER
ALAGLUE,S1414-MONOMER
ALAR,S1267-MONOMER_mod_pydx5p(1) OR S3578-MONOMER
ALATA_D2,S2770-MONOMER OR S0866-MONOMER_mod_pydx5p(1)
ALATA_L,S2501-MONOMER OR S2583-MONOMER
ALATA_L2,S0866-MONOMER_mod_pydx5p(1) OR S2770-MONOMER
ALATRS,S2911-MONOMER_mod_zn2(4)
ALAabcpp,CPLX_ALAabcpp-0
ALAt2pp_copy1,S4543-MONOMER
ALAtex,S0310-MONOMER OR S0990-MONOMER OR S2429-MONOMER
ALCD2x,S1880-MONOMER OR S1326-MONOMER_mod_fe2(1)
ALDD2x,S1387-MONOMER
ALDD2y,S4142-MONOMER_mod_mg2(1)
ALDD3y,S4142-MONOMER_mod_mg2(1)
ALLTAMH,S0458-MONOMER_mod_mn2(1) OR S0458-MONOMER_mod_2fe2s(1)_mod_mn2(1) OR S0458-MONOMER_mod_4fe4s(1)_mod_mn2(1)
ALLTNtex,S0310-MONOMER OR S0990-MONOMER OR S2429-MONOMER
ALLtex,S0310-MONOMER OR S0990-MONOMER OR S2429-MONOMER
ALPATE160pp,CPLX_ALPATE160pp-0
ALPATG160pp,CPLX_ALPATE160pp-0
ALR2,S3260-MONOMER OR S0200-MONOMER OR S1557-MONOMER OR S3249-MONOMER
ALTRH,S3338-MONOMER
AM3PA,S0109-MONOMER
AM4PA,S0109-MONOMER
AM4PCP,S1271-MONOMER
AMALT1,S4326-MONOMER
AMALT2,S4326-MONOMER
AMALT3,S4326-MONOMER
AMALT4,S4326-MONOMER
AMANAPEr,S3476-MONOMER
AMANK,S3475-MONOMER
AMAOTr,S0765-MONOMER_mod_pydx5p(1)
AMMQLT8,S3843-MONOMER
AMMQT8_2,S3843-MONOMER
AMPMS2,S3669-MONOMER
AMPN,S2160-MONOMER
AMPTASECG,S0306-MONOMER OR S0993-MONOMER OR S4490-MONOMER_mod_zn2(1) OR S2742-MONOMER
AMPTASEPG,S4490-MONOMER_mod_zn2(1) OR S0306-MONOMER OR S2742-MONOMER OR S0993-MONOMER
AMPtex,S2429-MONOMER OR S0990-MONOMER OR S0310-MONOMER
ANHGMtex,S0310-MONOMER OR S0990-MONOMER OR S2429-MONOMER
ANHMK,S1799-MONOMER_mod_mg2(1)
ANPRT,S1352-MONOMER
ANS,CPLX_ANS-0_mod_mg2(1) OR CPLX_ANS-0_mod_cobalt2(1) OR CPLX_ANS-0_mod_fe2(1)
AOBUTDs,S0001-MONOMER
AOXSr2,S0767-MONOMER
AP4AH,S0048-MONOMER
AP4AS,S3075-MONOMER
AP5AH,S0048-MONOMER
APCS,S0120-MONOMER
APG3PAT120,S3305-MONOMER
APG3PAT140,S3305-MONOMER
APG3PAT141,S3305-MONOMER
APG3PAT160,S3305-MONOMER
APG3PAT161,S3305-MONOMER
APG3PAT180,S3305-MONOMER
