complex	name	genes	source
CPLX-1	Cytosine deaminase	CLJU_c19230(1)	iJL965-ME
CPLX-2	murein D,D-carboxypeptidase (murein5px4p) (periplasm)	CLJU_c11270(1)	iJL965-ME
CPLX-3	murein D,D-carboxypeptidase (murein5px4p) (periplasm)	CLJU_c14360(1)	iJL965-ME
CPLX-4	dimethylallyltranstransferase	CLJU_c11150(1)	iJL965-ME
CPLX-5	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase	CLJU_c41450(1)	iJL965-ME
CPLX-6	glucose-6-phosphate isomerase	CLJU_c37130(1)	iJL965-ME
CPLX-7	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	CLJU_c14780(1)	iJL965-ME
CPLX-8	chorismate mutase	CLJU_c29180(1)	iJL965-ME
CPLX-9	dihydropteroate synthase	CLJU_c06340(1)	iJL965-ME
CPLX-10	manganese transport in via proton symport	CLJU_c34340(1)	iJL965-ME
CPLX-11	manganese transport in via proton symport	CLJU_c35850(1)	iJL965-ME
CPLX-12	manganese transport in via proton symport	CLJU_c42390(1)	iJL965-ME
CPLX-13	manganese transport in via proton symport	CLJU_c16000(1)	iJL965-ME
CPLX-14	uroporphyrinogen-III synthase	CLJU_c31970(1)	iJL965-ME
CPLX-15		CLJU_c09090(1) AND CLJU_c09100(1) AND CLJU_c09110(1)	iJL965-ME
CPLX-16	Octaprenyl pyrophosphate synthase	CLJU_c40310(1)	iJL965-ME
CPLX-17	thiamine-phosphate diphosphorylase	CLJU_c13440(1)	iJL965-ME
CPLX-18		CLJU_c33060(1)	iJL965-ME
CPLX-19	glutamyl-tRNA reductase	CLJU_c04480(2)	iJL965-ME
GluS_mono		CLJU_c13390(1)	iJL965-ME
CPLX-21	fatty-acid--CoA ligase (hexadecanoate)	CLJU_c39390(1)	iJL965-ME
CPLX-22	beta-ketoacyl-ACP synthase (2)	CLJU_c42190(2)	iJL965-ME
CPLX-23	3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:1)	CLJU_c42150(1)	iJL965-ME
CPLX-24	precorrin-8X methylmutase	CLJU_c31930(1)	iJL965-ME
CPLX-25	Nicotinate-nucleotide dimethylbenzimidazole phosphoribosyltransferase	CLJU_c31940(1)	iJL965-ME
CPLX-26	tetrahydrodipicolinate succinylase	CLJU_c34610(1)	iJL965-ME
CPLX-27		CLJU_c28640(1) AND CLJU_c28650(1) AND CLJU_c28660(1) AND CLJU_c28670(1)	iJL965-ME
Hyp_CPLX		CLJU_c23060(1) AND CLJU_c23070(1) AND CLJU_c23080(1) AND CLJU_c23090(1)	iJL965-ME
CPLX-28		CLJU_c33270(1)	iJL965-ME
Etf3_CPLX		CLJU_c39400(1) AND CLJU_c39410(1) AND CLJU_c39420(1)	iJL965-ME
CPLX-30	phosphopantothenate-cysteine ligase	CLJU_c12540(1)	iJL965-ME
CPLX-31		CLJU_c20430(1) AND CLJU_c38920(1)	iJL965-ME
CPLX-32		CLJU_c20430(1) AND CLJU_c20420(1)	iJL965-ME
