,subs
DM_MTHTHF,Demand
EX_ac_e,Exchange
EX_ala__D_e,Exchange
EX_alaala_e,Exchange
EX_alltn_e,Exchange
EX_arab__L_e,Exchange
EX_arg__L_e,Exchange
EX_asn__L_e,Exchange
EX_asp__L_e,Exchange
EX_btn_e,Exchange
EX_but_e,Exchange
EX_ca2_e,Exchange
EX_cl_e,Exchange
EX_co2_e,Exchange
EX_cobalt2_e,Exchange
EX_csn_e,Exchange
EX_cu2_e,Exchange
EX_cys__L_e,Exchange
EX_etoh_e,Exchange
EX_fe2_e,Exchange
EX_for_e,Exchange
EX_fru_e,Exchange
EX_gal_e,Exchange
EX_galctn__D_e,Exchange
EX_galur_e,Exchange
EX_glc_e,Exchange
EX_glcn_e,Exchange
EX_glcur_e,Exchange
EX_gln__L_e,Exchange
EX_glu__L_e,Exchange
EX_gly_e,Exchange
EX_glyb_e,Exchange
EX_glyc_e,Exchange
EX_h_e,Exchange
EX_h2_e,Exchange
EX_h2o_e,Exchange
EX_his__L_e,Exchange
EX_ile__L_e,Exchange
EX_k_e,Exchange
EX_lac__D_e,Exchange
EX_lac__L_e,Exchange
EX_leu__L_e,Exchange
EX_lys__L_e,Exchange
EX_malt_e,Exchange
EX_malthx_e,Exchange
EX_malttr_e,Exchange
EX_man_e,Exchange
EX_met__L_e,Exchange
EX_mg2_e,Exchange
EX_mn2_e,Exchange
EX_mobd_e,Exchange
EX_na1_e,Exchange
EX_nh4_e,Exchange
EX_ni2_e,Exchange
EX_no2_e,Exchange
EX_no3_e,Exchange
EX_pi_e,Exchange
EX_pro__L_e,Exchange
EX_ptrc_e,Exchange
EX_pydxn_e,Exchange
EX_pyr_e,Exchange
EX_rib__D_e,Exchange
EX_rmn_e,Exchange
EX_ser__D_e,Exchange
EX_ser__L_e,Exchange
EX_so4_e,Exchange
EX_spmd_e,Exchange
EX_taur_e,Exchange
EX_thm_e,Exchange
EX_trp__L_e,Exchange
EX_ura_e,Exchange
EX_val__L_e,Exchange
EX_xan_e,Exchange
EX_xyl__D_e,Exchange
EX_zn2_e,Exchange
3HAD100,Cell Envelope Biosynthesis
3HAD120,Cell Envelope Biosynthesis
3HAD121,Cell Envelope Biosynthesis
3HAD140,Cell Envelope Biosynthesis
3HAD141,Cell Envelope Biosynthesis
3HAD160,Cell Envelope Biosynthesis
3HAD161,Cell Envelope Biosynthesis
3HAD180,Cell Envelope Biosynthesis
3HAD181,Cell Envelope Biosynthesis
3HAD40,Cell Envelope Biosynthesis
3HAD60,Cell Envelope Biosynthesis
3HAD80,Cell Envelope Biosynthesis
3OAR100,Cell Envelope Biosynthesis
3OAR120,Cell Envelope Biosynthesis
3OAR121,Cell Envelope Biosynthesis
3OAR140,Cell Envelope Biosynthesis
3OAR141,Cell Envelope Biosynthesis
3OAR160,Cell Envelope Biosynthesis
3OAR161,Cell Envelope Biosynthesis
3OAR180,Cell Envelope Biosynthesis
3OAR181,Cell Envelope Biosynthesis
3OAR40,Cell Envelope Biosynthesis
3OAR60,Cell Envelope Biosynthesis
3OAR80,Cell Envelope Biosynthesis
3OAS100,Cell Envelope Biosynthesis
3OAS120,Cell Envelope Biosynthesis
3OAS121,Cell Envelope Biosynthesis
3OAS140,Cell Envelope Biosynthesis
3OAS141,Cell Envelope Biosynthesis
3OAS160,Cell Envelope Biosynthesis
3OAS161,Cell Envelope Biosynthesis
3OAS180,Cell Envelope Biosynthesis
3OAS181,Cell Envelope Biosynthesis
3OAS60,Cell Envelope Biosynthesis
3OAS80,Cell Envelope Biosynthesis
4HTHRS,Cofactor and Prosthetic Group Biosynthesis
ABTA,Arginine and Proline Metabolism
ABUTD,Arginine and Proline Metabolism
ACACT1r,Membrane Lipid Metabolism
ACALD,Pyruvate Metabolism
ACBIPGT,Cofactor and Prosthetic Group Biosynthesis
ACCOAC,Membrane Lipid Metabolism
ACGK,Arginine and Proline Metabolism
ACGS,Arginine and Proline Metabolism
ACHBS,"Valine, Leucine, and Isoleucine Metabolism"
ACKr,Pyruvate Metabolism
ACLS,"Valine, Leucine, and Isoleucine Metabolism"
ACOATA,Membrane Lipid Metabolism
ACONTa,Citric Acid Cycle
ACONTb,Citric Acid Cycle
ACOTA,Arginine and Proline Metabolism
ACPS1,Cofactor and Prosthetic Group Biosynthesis
ADA,Nucleotide Salvage Pathway
ADCL,Cofactor and Prosthetic Group Biosynthesis
ADCS,Cofactor and Prosthetic Group Biosynthesis
ADD,Nucleotide Salvage Pathway
ADK1,Nucleotide Salvage Pathway
ADMDC,Arginine and Proline Metabolism
ADOCBIK,Cofactor and Prosthetic Group Biosynthesis
ADOCBLS,Cofactor and Prosthetic Group Biosynthesis
ADPRDP,Nucleotide Salvage Pathway
ADPT,Nucleotide Salvage Pathway
ADSS,Purine and Pyrimidine Biosynthesis
AGPAT120,Glycerophospholipid Metabolism
AGPAT140,Glycerophospholipid Metabolism
AGPAT160,Glycerophospholipid Metabolism
AGPAT161,Glycerophospholipid Metabolism
AGPAT180,Glycerophospholipid Metabolism
AGPAT181,Glycerophospholipid Metabolism
AGPR,Arginine and Proline Metabolism
AHCYSNS,Methionine Metabolism
AICART,Purine and Pyrimidine Biosynthesis
ALAALAr,Cell Envelope Biosynthesis
ALAR,Alanine and Aspartate Metabolism
ALATA_L,Alanine and Aspartate Metabolism
ALCD2x,Pyruvate Metabolism
ALLTN,Nitrogen Metabolism
AMMQLT8,Cofactor and Prosthetic Group Biosynthesis
ANPRT,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
ANS,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
APRAUR,Cofactor and Prosthetic Group Biosynthesis
ARAI,Alternate Carbon Metabolism
ARGDC,Arginine and Proline Metabolism
ARGSL,Arginine and Proline Metabolism
ARGSS,Arginine and Proline Metabolism
ASAD,Threonine and Lysine Metabolism
ASNS1,Alanine and Aspartate Metabolism
ASP1DC,Cofactor and Prosthetic Group Biosynthesis
ASPCT,Purine and Pyrimidine Biosynthesis
ASPK,Threonine and Lysine Metabolism
ASPT,Alanine and Aspartate Metabolism
ASPTA,Alanine and Aspartate Metabolism
ATPM,Unassigned
ATPPRT,Histidine Metabolism
CBIAT,Cofactor and Prosthetic Group Biosynthesis
CBLAT,Cofactor and Prosthetic Group Biosynthesis
CBMKr,Unassigned
CBPS,Arginine and Proline Metabolism
CDPMEK,Cofactor and Prosthetic Group Biosynthesis
CHORM,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
CHORS,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
CITL,Citric Acid Cycle
CS,Citric Acid Cycle
CSND,Nucleotide Salvage Pathway
CTPS2,Purine and Pyrimidine Biosynthesis
CYSDS,Cysteine Metabolism
CYSS,Cysteine Metabolism
CYSSADS,Cysteine Metabolism
CYSTL,Methionine Metabolism
CYTD,Nucleotide Salvage Pathway
CYTDK2,Nucleotide Salvage Pathway
CYTK1,Nucleotide Salvage Pathway
CYTK2,Nucleotide Salvage Pathway
DADA,Nucleotide Salvage Pathway
DADK,Nucleotide Salvage Pathway
DAGK120,Glycerophospholipid Metabolism
DAGK140,Glycerophospholipid Metabolism
DAGK160,Glycerophospholipid Metabolism
DAGK161,Glycerophospholipid Metabolism
DAGK180,Glycerophospholipid Metabolism
DAGK181,Glycerophospholipid Metabolism
DAPDC,Threonine and Lysine Metabolism
DAPE,Threonine and Lysine Metabolism
DASYN120,Glycerophospholipid Metabolism
DASYN140,Glycerophospholipid Metabolism
DASYN160,Glycerophospholipid Metabolism
DASYN161,Glycerophospholipid Metabolism
DASYN180,Glycerophospholipid Metabolism
DASYN181,Glycerophospholipid Metabolism
DB4PS,Cofactor and Prosthetic Group Biosynthesis
DCYTD,Nucleotide Salvage Pathway
DDPA,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
DGK1,Nucleotide Salvage Pathway
