Gene Name,Accession-1,Left-End-Position,Right-End-Position,Product,replicon
ABAYE_RS09490,ABAYE_RS09490,1905155,1906373,ABAYE_RS09490-MONOMER,NC_010410.1
ABAYE_RS15800,ABAYE_RS15800,3209317,3209869,ABAYE_RS15800-MONOMER,NC_010410.1
ABAYE_RS06560,ABAYE_RS06560,1307526,1307817,ABAYE_RS06560-MONOMER,NC_010410.1
ABAYE_RS17515,ABAYE_RS17515,3577539,3578352,ABAYE_RS17515-MONOMER,NC_010410.1
ABAYE_RS19290,ABAYE_RS19290,<3926900,3927044,ABAYE_RS19290-MONOMER,NC_010410.1
ABAYE_RS10580,ABAYE_RS10580,2127732,2128287,ABAYE_RS10580-MONOMER,NC_010410.1
ABAYE_RS00090,ABAYE_RS00090,0,216,ABAYE_RS00090-MONOMER,ABAYE_RS00090
ABAYE_RS16045,ABAYE_RS16045,3259895,3261137,ABAYE_RS16045-MONOMER,NC_010410.1
ABAYE_RS13655,ABAYE_RS13655,2760712,2761114,ABAYE_RS13655-MONOMER,NC_010410.1
ABAYE_RS06175,ABAYE_RS06175,1230051,1231065,ABAYE_RS06175-MONOMER,NC_010410.1
ABAYE_RS10970,ABAYE_RS10970,2203253,2203997,ABAYE_RS10970-MONOMER,NC_010410.1
ABAYE_RS04155,ABAYE_RS04155,738162,739518,ABAYE_RS04155-MONOMER,NC_010410.1
ABAYE_RS11825,ABAYE_RS11825,2388407,2389472,ABAYE_RS11825-MONOMER,NC_010410.1
ABAYE_RS09285,ABAYE_RS09285,1861879,1862668,ABAYE_RS09285-MONOMER,NC_010410.1
ABAYE_RS18480,ABAYE_RS18480,3753470,3753716,ABAYE_RS18480-MONOMER,NC_010410.1
ABAYE_RS19090,ABAYE_RS19090,3887783,3888785,ABAYE_RS19090-MONOMER,NC_010410.1
ABAYE_RS01005,ABAYE_RS01005,104466,105384,ABAYE_RS01005-MONOMER,NC_010410.1
ABAYE_RS03960,ABAYE_RS03960,697323,697400,ABAYE_RS03960-tRNA,NC_010410.1
ABAYE_RS09060,ABAYE_RS09060,1813979,1814906,ABAYE_RS09060-MONOMER,NC_010410.1
ABAYE_RS06990,ABAYE_RS06990,1377050,1378061,ABAYE_RS06990-MONOMER,NC_010410.1
ABAYE_RS13985,ABAYE_RS13985,2818907,2820986,ABAYE_RS13985-MONOMER,NC_010410.1
ABAYE_RS14145,ABAYE_RS14145,2859894,2861535,ABAYE_RS14145-MONOMER,NC_010410.1
ABAYE_RS12725,ABAYE_RS12725,2571622,2572240,ABAYE_RS12725-MONOMER,NC_010410.1
ABAYE_RS07270,ABAYE_RS07270,1429544,1430450,ABAYE_RS07270-MONOMER,NC_010410.1
ABAYE_RS02090,ABAYE_RS02090,335764,336394,ABAYE_RS02090-MONOMER,NC_010410.1
ABAYE_RS17125,ABAYE_RS17125,3497343,3498138,ABAYE_RS17125-MONOMER,NC_010410.1
ABAYE_RS18070,ABAYE_RS18070,3673543,3674758,ABAYE_RS18070-MONOMER,NC_010410.1
ABAYE_RS10955,ABAYE_RS10955,2200290,2201040,ABAYE_RS10955-MONOMER,NC_010410.1
ABAYE_RS08150,ABAYE_RS08150,1626578,1626947,ABAYE_RS08150-MONOMER,NC_010410.1
ABAYE_RS14070,ABAYE_RS14070,2840090,2841722,ABAYE_RS14070-MONOMER,NC_010410.1
ABAYE_RS00870,ABAYE_RS00870,69469,69943,ABAYE_RS00870-MONOMER,NC_010410.1
ABAYE_RS20090,ABAYE_RS20090,0,213,ABAYE_RS20090-MONOMER,ABAYE_RS20090
ABAYE_RS02280,ABAYE_RS02280,374204,375419,ABAYE_RS02280-MONOMER,NC_010410.1
ABAYE_RS16845,ABAYE_RS16845,3433815,3434196,ABAYE_RS16845-MONOMER,NC_010410.1
ABAYE_RS08580,ABAYE_RS08580,1712286,1712967,ABAYE_RS08580-MONOMER,NC_010410.1
ABAYE_RS11855,ABAYE_RS11855,2395299,2395491,ABAYE_RS11855-MONOMER,NC_010410.1
ABAYE_RS03275,ABAYE_RS03275,556502,557318,ABAYE_RS03275-MONOMER,NC_010410.1
ABAYE_RS04520,ABAYE_RS04520,842897,843530,ABAYE_RS04520-MONOMER,NC_010410.1
ABAYE_RS03600,ABAYE_RS03600,620917,621793,ABAYE_RS03600-MONOMER,NC_010410.1
ABAYE_RS03865,ABAYE_RS03865,679751,680870,ABAYE_RS03865-MONOMER,NC_010410.1
ABAYE_RS14440,ABAYE_RS14440,2925286,2925496,ABAYE_RS14440-MONOMER,NC_010410.1
ABAYE_RS15555,ABAYE_RS15555,3155232,3157158,ABAYE_RS15555-MONOMER,NC_010410.1
ABAYE_RS02815,ABAYE_RS02815,472417,473131,ABAYE_RS02815-MONOMER,NC_010410.1
ABAYE_RS18110,ABAYE_RS18110,3678819,3679656,ABAYE_RS18110-MONOMER,NC_010410.1
ABAYE_RS05375,ABAYE_RS05375,1030714,1031965,ABAYE_RS05375-MONOMER,NC_010410.1
ABAYE_RS11410,ABAYE_RS11410,2296156,2297092,ABAYE_RS11410-MONOMER,NC_010410.1
ABAYE_RS03620,ABAYE_RS03620,624900,626187,ABAYE_RS03620-MONOMER,NC_010410.1
ABAYE_RS17715,ABAYE_RS17715,0,384,ABAYE_RS17715-MONOMER,ABAYE_RS17715
ABAYE_RS02470,ABAYE_RS02470,415354,415936,ABAYE_RS02470-MONOMER,NC_010410.1
ABAYE_RS04400,ABAYE_RS04400,790103,791036,ABAYE_RS04400-MONOMER,NC_010410.1
ABAYE_RS09320,ABAYE_RS09320,1869362,1872359,ABAYE_RS09320-MONOMER,NC_010410.1
ABAYE_RS15430,ABAYE_RS15430,3134817,3135765,ABAYE_RS15430-MONOMER,NC_010410.1
ABAYE_RS11880,ABAYE_RS11880,2398200,2398521,ABAYE_RS11880-MONOMER,NC_010410.1
ABAYE_RS11220,ABAYE_RS11220,2256844,2257714,ABAYE_RS11220-MONOMER,NC_010410.1
ABAYE_RS15385,ABAYE_RS15385,3123317,3124247,ABAYE_RS15385-MONOMER,NC_010410.1
ABAYE_RS08750,ABAYE_RS08750,1747401,1749831,ABAYE_RS08750-MONOMER,NC_010410.1
ABAYE_RS12000,ABAYE_RS12000,2425001,2426291,ABAYE_RS12000-MONOMER,NC_010410.1
ABAYE_RS06350,ABAYE_RS06350,1265977,1266241,ABAYE_RS06350-MONOMER,NC_010410.1
ABAYE_RS00025,ABAYE_RS00025,0,264,ABAYE_RS00025-MONOMER,ABAYE_RS00025
ABAYE_RS07660,ABAYE_RS07660,1516366,1518094,ABAYE_RS07660-MONOMER,NC_010410.1
ABAYE_RS04425,ABAYE_RS04425,794710,796546,ABAYE_RS04425-MONOMER,NC_010410.1
ABAYE_RS11025,ABAYE_RS11025,2214805,2215465,ABAYE_RS11025-MONOMER,NC_010410.1
ABAYE_RS15710,ABAYE_RS15710,3192261,3192831,ABAYE_RS15710-MONOMER,NC_010410.1
ABAYE_RS18360,ABAYE_RS18360,3731578,3731654,ABAYE_RS18360-tRNA,NC_010410.1
ABAYE_RS10590,ABAYE_RS10590,2128942,2129716,ABAYE_RS10590-MONOMER,NC_010410.1
ABAYE_RS00150,ABAYE_RS00150,0,252,ABAYE_RS00150-MONOMER,ABAYE_RS00150
ABAYE_RS14480,ABAYE_RS14480,2934650,2935664,ABAYE_RS14480-MONOMER,NC_010410.1
ABAYE_RS04850,ABAYE_RS04850,922546,923296,ABAYE_RS04850-MONOMER,NC_010410.1
ABAYE_RS08175,ABAYE_RS08175,1630914,1631406,ABAYE_RS08175-MONOMER,NC_010410.1
ABAYE_RS13390,ABAYE_RS13390,2716553,2716955,ABAYE_RS13390-MONOMER,NC_010410.1
ABAYE_RS14860,ABAYE_RS14860,3010151,3011102,ABAYE_RS14860-MONOMER,NC_010410.1
ABAYE_RS17660,ABAYE_RS17660,3608280,3608619,ABAYE_RS17660-MONOMER,NC_010410.1
ABAYE_RS16255,ABAYE_RS16255,3307329,3308562,ABAYE_RS16255-MONOMER,NC_010410.1
ABAYE_RS10460,ABAYE_RS10460,2104740,2107455,ABAYE_RS10460-MONOMER,NC_010410.1
ABAYE_RS14435,ABAYE_RS14435,2924735,2925290,ABAYE_RS14435-MONOMER,NC_010410.1
ABAYE_RS01700,ABAYE_RS01700,253541,253985,ABAYE_RS01700-MONOMER,NC_010410.1
ABAYE_RS14280,ABAYE_RS14280,2884829,2886896,ABAYE_RS14280-MONOMER,NC_010410.1
ABAYE_RS11160,ABAYE_RS11160,2245260,2246163,ABAYE_RS11160-MONOMER,NC_010410.1
ABAYE_RS04090,ABAYE_RS04090,724623,726009,ABAYE_RS04090-MONOMER,NC_010410.1
ABAYE_RS10625,ABAYE_RS10625,2135030,2135666,ABAYE_RS10625-MONOMER,NC_010410.1
