Reaction,Complexes
34DHOXPEGOX,ABAYE_RS04365-MONOMER OR ABAYE_RS07700-MONOMER OR ABAYE_RS07975-MONOMER OR ABAYE_RS09595-MONOMER_mod_zn2(1)
34HPPOR,ABAYE_RS00875-MONOMER
4ABUTD,ABAYE_RS05595-MONOMER OR ABAYE_RS07685-MONOMER_mod_mg2(1) OR ABAYE_RS11785-MONOMER OR ABAYE_RS14150-MONOMER
4HTHRS,ABAYE_RS17570-MONOMER
A5PISO,ABAYE_RS12520-MONOMER
AABHH,ABAYE_RS06480-MONOMER
AADa,ABAYE_RS01415-MONOMER OR ABAYE_RS07465-MONOMER OR ABAYE_RS18700-MONOMER
AADb,ABAYE_RS01415-MONOMER OR ABAYE_RS07465-MONOMER OR ABAYE_RS18700-MONOMER
ABAH,ABAYE_RS19010-MONOMER_mod_zn2(1)
ABSD,ABAYE_RS05910-MONOMER
ABTA,ABAYE_RS01565-MONOMER_mod_pydx5p(1)
ABUTD,ABAYE_RS05595-MONOMER OR ABAYE_RS07685-MONOMER_mod_mg2(1) OR ABAYE_RS11785-MONOMER OR ABAYE_RS14150-MONOMER
ACACT1r,ABAYE_RS03690-MONOMER OR ABAYE_RS03735-MONOMER OR ABAYE_RS09825-MONOMER OR ABAYE_RS11665-MONOMER
ACBIPGT,ABAYE_RS10200-MONOMER
ACCDH,ABAYE_RS02925-MONOMER OR ABAYE_RS10295-MONOMER OR ABAYE_RS11570-MONOMER
ACCOAC,CPLX_ACCOAC-0 OR CPLX_ACCOAC-1 OR CPLX_ACCOAC-2 OR ABAYE_RS08035-MONOMER OR CPLX_ACCOAC-3 OR CPLX_ACCOAC-4 OR CPLX_ACCOAC-5 OR CPLX_ACCOAC-6 OR CPLX_ACCOAC-7 OR CPLX_ACCOAC-8 OR CPLX_ACCOAC-9 OR CPLX_ACCOAC-10
ACGK,ABAYE_RS14570-MONOMER_mod_mg2(1)
ACGS,ABAYE_RS15470-MONOMER OR ABAYE_RS19035-MONOMER
ACHBS,ABAYE_RS14145-MONOMER OR CPLX1SOZ-1
ACKr,ABAYE_RS16330-MONOMER
ACLDC,ABAYE_RS09025-MONOMER
ACLS,ABAYE_RS14145-MONOMER OR CPLX1SOZ-1
ACLS_d,ABAYE_RS01320-MONOMER OR ABAYE_RS09980-MONOMER OR ABAYE_RS09985-MONOMER
ACLSb,ABAYE_RS14145-MONOMER OR ABAYE_RS16135-MONOMER OR ABAYE_RS16140-MONOMER OR ABAYE_RS05605-MONOMER OR ABAYE_RS01320-MONOMER OR CPLX_ACLSb-0
ACOADH1,ABAYE_RS02925-MONOMER OR ABAYE_RS10295-MONOMER
ACOATA,ABAYE_RS12850-MONOMER
ACONT,ABAYE_RS07555-MONOMER_mod_4fe4s(1) OR ABAYE_RS16085-MONOMER_mod_4fe4s(1) OR ABAYE_RS18810-MONOMER
ACOTA,ABAYE_RS08450-MONOMER
ACS,ABAYE_RS01415-MONOMER OR ABAYE_RS07465-MONOMER OR ABAYE_RS18700-MONOMER
ACSERL,ABAYE_RS15880-MONOMER_mod_pydx5p(1) OR ABAYE_RS18340-MONOMER_mod_pydx5p(2)
ACTD,ABAYE_RS09965-MONOMER
ACTDa,ABAYE_RS09965-MONOMER
ACTF,ABAYE_RS03025-MONOMER OR ABAYE_RS03670-MONOMER OR ABAYE_RS07930-MONOMER OR ABAYE_RS08700-MONOMER OR ABAYE_RS08895-MONOMER OR ABAYE_RS09345-MONOMER OR ABAYE_RS10950-MONOMER OR ABAYE_RS11935-MONOMER OR ABAYE_RS12375-MONOMER OR ABAYE_RS12475-MONOMER OR ABAYE_RS19960-MONOMER OR ABAYE_RS18345-MONOMER OR ABAYE_RS18885-MONOMER
ADA,ABAYE_RS13035-MONOMER OR ABAYE_RS15440-MONOMER
ADCL,ABAYE_RS15585-MONOMER
