Transcription-Units,Genes of transcription unit,Direction
TU1SOZ-2128,ABAYE_RS18700 // ABAYE_RS18695 // ABAYE_RS18690 // ABAYE_RS18685,-
TU1SOZ-907,ABAYE_RS07835,+
TU1SOZ-2246,ABAYE_RS19980,-
TU1SOZ-1318,ABAYE_RS11720 // ABAYE_RS11715 // ABAYE_RS11710,-
TU1SOZ-179,ABAYE_RS01410,-
TU1SOZ-1241,ABAYE_RS10955,+
TU1SOZ-1917,ABAYE_RS16880,-
TU1SOZ-2497,ABAYE_RS07900,-
TU1SOZ-2024,ABAYE_RS17770,-
TU1SOZ-506,ABAYE_RS04320 // ABAYE_RS04315,+
TU1SOZ-372,ABAYE_RS03210,+
TU1SOZ-2370,ABAYE_RS12935,+
TU1SOZ-2643,ABAYE_RS01690,-
TU1SOZ-2066,ABAYE_RS18220 // ABAYE_RS18215,+
TU1SOZ-872,ABAYE_RS07565,+
TU1SOZ-1630,ABAYE_RS14410,-
TU1SOZ-369,ABAYE_RS03195,-
TU1SOZ-1892,ABAYE_RS16690 // ABAYE_RS16685,-
TU1SOZ-544,ABAYE_RS04605,+
TU1SOZ-148,ABAYE_RS01150,+
TU1SOZ-1179,ABAYE_RS10310,-
TU1SOZ-286,ABAYE_RS02330,-
TU1SOZ-1135,ABAYE_RS09840,-
TU1SOZ-397,ABAYE_RS03505,+
TU1SOZ-1387,ABAYE_RS19770,-
TU1SOZ-512,ABAYE_RS04360,-
TU1SOZ-2263,ABAYE_RS17005,+
TU1SOZ-2169,ABAYE_RS20085,+
TU1SOZ-1788,ABAYE_RS15835 // ABAYE_RS15830 // ABAYE_RS15825 // ABAYE_RS15820 // ABAYE_RS15815,-
TU1SOZ-292,ABAYE_RS02380,+
TU1SOZ-772,ABAYE_RS06520,-
TU1SOZ-38,ABAYE_RS00345,-
TU1SOZ-744,ABAYE_RS06290,-
TU1SOZ-1177,ABAYE_RS10285,+
TU1SOZ-1072,ABAYE_RS09320,+
TU1SOZ-1289,ABAYE_RS11435 // ABAYE_RS11430 // ABAYE_RS11425 // ABAYE_RS11420,-
TU1SOZ-864,ABAYE_RS07475,+
TU1SOZ-49,ABAYE_RS19520,-
TU1SOZ-280,ABAYE_RS02270,+
TU1SOZ-752,ABAYE_RS06355 // ABAYE_RS06350,-
