reaction,keff
12PPDRtex,65
12PPDStex,65
14GLUCANabcpp,65
14GLUCANtexi,65
23CAMPtex,65
23CCMPtex,65
23CGMPtex,65
23CUMPtex,65
23DAPPAtex,65
23PDE2pp,65
23PDE4pp,65
23PDE7pp,65
23PDE9pp,65
26DAHtex,65
2AGPA120tipp,65
2AGPA140tipp,65
2AGPA141tipp,65
2AGPA160tipp,65
2AGPA161tipp,65
2AGPA180tipp,65
2AGPA181tipp,65
2AGPE120tipp,65
2AGPE140tipp,65
2AGPE141tipp,65
2AGPE160tipp,65
2AGPE161tipp,65
2AGPE180tipp,65
2AGPE181tipp,65
2AGPEAT120,65
2AGPEAT140,65
2AGPEAT141,65
2AGPEAT160,65
2AGPEAT161,65
2AGPEAT180,65
2AGPEAT181,65
2AGPG120tipp,65
2AGPG140tipp,65
2AGPG141tipp,65
2AGPG160tipp,65
2AGPG161tipp,65
2AGPG180tipp,65
2AGPG181tipp,65
2AGPGAT120,65
2AGPGAT140,65
2AGPGAT141,65
2AGPGAT160,65
2AGPGAT161,65
2AGPGAT180,65
2AGPGAT181,65
2DGULRGx,65
2DGULRGy,65
2DGULRx,65
2DGULRy,65
2MAHMP,65
34dhpactex,65
3AMACHYD,65
3AMPtex,65
3CMPtex,65
3GMPtex,65
3HAD100,65
3HAD120,65
3HAD121,65
3HAD140,65
3HAD141,65
3HAD160,65
3HAD161,65
3HAD180,65
3HAD181,65
3HAD40,65
3HAD60,65
3HAD80,65
3HCINNMH,65
3HPPPNH,65
3HPPtex,65
3KGK,65
3NTD2pp,65
3NTD4pp,65
3NTD7pp,65
3NTD9pp,65
3OAR100,65
3OAR120,65
3OAR121,65
3OAR140,65
3OAR141,65
3OAR160,65
3OAR161,65
3OAR180,65
3OAR181,65
3OAR40,65
3OAR60,65
3OAR80,65
3OAS100,65
3OAS120,65
3OAS121,65
3OAS140,65
3OAS141,65
3OAS160,65
3OAS161,65
3OAS180,65
3OAS181,65
3OAS60,65
3OAS80,65
3OXCOAT,65
3PEPTabcpp,65
3PEPTtex,65
3UMPtex,65
42A12BOOXpp,65
4HOXPACDtex,65
4HTHRS,65
4PCP,65
4PEPTabcpp,65
4PEPTtex,65
5DGLCNR,65
5DGLCNt2rpp,65
5DGLCNtex,65
5DOAN,65
5MTRtex,65
A5PISO,65
AACPS1,65
AACPS2,65
AACPS3,65
AACPS4,65
AACPS5,65
AACPS6,65
AACPS7,65
AACPS8,65
AACPS9,65
AADDGT,65
AAMYL,65
AAMYLpp,65
AB6PGH,65
ABTA,65
ABUTD,65
ABUTt2pp,65
ABUTtex,65
ACACCT,65
ACACT1r,65
ACACT2r,65
ACACT3r,65
ACACT4r,65
ACACT5r,65
ACACT6r,65
ACACT7r,65
ACACT8r,65
ACACt2pp,65
ACACtex,65
ACALD,65
ACALDtex,65
ACANTHAT,65
ACBIPGT,65
ACCOAC,65
ACCOAL,65
ACGAL1Ptex,65
ACGALtex,65
ACGAM1Ptex,65
ACGAMK,65
ACGAMT,65
ACGAptspp,65
ACGAtex,65
ACGK,65
ACGS,65
ACHBS,65
ACKr,65
ACLS,65
ACM6PH,65
ACMAMUT,65
ACMANAptspp,65
ACMANAtex,65
ACMUMptspp,65
ACMUMtex,65
ACNAMt2pp,65
ACNAMtex,65
ACNML,65
ACOAD1f,65
ACOAD2f,65
ACOAD3f,65
ACOAD4f,65
ACOAD5f,65
ACOAD6f,65
ACOAD7f,65
ACOAD8f,65
ACOATA,65
ACODA,65
ACOLIPAabctex,65
ACONMT,65
ACONTa,65
ACONTb,65
ACOTA,65
ACPPAT120,65
ACPPAT140,65
ACPPAT141,65
ACPPAT160,65
ACPPAT161,65
ACPPAT180,65
ACPPAT181,65
ACPS1,65
ACS,65
ACSERtex,65
ACSERtpp,65
ACt4pp,65
ACtex,65
ADA,65
ADCL,65
ADCS,65
ADD,65
ADEt2rpp,65
ADEtex,65
ADK1,65
ADK3,65
