Complex,Complex_compartment,Protein,Protein_compartment,translocase_pathway
STM1969-MONOMER,Inner_Membrane,STM1969(),Inner_Membrane,s
STM3106-MONOMER,Periplasm,STM3106(),Periplasm,s
STM1149-MONOMER,Inner_Membrane,STM1149(),Inner_Membrane,s
STM3855-MONOMER,Inner_Membrane,STM3855(),Inner_Membrane,s
STM1203-MONOMER,Inner_Membrane,STM1203(),Inner_Membrane,s
STM4260-MONOMER,Inner_Membrane,STM4260(),Inner_Membrane,s
STM4580-MONOMER,Inner_Membrane,STM4580(),Inner_Membrane,s
STM0808-MONOMER,Membrane,STM0808(),Membrane,s
STM3838-MONOMER,Inner_Membrane,STM3838(),Inner_Membrane,s
STM4244-MONOMER,Membrane,STM4244(),Membrane,s
STM0520-MONOMER,Inner_Membrane,STM0520(),Inner_Membrane,s
STM0747-MONOMER,Membrane,STM0747(),Membrane,s
STM3074-MONOMER,Inner_Membrane,STM3074(),Inner_Membrane,s
STM2697-MONOMER,Membrane,STM2697(),Membrane,s
STM3787-MONOMER,Inner_Membrane,STM3787(),Inner_Membrane,s
STM3822-MONOMER,Periplasm,STM3822(),Periplasm,s
STM1132-MONOMER,Inner_Membrane,STM1132(),Inner_Membrane,s
STM1170-MONOMER,Inner_Membrane,STM1170(),Inner_Membrane,s
STM4228-MONOMER,Inner_Membrane,STM4228(),Inner_Membrane,s
STM0086-MONOMER,Inner_Membrane,STM0086(),Inner_Membrane,s
STM2679-MONOMER,Inner_Membrane,STM2679(),Inner_Membrane,s
STM1880-MONOMER,Membrane,STM1880(),Membrane,s
STM3805-MONOMER,Membrane,STM3805(),Membrane,s
STM1154-MONOMER,Inner_Membrane,STM1154(),Inner_Membrane,s
STM1530-MONOMER,Outer_Membrane,STM1530(),Outer_Membrane,s
STM2259-MONOMER,Periplasm,STM2259(),Periplasm,s
STM0107-MONOMER,Inner_Membrane,STM0107(),Inner_Membrane,s
STM0731-MONOMER,Membrane,STM0731(),Membrane,s
STM0757-MONOMER,Inner_Membrane,STM0757(),Inner_Membrane,s
STM3792-MONOMER,Inner_Membrane,STM3792(),Inner_Membrane,s
STM1493-MONOMER,Inner_Membrane,STM1493(),Inner_Membrane,s
STM3024-MONOMER,Inner_Membrane,STM3024(),Inner_Membrane,s
STM4545-MONOMER,Inner_Membrane,STM4545(),Inner_Membrane,s
STM3776-MONOMER,Inner_Membrane,STM3776(),Inner_Membrane,s
STM1498-MONOMER,Periplasm,STM1498(),Periplasm,s
STM1482-MONOMER,Inner_Membrane,STM1482(),Inner_Membrane,s
