,value
ala__L_c,STM2827-MONOMER_mod_zn2(4)
arg__L_c,STM1909-MONOMER_mod_mg2(1)
asn__L_c,STM1000-MONOMER
asp__L_c,STM1901-MONOMER
cys__L_c,STM0537-MONOMER_mod_zn2(1)
gln__L_c,STM0686-MONOMER
glu__L_c,STM2415-MONOMER_mod_mg2(1)_mod_zn2(1)
gly_c,CPLX1R65-25
his__L_c,STM2522-MONOMER_mod_mg2(4)
ile__L_c,STM0046-MONOMER_mod_zn2(2)
leu__L_c,STM0648-MONOMER
lys__L_c,STM3040-MONOMER_mod_mg2(6)
met__L_c,STM2155-MONOMER_mod_zn2(2)
phe__L_c,CPLX1R65-3_mod_mg2(1)
pro__L_c,STM0242-MONOMER
ser__L_c,STM0963-MONOMER_mod_mg2(1)
thr__L_c,STM1333-MONOMER
trp__L_c,generic_trp_ligase
tyr__L_c,STM1449-MONOMER
val__L_c,STM4475-MONOMER_mod_mg2(1)
