Modified_enzyme,Core_enzyme,Modifications,Source
CPLX1R65-35_mod_zn2(1)_mod_mg2(2),CPLX1R65-35,zn2(1) AND mg2(2),RNA_Polymerase
STM0171-MONOMER_mod_zn2(1),STM0171-MONOMER,zn2(1),Homology
STM3487-MONOMER_mod_mg2(1),STM3487-MONOMER,mg2(1),Homology
STM3487-MONOMER_mod_mn2(1),STM3487-MONOMER,mn2(1),Homology
STM3487-MONOMER_mod_cobalt2(1),STM3487-MONOMER,cobalt2(1),Homology
STM3487-MONOMER_mod_fe2(1),STM3487-MONOMER,fe2(1),Homology
STM3487-MONOMER_mod_ca2(1),STM3487-MONOMER,ca2(1),Homology
STM3487-MONOMER_mod_k(1),STM3487-MONOMER,k(1),Homology
STM0102-MONOMER_mod_mn2(1),STM0102-MONOMER,mn2(1),Homology
STM1953-MONOMER_mod_pydx5p(1),STM1953-MONOMER,pydx5p(1),Homology
STM4580-MONOMER_mod_mg2(1),STM4580-MONOMER,mg2(1),Homology
STM4580-MONOMER_mod_mn2(1),STM4580-MONOMER,mn2(1),Homology
STM4580-MONOMER_mod_ca2(1),STM4580-MONOMER,ca2(1),Homology
STM4580-MONOMER_mod_zn2(1),STM4580-MONOMER,zn2(1),Homology
STM4580-MONOMER_mod_cu2(1),STM4580-MONOMER,cu2(1),Homology
STM4580-MONOMER_mod_cd2(1),STM4580-MONOMER,cd2(1),Homology
STM4580-MONOMER_mod_cobalt2(1),STM4580-MONOMER,cobalt2(1),Homology
STM4580-MONOMER_mod_ni2(1),STM4580-MONOMER,ni2(1),Homology
STM3090-MONOMER_mod_k(4)_mod_mg2(1),STM3090-MONOMER,k(4) AND mg2(1),Homology
STM3090-MONOMER_mod_k(4)_mod_mn2(1),STM3090-MONOMER,k(4) AND mn2(1),Homology
STM3090-MONOMER_mod_k(4)_mod_cobalt2(1),STM3090-MONOMER,k(4) AND cobalt2(1),Homology
STM3090-MONOMER_mod_k(4)_mod_zn2(1),STM3090-MONOMER,k(4) AND zn2(1),Homology
STM3090-MONOMER_mod_k(4)_mod_cd2(1),STM3090-MONOMER,k(4) AND cd2(1),Homology
STM3090-MONOMER_mod_k(4)_mod_ni2(1),STM3090-MONOMER,k(4) AND ni2(1),Homology
STM3090-MONOMER_mod_k(4)_mod_ca2(1),STM3090-MONOMER,k(4) AND ca2(1),Homology
STM3090-MONOMER_mod_nh4(4)_mod_mg2(1),STM3090-MONOMER,nh4(4) AND mg2(1),Homology
STM3090-MONOMER_mod_nh4(4)_mod_mn2(1),STM3090-MONOMER,nh4(4) AND mn2(1),Homology
STM3090-MONOMER_mod_nh4(4)_mod_cobalt2(1),STM3090-MONOMER,nh4(4) AND cobalt2(1),Homology
STM3090-MONOMER_mod_nh4(4)_mod_zn2(1),STM3090-MONOMER,nh4(4) AND zn2(1),Homology
STM3090-MONOMER_mod_nh4(4)_mod_cd2(1),STM3090-MONOMER,nh4(4) AND cd2(1),Homology
STM3090-MONOMER_mod_nh4(4)_mod_ni2(1),STM3090-MONOMER,nh4(4) AND ni2(1),Homology
STM3090-MONOMER_mod_nh4(4)_mod_ca2(1),STM3090-MONOMER,nh4(4) AND ca2(1),Homology
STM3090-MONOMER_mod_tl(4)_mod_mg2(1),STM3090-MONOMER,tl(4) AND mg2(1),Homology
STM3090-MONOMER_mod_tl(4)_mod_mn2(1),STM3090-MONOMER,tl(4) AND mn2(1),Homology
STM3090-MONOMER_mod_tl(4)_mod_cobalt2(1),STM3090-MONOMER,tl(4) AND cobalt2(1),Homology
STM3090-MONOMER_mod_tl(4)_mod_zn2(1),STM3090-MONOMER,tl(4) AND zn2(1),Homology
STM3090-MONOMER_mod_tl(4)_mod_cd2(1),STM3090-MONOMER,tl(4) AND cd2(1),Homology
STM3090-MONOMER_mod_tl(4)_mod_ni2(1),STM3090-MONOMER,tl(4) AND ni2(1),Homology
STM3090-MONOMER_mod_tl(4)_mod_ca2(1),STM3090-MONOMER,tl(4) AND ca2(1),Homology
STM3090-MONOMER_mod_cs(4)_mod_mg2(1),STM3090-MONOMER,cs(4) AND mg2(1),Homology
STM3090-MONOMER_mod_cs(4)_mod_mn2(1),STM3090-MONOMER,cs(4) AND mn2(1),Homology
STM3090-MONOMER_mod_cs(4)_mod_cobalt2(1),STM3090-MONOMER,cs(4) AND cobalt2(1),Homology
STM3090-MONOMER_mod_cs(4)_mod_zn2(1),STM3090-MONOMER,cs(4) AND zn2(1),Homology
STM3090-MONOMER_mod_cs(4)_mod_cd2(1),STM3090-MONOMER,cs(4) AND cd2(1),Homology
STM3090-MONOMER_mod_cs(4)_mod_ni2(1),STM3090-MONOMER,cs(4) AND ni2(1),Homology
STM3090-MONOMER_mod_cs(4)_mod_ca2(1),STM3090-MONOMER,cs(4) AND ca2(1),Homology
STM3090-MONOMER_mod_LI(4)_mod_mg2(1),STM3090-MONOMER,LI(4) AND mg2(1),Homology
STM3090-MONOMER_mod_LI(4)_mod_mn2(1),STM3090-MONOMER,LI(4) AND mn2(1),Homology
STM3090-MONOMER_mod_LI(4)_mod_cobalt2(1),STM3090-MONOMER,LI(4) AND cobalt2(1),Homology
STM3090-MONOMER_mod_LI(4)_mod_zn2(1),STM3090-MONOMER,LI(4) AND zn2(1),Homology
STM3090-MONOMER_mod_LI(4)_mod_cd2(1),STM3090-MONOMER,LI(4) AND cd2(1),Homology
STM3090-MONOMER_mod_LI(4)_mod_ni2(1),STM3090-MONOMER,LI(4) AND ni2(1),Homology
STM3090-MONOMER_mod_LI(4)_mod_ca2(1),STM3090-MONOMER,LI(4) AND ca2(1),Homology
STM3090-MONOMER_mod_na1(4)_mod_mg2(1),STM3090-MONOMER,na1(4) AND mg2(1),Homology
STM3090-MONOMER_mod_na1(4)_mod_mn2(1),STM3090-MONOMER,na1(4) AND mn2(1),Homology
STM3090-MONOMER_mod_na1(4)_mod_cobalt2(1),STM3090-MONOMER,na1(4) AND cobalt2(1),Homology
