Gene Name,Accession-1,Left-End-Position,Right-End-Position,Product,replicon
STM0882,STM0882,953115,954246,STM0882-MONOMER,AE006468.2
STM4541,STM4541,4799716,4801969,STM4541-MONOMER,AE006468.2
STM3585,STM3585,3751845,3752970,STM3585-MONOMER,AE006468.2
STM0837,STM0837,903899,904820,STM0837-MONOMER,AE006468.2
STM2647,STM2647,2786610,2787300,STM2647-MONOMER,AE006468.2
STM2611,STM2611,2758959,2759412,STM2611-MONOMER,AE006468.2
STM3155,STM3155,3317661,3318072,STM3155-MONOMER,AE006468.2
STM1294,STM1294,1371788,1372805,STM1294-MONOMER,AE006468.2
STM1336,STM1336,1415010,1415367,STM1336-MONOMER,AE006468.2
STM1767,STM1767,1866064,1866715,STM1767-MONOMER,AE006468.2
STM1190,STM1190,1275262,1275784,STM1190-MONOMER,AE006468.2
STM3077,STM3077,3238665,3239424,STM3077-MONOMER,AE006468.2
PSLT028,PSLT028,0,306,PSLT028-MONOMER,PSLT028
STM0338,STM0338,381035,383597,STM0338-MONOMER,AE006468.2
STM3381,STM3381,3552040,3552283,STM3381-MONOMER,AE006468.2
STM3539,STM3539,3708639,3709746,STM3539-MONOMER,AE006468.2
STM1806,STM1806,1906821,1908366,STM1806-MONOMER,AE006468.2
STM2259,STM2259,2356416,2358903,STM2259-MONOMER,AE006468.2
STM3012,STM3012,3171668,3172691,STM3012-MONOMER,AE006468.2
STM4034,STM4034,4242297,4243227,STM4034-MONOMER,AE006468.2
STM3121,STM3121,3279666,3280545,STM3121-MONOMER,AE006468.2
STM4523,STM4523,4777064,4777397,STM4523-MONOMER,AE006468.2
STM0954,STM0954,1030495,1030879,STM0954-MONOMER,AE006468.2
STM0817,STM0817,881960,883697,STM0817-MONOMER,AE006468.2
STM0392,STM0392,442929,443841,STM0392-MONOMER,AE006468.2
STM2594,STM2594,2743186,2746282,STM2594-MONOMER,AE006468.2
STM3229,STM3229,3396804,3397110,STM3229-MONOMER,AE006468.2
STM1264,STM1264,1346585,1347374,STM1264-MONOMER,AE006468.2
STM3589,STM3589,3758507,3760004,STM3589-MONOMER,AE006468.2
STM1742,STM1742,1835616,1836621,STM1742-MONOMER,AE006468.2
STM2802,STM2802,2949312,2949651,STM2802-MONOMER,AE006468.2
STM3060,STM3060,3221732,3222062,STM3060-MONOMER,AE006468.2
STM2299,STM2299,2406091,2408074,STM2299-MONOMER,AE006468.2
STM0313,STM0313,357800,358856,STM0313-MONOMER,AE006468.2
STM2757,STM2757,2894910,2895753,STM2757-MONOMER,AE006468.2
STM3518,STM3518,3680350,3681370,STM3518-MONOMER,AE006468.2
STM4076,STM4076,4286082,4287084,STM4076-MONOMER,AE006468.2
STM2241,STM2241,2340883,2343250,STM2241-MONOMER,AE006468.2
STM2575,STM2575,2720726,2721653,STM2575-MONOMER,AE006468.2
STM4007,STM4007,4215611,4217021,STM4007-MONOMER,AE006468.2
STM4566,STM4566,4819638,4821189,STM4566-MONOMER,AE006468.2
STM4492,STM4492,4738789,4741387,STM4492-MONOMER,AE006468.2
STM2505,STM2505,2621101,2621362,STM2505-MONOMER,AE006468.2
STM0792,STM0792,858262,858739,STM0792-MONOMER,AE006468.2
STM0857,STM0857,928722,929886,STM0857-MONOMER,AE006468.2
STM2579,STM2579,2723185,2723914,STM2579-MONOMER,AE006468.2
STM2414,STM2414,2529715,2530108,STM2414-MONOMER,AE006468.2
STM1240,STM1240,1328178,1328967,STM1240-MONOMER,AE006468.2
STM2630,STM2630,2770342,2770501,STM2630-MONOMER,AE006468.2
STM1717,STM1717,1814362,1815124,STM1717-MONOMER,AE006468.2
STM2375,STM2375,2486913,2487282,STM2375-MONOMER,AE006468.2
