complex_id,name,genes,mod,replace
CPLX_ZCAROTDH2-0,Zeta-carotene desaturase(2),SYNPCC7942_RS07730() AND SYNPCC7942_RS06385(),,
CPLX_COCHL_1-0,Cobaltochelatase,SYNPCC7942_RS00495() AND SYNPCC7942_RS04275(),,
CPLX_PSIum-0,Photosystem I,SYNPCC7942_RS02075() AND SYNPCC7942_RS02720() AND SYNPCC7942_RS03350() AND SYNPCC7942_RS04735() AND SYNPCC7942_RS05140() AND SYNPCC7942_RS06400() AND SYNPCC7942_RS06405() AND SYNPCC7942_RS06760() AND SYNPCC7942_RS09705() AND SYNPCC7942_RS10390() AND SYNPCC7942_RS10395() AND SYNPCC7942_RS11800() AND SYNPCC7942_RS11900() AND SYNPCC7942_RS11905() AND SYNPCC7942_RS12755(),,
CPLX_Cobalt2abcppI-0,Cobalt II transport via ABC system periplasm I,SYNPCC7942_RS11895() AND SYNPCC7942_RS02850() AND SYNPCC7942_RS08360(),,
CPLX_MEHLER_1-0,Mehler reaction,SYNPCC7942_RS09190() AND SYNPCC7942_RS09195(),,
CPLX_BIOMASS_DNA-0,Biomass: DNA,SYNPCC7942_RS00985() AND SYNPCC7942_RS02900() AND SYNPCC7942_RS11170() AND SYNPCC7942_RS00005() AND SYNPCC7942_RS02065() AND SYNPCC7942_RS00475() AND SYNPCC7942_RS04690(),,
CPLX_DHNANT-0,"1,4-dihydroxy-2-napthoyl phytyltransferase",SYNPCC7942_RS06990() AND SYNPCC7942_RS12725(),,
CPLX_ASPCT-0,Aspartate carbamoyltransferase,SYNPCC7942_RS02475() AND SYNPCC7942_RS03430(),,
CPLX_Kabcpp-0,Potassium ABC transporter (periplasm),SYNPCC7942_RS08505() AND SYNPCC7942_RS08510() AND SYNPCC7942_RS08515() AND SYNPCC7942_RS08800(),,
CPLX_PRFGS-0,Phosphoribosylformylglycinamidine synthase,SYNPCC7942_RS00015() AND SYNPCC7942_RS04230() AND SYNPCC7942_RS04235(),,
CPLX_ATPPRT-0,ATP phosphoribosyltransferase,SYNPCC7942_RS04060() AND SYNPCC7942_RS04205(),,
CPLX_CYNTtabcpp-0,Cyanate transport,SYNPCC7942_RS10670() AND SYNPCC7942_RS10675(),,
CPLX_RBPCcx-0,Ribulose-bisphosphate carboxylase,SYNPCC7942_RS07295() AND SYNPCC7942_RS07300() AND SYNPCC7942_RS07280() AND SYNPCC7942_RS07270() AND SYNPCC7942_RS07275() AND SYNPCC7942_RS01450() AND SYNPCC7942_RS01445() AND SYNPCC7942_RS07285() AND SYNPCC7942_RS07290(),,
CPLX_NADTRHD-0,NAD transhydrogenase,SYNPCC7942_RS08215() AND SYNPCC7942_RS08220() AND SYNPCC7942_RS08225(),,
CPLX_FE3abcpp-0,Iron (III) transport via ABC system (periplasm to cytoplasm),SYNPCC7942_RS07195() AND SYNPCC7942_RS07200() AND SYNPCC7942_RS07210(),,
