Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
CPLX_ATPS1-0	Plasma_Membrane	TM1614()	Plasma_Membrane	s
CPLX_ATPS1-0	Plasma_Membrane	TM1611()	Plasma_Membrane	s
CPLX_ATPS1-0	Plasma_Membrane	TM1612()	Plasma_Membrane	s
CPLX_ATPS1-0	Plasma_Membrane	TM1609()	Plasma_Membrane	s
CPLX_ATPS1-0	Plasma_Membrane	TM1616()	Plasma_Membrane	s
CPLX_ATPS1-0	Plasma_Membrane	TM1610()	Plasma_Membrane	s
CPLX_FE3abc-0	Plasma_Membrane	TM0190()	Plasma_Membrane	s
CPLX_FE3abc-1	Plasma_Membrane	TM0080()	Plasma_Membrane	s
CPLX_FE3abc-1	Plasma_Membrane	TM0078()	Plasma_Membrane	s
CPLX_FE3abc-1	Plasma_Membrane	TM0079()	Plasma_Membrane	s
CPLX_GALabc-0	Plasma_Membrane	TM1203()	Plasma_Membrane	s
CPLX_GLCMAN6abc-0	Plasma_Membrane	TM1747()	Plasma_Membrane	s
CPLX_GLCMAN6abc-0	Plasma_Membrane	TM1748()	Plasma_Membrane	s
CPLX_GLCMAN6abc-0	Plasma_Membrane	TM1746()	Plasma_Membrane	s
CPLX_MALTTRabc-0	Plasma_Membrane	TM1836()	Plasma_Membrane	s
CPLX_MALTTRabc-0	Plasma_Membrane	TM1839()	Plasma_Membrane	s
CPLX_PIabc-0	Plasma_Membrane	TM1261()	Plasma_Membrane	s
CPLX_PIabc-0	Plasma_Membrane	TM1264()	Plasma_Membrane	s
CPLX_PIabc-0	Plasma_Membrane	TM1263()	Plasma_Membrane	s
CPLX_PIabc-0	Plasma_Membrane	TM1262()	Plasma_Membrane	s
CPLX_RIBabc-0	Plasma_Membrane	TM0958()	Plasma_Membrane	s
CPLX_RIBabc-0	Plasma_Membrane	TM0955()	Plasma_Membrane	s
CPLX_RIBabc-0	Plasma_Membrane	TM0956()	Plasma_Membrane	s
CPLX_ZNabc-0	Plasma_Membrane	TM0125()	Plasma_Membrane	s
CPLX_ZNabc-0	Plasma_Membrane	TM0123()	Plasma_Membrane	s
CPLX_ZNabc-0	Plasma_Membrane	TM0124()	Plasma_Membrane	s
TM0020-MONOMER	Plasma_Membrane	TM0020()	Plasma_Membrane	s
TM0078-MONOMER	Plasma_Membrane	TM0078()	Plasma_Membrane	s
TM0079-MONOMER	Plasma_Membrane	TM0079()	Plasma_Membrane	s
TM0080-MONOMER	Plasma_Membrane	TM0080()	Plasma_Membrane	s
TM0082-MONOMER	Extracellular_Space	TM0082()	Extracellular_Space	s
TM0083-MONOMER	Extracellular_Space	TM0083()	Extracellular_Space	s
TM0102-MONOMER	Plasma_Membrane	TM0102()	Plasma_Membrane	s
TM0103-MONOMER	Plasma_Membrane	TM0103()	Plasma_Membrane	s
TM0104-MONOMER	Plasma_Membrane	TM0104()	Plasma_Membrane	s
TM0105-MONOMER	Plasma_Membrane	TM0105()	Plasma_Membrane	s
TM0113-MONOMER	Plasma_Membrane	TM0113()	Plasma_Membrane	s
TM0123-MONOMER	Plasma_Membrane	TM0123()	Plasma_Membrane	s
TM0124-MONOMER	Plasma_Membrane	TM0124()	Plasma_Membrane	s
TM0125-MONOMER	Plasma_Membrane	TM0125()	Plasma_Membrane	s
TM0156-MONOMER	Plasma_Membrane	TM0156()	Plasma_Membrane	s
TM0158-MONOMER	Plasma_Membrane	TM0158()	Plasma_Membrane	s
TM0177-MONOMER	Plasma_Membrane	TM0177()	Plasma_Membrane	s
TM0190-MONOMER	Plasma_Membrane	TM0190()	Plasma_Membrane	s
TM0193-MONOMER	Plasma_Membrane	TM0193()	Plasma_Membrane	s
TM0218-MONOMER	Plasma_Membrane	TM0218()	Plasma_Membrane	s
TM0220-MONOMER	Plasma_Membrane	TM0220()	Plasma_Membrane	s
TM0221-MONOMER	Plasma_Membrane	TM0221()	Plasma_Membrane	s
TM0222-MONOMER	Plasma_Membrane	TM0222()	Plasma_Membrane	s
TM0226-MONOMER	Plasma_Membrane	TM0226()	Plasma_Membrane	s
TM0232-MONOMER	Plasma_Membrane	TM0232()	Plasma_Membrane	s
TM0233-MONOMER	Plasma_Membrane	TM0233()	Plasma_Membrane	s
TM0235-MONOMER	Plasma_Membrane	TM0235()	Plasma_Membrane	s
TM0261-MONOMER	Plasma_Membrane	TM0261()	Plasma_Membrane	s
TM0279-MONOMER	Plasma_Membrane	TM0279()	Plasma_Membrane	s
TM0287-MONOMER	Plasma_Membrane	TM0287()	Plasma_Membrane	s
TM0288-MONOMER	Plasma_Membrane	TM0288()	Plasma_Membrane	s
TM0317-MONOMER	Plasma_Membrane	TM0317()	Plasma_Membrane	s
TM0322-MONOMER	Extracellular_Space	TM0322()	Extracellular_Space	s
TM0351-MONOMER	Plasma_Membrane	TM0351()	Plasma_Membrane	s
TM0352-MONOMER	Plasma_Membrane	TM0352()	Plasma_Membrane	s
TM0372-MONOMER	Plasma_Membrane	TM0372()	Plasma_Membrane	s
TM0396-MONOMER	Plasma_Membrane	TM0396()	Plasma_Membrane	s
TM0400-MONOMER	Plasma_Membrane	TM0400()	Plasma_Membrane	s
TM0402-MONOMER	Plasma_Membrane	TM0402()	Plasma_Membrane	s
TM0403-MONOMER	Plasma_Membrane	TM0403()	Plasma_Membrane	s
TM0409-MONOMER	Plasma_Membrane	TM0409()	Plasma_Membrane	s
TM0433-MONOMER	Extracellular_Space	TM0433()	Extracellular_Space	s
TM0483-MONOMER	Plasma_Membrane	TM0483()	Plasma_Membrane	s
TM0485-MONOMER	Plasma_Membrane	TM0485()	Plasma_Membrane	s
TM0498-MONOMER	Plasma_Membrane	TM0498()	Plasma_Membrane	s
TM0500-MONOMER	Plasma_Membrane	TM0500()	Plasma_Membrane	s
TM0501-MONOMER	Plasma_Membrane	TM0501()	Plasma_Membrane	s
TM0532-MONOMER	Plasma_Membrane	TM0532()	Plasma_Membrane	s
TM0538-MONOMER	Plasma_Membrane	TM0538()	Plasma_Membrane	s
TM0561-MONOMER	Plasma_Membrane	TM0561()	Plasma_Membrane	s
TM0570-MONOMER	Plasma_Membrane	TM0570()	Plasma_Membrane	s
TM0571-MONOMER	Plasma_Membrane	TM0571()	Plasma_Membrane	s
TM0580-MONOMER	Plasma_Membrane	TM0580()	Plasma_Membrane	s
TM0584-MONOMER	Plasma_Membrane	TM0584()	Plasma_Membrane	s
TM0586-MONOMER	Plasma_Membrane	TM0586()	Plasma_Membrane	s
TM0591-MONOMER	Plasma_Membrane	TM0591()	Plasma_Membrane	s
TM0592-MONOMER	Plasma_Membrane	TM0592()	Plasma_Membrane	s
TM0593-MONOMER	Plasma_Membrane	TM0593()	Plasma_Membrane	s
TM0594-MONOMER	Plasma_Membrane	TM0594()	Plasma_Membrane	s
TM0632-MONOMER	Plasma_Membrane	TM0632()	Plasma_Membrane	s
TM0676-MONOMER	Plasma_Membrane	TM0676()	Plasma_Membrane	s
TM0677-MONOMER	Plasma_Membrane	TM0677()	Plasma_Membrane	s
TM0679-MONOMER	Plasma_Membrane	TM0679()	Plasma_Membrane	s
TM0683-MONOMER	Plasma_Membrane	TM0683()	Plasma_Membrane	s
TM0697-MONOMER	Plasma_Membrane	TM0697()	Plasma_Membrane	s
TM0698-MONOMER	Plasma_Membrane	TM0698()	Plasma_Membrane	s
TM0702-MONOMER	Plasma_Membrane	TM0702()	Plasma_Membrane	s
TM0758-MONOMER	Cell_Wall	TM0758()	Cell_Wall	s
TM0773-MONOMER	Plasma_Membrane	TM0773()	Plasma_Membrane	s
TM0792-MONOMER	Plasma_Membrane	TM0792()	Plasma_Membrane	s
TM0799-MONOMER	Plasma_Membrane	TM0799()	Plasma_Membrane	s
TM0805-MONOMER	Plasma_Membrane	TM0805()	Plasma_Membrane	s
TM0809-MONOMER	Cell_Wall	TM0809()	Cell_Wall	s
TM0810-MONOMER	Plasma_Membrane	TM0810()	Plasma_Membrane	s
TM0811-MONOMER	Plasma_Membrane	TM0811()	Plasma_Membrane	s
TM0815-MONOMER	Plasma_Membrane	TM0815()	Plasma_Membrane	s
TM0819-MONOMER	Plasma_Membrane	TM0819()	Plasma_Membrane	s
TM0835-MONOMER	Plasma_Membrane	TM0835()	Plasma_Membrane	s
TM0837-MONOMER	Plasma_Membrane	TM0837()	Plasma_Membrane	s
TM0839-MONOMER	Plasma_Membrane	TM0839()	Plasma_Membrane	s
TM0845-MONOMER	Plasma_Membrane	TM0845()	Plasma_Membrane	s
TM0847-MONOMER	Plasma_Membrane	TM0847()	Plasma_Membrane	s
TM0859-MONOMER	Plasma_Membrane	TM0859()	Plasma_Membrane	s
TM0860-MONOMER	Plasma_Membrane	TM0860()	Plasma_Membrane	s
TM0870-MONOMER	Plasma_Membrane	TM0870()	Plasma_Membrane	s
TM0876-MONOMER	Plasma_Membrane	TM0876()	Plasma_Membrane	s
TM0877-MONOMER	Extracellular_Space	TM0877()	Extracellular_Space	s
TM0886-MONOMER	Plasma_Membrane	TM0886()	Plasma_Membrane	s
TM0890-MONOMER	Plasma_Membrane	TM0890()	Plasma_Membrane	s
TM0893-MONOMER	Plasma_Membrane	TM0893()	Plasma_Membrane	s
TM0906-MONOMER	Plasma_Membrane	TM0906()	Plasma_Membrane	s
TM0907-MONOMER	Plasma_Membrane	TM0907()	Plasma_Membrane	s
TM0908-MONOMER	Plasma_Membrane	TM0908()	Plasma_Membrane	s
TM0909-MONOMER	Plasma_Membrane	TM0909()	Plasma_Membrane	s
TM0910-MONOMER	Plasma_Membrane	TM0910()	Plasma_Membrane	s
TM0917-MONOMER	Plasma_Membrane	TM0917()	Plasma_Membrane	s
TM0921-MONOMER	Extracellular_Space	TM0921()	Extracellular_Space	s
TM0926-MONOMER	Plasma_Membrane	TM0926()	Plasma_Membrane	s
TM0934-MONOMER	Plasma_Membrane	TM0934()	Plasma_Membrane	s
TM0955-MONOMER	Plasma_Membrane	TM0955()	Plasma_Membrane	s
TM0956-MONOMER	Plasma_Membrane	TM0956()	Plasma_Membrane	s
TM0958-MONOMER	Plasma_Membrane	TM0958()	Plasma_Membrane	s
TM0972-MONOMER	Plasma_Membrane	TM0972()	Plasma_Membrane	s
TM1017-MONOMER	Plasma_Membrane	TM1017()	Plasma_Membrane	s
TM1021-MONOMER	Plasma_Membrane	TM1021()	Plasma_Membrane	s
TM1032-MONOMER	Plasma_Membrane	TM1032()	Plasma_Membrane	s
TM1052-MONOMER	Plasma_Membrane	TM1052()	Plasma_Membrane	s
TM1057-MONOMER	Plasma_Membrane	TM1057()	Plasma_Membrane	s
TM1123-MONOMER	Extracellular_Space	TM1123()	Extracellular_Space	s
TM1141-MONOMER	Plasma_Membrane	TM1141()	Plasma_Membrane	s
TM1150-MONOMER	Plasma_Membrane	TM1150()	Plasma_Membrane	s
TM1161-MONOMER	Plasma_Membrane	TM1161()	Plasma_Membrane	s
TM1201-MONOMER	Extracellular_Space	TM1201()	Extracellular_Space	s
TM1203-MONOMER	Plasma_Membrane	TM1203()	Plasma_Membrane	s
TM1205-MONOMER	Plasma_Membrane	TM1205()	Plasma_Membrane	s
TM1207-MONOMER	Plasma_Membrane	TM1207()	Plasma_Membrane	s
TM1210-MONOMER	Plasma_Membrane	TM1210()	Plasma_Membrane	s
TM1211-MONOMER	Plasma_Membrane	TM1211()	Plasma_Membrane	s
TM1212-MONOMER	Plasma_Membrane	TM1212()	Plasma_Membrane	s
TM1256-MONOMER	Plasma_Membrane	TM1256()	Plasma_Membrane	s
TM1261-MONOMER	Plasma_Membrane	TM1261()	Plasma_Membrane	s
TM1262-MONOMER	Plasma_Membrane	TM1262()	Plasma_Membrane	s
TM1263-MONOMER	Plasma_Membrane	TM1263()	Plasma_Membrane	s
TM1264-MONOMER	Plasma_Membrane	TM1264()	Plasma_Membrane	s
TM1276-MONOMER	Plasma_Membrane	TM1276()	Plasma_Membrane	s
TM1282-MONOMER	Plasma_Membrane	TM1282()	Plasma_Membrane	s
TM1336-MONOMER	Plasma_Membrane	TM1336()	Plasma_Membrane	s
TM1349-MONOMER	Plasma_Membrane	TM1349()	Plasma_Membrane	s
TM1350-MONOMER	Plasma_Membrane	TM1350()	Plasma_Membrane	s
TM1397-MONOMER	Plasma_Membrane	TM1397()	Plasma_Membrane	s
TM1403-MONOMER	Plasma_Membrane	TM1403()	Plasma_Membrane	s
TM1428-MONOMER	Plasma_Membrane	TM1428()	Plasma_Membrane	s
TM1429-MONOMER	Plasma_Membrane	TM1429()	Plasma_Membrane	s
TM1447-MONOMER	Plasma_Membrane	TM1447()	Plasma_Membrane	s
TM1461-MONOMER	Plasma_Membrane	TM1461()	Plasma_Membrane	s
TM1462-MONOMER	Plasma_Membrane	TM1462()	Plasma_Membrane	s
TM1480-MONOMER	Plasma_Membrane	TM1480()	Plasma_Membrane	s
TM1508-MONOMER	Plasma_Membrane	TM1508()	Plasma_Membrane	s
TM1511-MONOMER	Plasma_Membrane	TM1511()	Plasma_Membrane	s
TM1528-MONOMER	Plasma_Membrane	TM1528()	Plasma_Membrane	s
TM1548-MONOMER	Plasma_Membrane	TM1548()	Plasma_Membrane	s
TM1550-MONOMER	Plasma_Membrane	TM1550()	Plasma_Membrane	s
TM1572-MONOMER	Plasma_Membrane	TM1572()	Plasma_Membrane	s
TM1573-MONOMER	Extracellular_Space	TM1573()	Extracellular_Space	s
TM1578-MONOMER	Plasma_Membrane	TM1578()	Plasma_Membrane	s
TM1580-MONOMER	Plasma_Membrane	TM1580()	Plasma_Membrane	s
TM1603-MONOMER	Plasma_Membrane	TM1603()	Plasma_Membrane	s
TM1609-MONOMER	Plasma_Membrane	TM1609()	Plasma_Membrane	s
TM1610-MONOMER	Plasma_Membrane	TM1610()	Plasma_Membrane	s
TM1611-MONOMER	Plasma_Membrane	TM1611()	Plasma_Membrane	s
TM1612-MONOMER	Plasma_Membrane	TM1612()	Plasma_Membrane	s
TM1614-MONOMER	Plasma_Membrane	TM1614()	Plasma_Membrane	s
TM1616-MONOMER	Plasma_Membrane	TM1616()	Plasma_Membrane	s
TM1623-MONOMER	Plasma_Membrane	TM1623()	Plasma_Membrane	s
TM1654-MONOMER	Plasma_Membrane	TM1654()	Plasma_Membrane	s
TM1672-MONOMER	Plasma_Membrane	TM1672()	Plasma_Membrane	s
TM1686-MONOMER	Cell_Wall	TM1686()	Cell_Wall	s
TM1693-MONOMER	Plasma_Membrane	TM1693()	Plasma_Membrane	s
TM1696-MONOMER	Plasma_Membrane	TM1696()	Plasma_Membrane	s
TM1703-MONOMER	Plasma_Membrane	TM1703()	Plasma_Membrane	s
TM1746-MONOMER	Plasma_Membrane	TM1746()	Plasma_Membrane	s
TM1747-MONOMER	Plasma_Membrane	TM1747()	Plasma_Membrane	s
TM1748-MONOMER	Plasma_Membrane	TM1748()	Plasma_Membrane	s
TM1788-MONOMER	Plasma_Membrane	TM1788()	Plasma_Membrane	s
TM1836-MONOMER	Plasma_Membrane	TM1836()	Plasma_Membrane	s
TM1837-MONOMER	Plasma_Membrane	TM1837()	Plasma_Membrane	s
TM1839-MONOMER	Plasma_Membrane	TM1839()	Plasma_Membrane	s
TM1857-MONOMER	Plasma_Membrane	TM1857()	Plasma_Membrane	s
TM1861-MONOMER	Plasma_Membrane	TM1861()	Plasma_Membrane	s
TM1866-MONOMER	Plasma_Membrane	TM1866()	Plasma_Membrane	s
TM1868-MONOMER	Plasma_Membrane	TM1868()	Plasma_Membrane	s
TM1870-MONOMER	Plasma_Membrane	TM1870()	Plasma_Membrane	s
TM1878-MONOMER	Cell_Wall	TM1878()	Cell_Wall	s
TM_RS03085-MONOMER	Plasma_Membrane	TM_RS03085()	Plasma_Membrane	s
TM_RS09640-MONOMER	Plasma_Membrane	TM_RS09640()	Plasma_Membrane	s
