Reaction	Complexes
3SALATAi	TM1698-MONOMER OR TM1255-MONOMER
ACALD	CPLX_ALCD19-0
ACCOAC	CPLX_ACCOAC-0
ACGK	TM1784-MONOMER
ACGS	TM1783-MONOMER
ACHBS	CPLX_ACLS-0
ACKr	TM0274-MONOMER_mod_mg2(1)
ACLS	CPLX_ACLS-0
ACOATA	TM0802-MONOMER
ACONT	CPLX_ACONT-0
ACOTA	TM1785-MONOMER_mod_pydx5p(1)
ACPS1	TM0692-MONOMER_mod_mg2(1) OR TM0692-MONOMER_mod_mn2(1)
ACYP_2	TM1564-MONOMER
ADA	TM0936-MONOMER
ADAPAT	TM1785-MONOMER_mod_pydx5p(1)
ADK1	TM1479-MONOMER_mod_mg2(1)
ADK3	TM1689-MONOMER_mod_mg2(1)
ADMDC	TM0655-MONOMER
ADPT	TM1384-MONOMER_mod_mg2(1) OR TM1384-MONOMER_mod_mn2(1)
ADSL1r	TM1095-MONOMER
ADSL2r	TM1095-MONOMER
ADSS	TM1096-MONOMER_mod_mg2(1)
AGDC	TM0814-MONOMER_mod_zn2(1)
AGPAT160	TM1693-MONOMER
AGPR	TM1782-MONOMER
AHCYSNS	TM1129-MONOMER
AHCi	TM0172-MONOMER
AHEXASE3	TM0809-MONOMER
AHMMPS	TM0788-MONOMER
AHSERL2	TM0882-MONOMER_mod_pydx5p(1)
AICART	TM1249-MONOMER
AIRCr	CPLX_AIRCr-0
AKP1	TM0156-MONOMER_mod_zn2(1)_mod_mg2(1)
ALAALAr	TM0259-MONOMER
ALATRS	TM1396-MONOMER_mod_zn2(4)
ALAabc	CPLX_ALAabc-0
ALCD19	CPLX_ALCD19-0
ALKP	TM0156-MONOMER_mod_zn2(1)_mod_mg2(1)
ALR2	TM0412-MONOMER_mod_zn2(1)
AMYLe	TM1840-MONOMER
AMYe	CPLX_AMYe-0
ANPRT	TM0142-MONOMER OR TM0141-MONOMER
ANS	TM0141-MONOMER OR TM0142-MONOMER
APRAUR	TM1828-MONOMER
ARAI	TM0276-MONOMER_mod_mn2(1)
ARGSL	TM1781-MONOMER
ARGSS	TM1780-MONOMER_mod_mg2(1)
ARGTRS	TM1093-MONOMER_mod_mg2(1)
ASAD	TM1523-MONOMER
ASNTRAT	CPLX_ASNTRAT-0
ASP1DC	TM0939-MONOMER
ASPCT	TM1642-MONOMER
ASPK	TM1518-MONOMER OR TM0547-MONOMER
ASPO2	TM1643-MONOMER
ASPT	TM0444-MONOMER_mod_mg2(1) OR TM0444-MONOMER_mod_mn2(1) OR TM0444-MONOMER_mod_cobalt2(1)
ASPTA	TM1698-MONOMER OR TM1255-MONOMER
ASPTA6	TM1400-MONOMER
ASPTRS	TM1441-MONOMER
ASPTRS_Asn	TM1441-MONOMER
ATPPRT	CPLX_ATPPRT-0
ATPS1	CPLX_ATPS1-0
ATPS10_3	CPLX_ATPS1-0
ATPS4r	CPLX_ATPS1-0
BACCL	TM0224-MONOMER
BGLA	TM0025-MONOMER OR TM0076-MONOMER
BGLA1	TM1281-MONOMER
BTS3r	TM1269-MONOMER_mod_4fe4s(1)_mod_2fe2s(1)
BUTKr	TM1754-MONOMER OR TM1756-MONOMER
C100SN	CPLX_FASC201ACP-0 OR CPLX_FASC201ACP-1
CBPS	CPLX_CBPS-0_mod_mg2(1) OR CPLX_CBPS-0_mod_mn2(1) OR CPLX_CBPS-0_mod_cobalt2(1) OR CPLX_CBPS-0_mod_cd2(1) OR CPLX_CBPS-0_mod_zn2(1)
CDPMEK	TM1383-MONOMER_mod_mg2(1)
CEL6abc	CPLX_CEL6abc-0
CELASE1	TM1524-MONOMER
CELASE2	TM1524-MONOMER
CELLBabc	CPLX_CELLBabc-0 OR CPLX_CEL6abc-0
CELabc	CPLX_CEL6abc-0
CEPA	TM1848-MONOMER
CHORS	TM0347-MONOMER_mod_fmnh2(1) OR TM0347-MONOMER_mod_fadh2(1)
CRTNh	TM0413-MONOMER
CS	TM0290-MONOMER
CTPS2	TM0803-MONOMER_mod_mg2(1)
CYSS	TM0665-MONOMER_mod_pydx5p(2) OR TM0882-MONOMER_mod_pydx5p(1)
CYSTA	TM1698-MONOMER OR TM1255-MONOMER
CYSTRS	TM1410-MONOMER OR TM0719-MONOMER_mod_zn2(1)
CYTD	TM0846-MONOMER
CYTDK2	TM0751-MONOMER_mod_mg2(1)
CYTK1	TM1443-MONOMER_mod_mg2(1)
CYTK2	TM1443-MONOMER_mod_mg2(1)
DAPDA	TM1516-MONOMER
DAPDC	TM1517-MONOMER_mod_pydx5p(1)
DAPE	TM1522-MONOMER
DASYN160	TM1397-MONOMER
DB4PS	TM1826-MONOMER_mod_mg2(1)
DCMPDA	TM0404-MONOMER
DCYTD	TM0846-MONOMER
DDGLK	TM0067-MONOMER
DDPA	TM0343-MONOMER
DDPGA	CPLX_DDPGA-0 OR TM0066-MONOMER
DHAD1	TM0551-MONOMER_mod_4fe4s(1)
DHAD2	TM0551-MONOMER_mod_4fe4s(1)
DHDPRx_r	TM1520-MONOMER
DHDPS	TM1521-MONOMER
DHFR	TM1641-MONOMER
DHFS	TM0166-MONOMER
DHORD_NAD	CPLX_DHORD_NAD-0
DHORTS	TM0335-MONOMER
DHPPDA	TM1828-MONOMER
DHQS	TM0348-MONOMER_mod_cobalt2(1)_mod_nad(1)
DHQTi	TM0349-MONOMER
DMATT	TM0161-MONOMER_mod_mg2(1) OR TM0161-MONOMER_mod_mn2(1)
