Transcription-Units,Genes of transcription unit,Direction
TU220H-1903,SGL_RS15280 // SGL_RS15275,-
TU220H-407,SGL_RS04205,+
TU220H-2949,SGL_RS19380,-
TU220H-676,SGL_RS06140,+
TU220H-230,SGL_RS02930,+
TU220H-1402,SGL_RS11445,+
TU220H-2145,SGL_RS17045,-
TU220H-974,SGL_RS08290,+
TU220H-1378,SGL_RS11285,-
TU220H-1113,SGL_RS09320,+
TU220H-396,SGL_RS04130 // SGL_RS04125,-
TU220H-2206,SGL_RS17505,+
TU220H-1342,SGL_RS11035,+
TU220H-83,SGL_RS18575,+
TU220H-2363,SGL_RS00320,+
TU220H-286,SGL_RS03310 // SGL_RS03305,+
TU220H-817,SGL_RS07075,-
TU220H-1008,SGL_RS08575,-
TU220H-1330,SGL_RS10950,+
TU220H-1232,SGL_RS10270,-
TU220H-2866,SGL_RS04675,+
TU220H-1431,SGL_RS11705,+
TU220H-615,SGL_RS05665,-
TU220H-875,SGL_RS07525,-
TU220H-1063,SGL_RS08985,+
TU220H-1612,SGL_RS13040,-
TU220H-1180,SGL_RS09860,-
TU220H-937,SGL_RS08025,-
TU220H-2566,SGL_RS15325,-
TU220H-554,SGL_RS05235,-
TU220H-1732,SGL_RS13925,+
TU220H-2425,SGL_RS19320 // SGL_RS18590 // SGL_RS01515,+
TU220H-1867,SGL_RS14990,-
TU220H-2394,SGL_RS00535,-
TU220H-2587,SGL_RS14665,-
TU220H-132,SGL_RS02185,+
TU220H-3,SGL_RS00640,-
TU220H-710,SGL_RS06350,+
TU220H-1963,SGL_RS15680,+
TU220H-2697,SGL_RS11475,+
TU220H-485,SGL_RS04765,-
TU220H-334,SGL_RS03665 // SGL_RS03660,+
TU220H-2611,SGL_RS13835,+
TU220H-2539,SGL_RS16655,-
TU220H-1558,SGL_RS12650,+
TU220H-2106,SGL_RS16685,-
TU220H-1288,SGL_RS10610,-
TU220H-1118,SGL_RS09350 // SGL_RS09345,-
TU220H-2209,SGL_RS17520,+
TU220H-2767,SGL_RS08795,-
TU220H-1641,SGL_RS13245 // SGL_RS13240,-
TU220H-2184,SGL_RS17340,-
TU220H-2528,SGL_RS17075,+
TU220H-675,SGL_RS06135,-
TU220H-2805,SGL_RS07635,+
TU220H-2176,SGL_RS17280 // SGL_RS17275 // SGL_RS17270,+
TU220H-980,SGL_RS08355,-
TU220H-1775,SGL_RS14290 // SGL_RS14285,+
TU220H-770,SGL_RS06695,+
TU220H-1735,SGL_RS13940,-
TU220H-2285,SGL_RS18050,+
TU220H-82,SGL_RS01335,+
TU220H-285,SGL_RS03300,+
TU220H-2330,SGL_RS00030 // SGL_RS00025,-
TU220H-2064,SGL_RS16370,+
TU220H-1939,SGL_RS15535,+
TU220H-2772,SGL_RS08450,-
TU220H-2054,SGL_RS19115,-
TU220H-2591,SGL_RS14600,-
TU220H-1528,SGL_RS12445,+
TU220H-1231,SGL_RS10265,-
TU220H-1489,SGL_RS12140,+
TU220H-922,SGL_RS07905,+
TU220H-370,SGL_RS03960,-
TU220H-874,SGL_RS07515,+
TU220H-2856,SGL_RS05400,-
TU220H-1062,SGL_RS08980,-
TU220H-1179,SGL_RS09855,-
TU220H-170,SGL_RS02460,+
TU220H-753,SGL_RS06590,-
TU220H-1362,SGL_RS11155,+
TU220H-2846,SGL_RS06105,+
TU220H-2405,SGL_RS01375,+
TU220H-1883,SGL_RS15100,-
TU220H-1320,SGL_RS10890 // SGL_RS10885,+
TU220H-540,SGL_RS05135,+
TU220H-1684,SGL_RS13545,+
TU220H-1992,SGL_RS15880,+
TU220H-419,SGL_RS04285,-
TU220H-2,SGL_RS00635,-
TU220H-484,SGL_RS04760,-
TU220H-1668,SGL_RS13455,+
TU220H-117,SGL_RS02045,+
TU220H-2479,SGL_RS00485,-
TU220H-319,SGL_RS03525,+
TU220H-1287,SGL_RS10605,-
TU220H-1857,SGL_RS14915,+
TU220H-229,SGL_RS02925,+
TU220H-674,SGL_RS06130 // SGL_RS06125,-
TU220H-1647,SGL_RS13305,-
TU220H-2945,SGL_RS00950,+
TU220H-790,SGL_RS06850,+
TU220H-960,SGL_RS08180,-
TU220H-81,SGL_RS01320,-
TU220H-284,SGL_RS03295,+
TU220H-1938,SGL_RS15530 // SGL_RS15525,+
TU220H-816,SGL_RS07070,-
TU220H-2305,SGL_RS18200,+
TU220H-2748,SGL_RS19200,+
TU220H-580,SGL_RS05430,-
TU220H-1007,SGL_RS08570,-
TU220H-1230,SGL_RS10255,-
TU220H-614,SGL_RS05660,-
TU220H-1101,SGL_RS09235,-
TU220H-1061,SGL_RS08975,-
TU220H-1611,SGL_RS13035,+
TU220H-389,SGL_RS04090,+
TU220H-1178,SGL_RS09850 // SGL_RS09845,-
TU220H-1485,SGL_RS12100,+
TU220H-907,SGL_RS07775,+
TU220H-2684,SGL_RS11785,+
TU220H-206,SGL_RS02775,+
TU220H-738,SGL_RS06505 // SGL_RS06500,-
TU220H-525,SGL_RS05030 // SGL_RS05025,-
TU220H-1087,SGL_RS09140,-
TU220H-2794,SGL_RS07810,-
TU220H-2759,SGL_RS09145,+
TU220H-363,SGL_RS03890 // SGL_RS03885,-
TU220H-2600,SGL_RS19470,+
TU220H-2216,SGL_RS17560,-
TU220H-1132,SGL_RS09435,+
TU220H-161,SGL_RS02375 // SGL_RS02370,+
TU220H-1,SGL_RS00625,-
TU220H-483,SGL_RS04755 // SGL_RS04750,+
TU220H-2660,SGL_RS12510,+
TU220H-2309,SGL_RS18225 // SGL_RS18220,+
TU220H-1286,SGL_RS10600,-
TU220H-2484,SGL_RS00260,-
TU220H-2096,SGL_RS16615 // SGL_RS16610,+
TU220H-2177,SGL_RS17290,+
TU220H-2607,SGL_RS13980,-
TU220H-1509,SGL_RS12290 // SGL_RS12285,+
TU220H-2189,SGL_RS17375 // SGL_RS17370,+
TU220H-673,SGL_RS06120,+
TU220H-2941,SGL_RS01250,-
TU220H-1392,SGL_RS11375,+
