Complex,Complex_compartment,Protein,Protein_compartment,translocase_pathway
SGL_RS16390-MONOMER,Inner_Membrane,SGL_RS16390(),Inner_Membrane,r
SGL_RS14350-MONOMER,Periplasm,SGL_RS14350(),Periplasm,s
CPLX_AALACPTD-0,Periplasm,SGL_RS14350(),Periplasm,s
SGL_RS16820-MONOMER,Inner_Membrane,SGL_RS16820(),Inner_Membrane,r
CPLX220H-4,Inner_Membrane,SGL_RS05545(),Inner_Membrane,p
SGL_RS05545-MONOMER,Inner_Membrane,SGL_RS05545(),Inner_Membrane,p
CPLX_CYO1b_syn_1-0,Inner_Membrane,SGL_RS05545(),Inner_Membrane,p
CPLX_CYO1b_syn_1-1,Inner_Membrane,SGL_RS05545(),Inner_Membrane,p
CPLX_CYO1b_syn_1-2,Inner_Membrane,SGL_RS05545(),Inner_Membrane,p
CPLX_CYO1b_syn_1-3,Inner_Membrane,SGL_RS05545(),Inner_Membrane,p
SGL_RS05550-MONOMER,Inner_Membrane,SGL_RS05550(),Inner_Membrane,r
CPLX_CYO1b_syn_1-0,Inner_Membrane,SGL_RS05550(),Inner_Membrane,r
CPLX_CYO1b_syn_1-2,Inner_Membrane,SGL_RS05550(),Inner_Membrane,r
CPLX_CYO1b_syn_1-4,Inner_Membrane,SGL_RS05550(),Inner_Membrane,r
CPLX_CYO1b_syn_1-6,Inner_Membrane,SGL_RS05550(),Inner_Membrane,r
CPLX220H-4,Inner_Membrane,SGL_RS05540(),Inner_Membrane,p
SGL_RS05540-MONOMER,Inner_Membrane,SGL_RS05540(),Inner_Membrane,p
CPLX_CYO1b_syn_1-2,Inner_Membrane,SGL_RS05540(),Inner_Membrane,p
CPLX_CYO1b_syn_1-3,Inner_Membrane,SGL_RS05540(),Inner_Membrane,p
CPLX_CYO1b_syn_1-6,Inner_Membrane,SGL_RS05540(),Inner_Membrane,p
CPLX_CYO1b_syn_1-7,Inner_Membrane,SGL_RS05540(),Inner_Membrane,p
SGL_RS16665-MONOMER,Periplasm,SGL_RS16665(),Periplasm,s
SGL_RS15775-MONOMER,Inner_Membrane,SGL_RS15775(),Inner_Membrane,r
SGL_RS17140-MONOMER,Inner_Membrane,SGL_RS17140(),Periplasm,s
CPLX_SULabcpp-0,Inner_Membrane,SGL_RS17140(),Periplasm,s
SGL_RS17155-MONOMER,Inner_Membrane,SGL_RS17155(),Inner_Membrane,r
CPLX_SULabcpp-0,Inner_Membrane,SGL_RS17155(),Inner_Membrane,r
SGL_RS17150-MONOMER,Inner_Membrane,SGL_RS17150(),Inner_Membrane,r
CPLX_SULabcpp-0,Inner_Membrane,SGL_RS17150(),Inner_Membrane,r
SGL_RS18145-MONOMER,Periplasm,SGL_RS18145(),Periplasm,s
SGL_RS04175-MONOMER,Periplasm,SGL_RS04175(),Periplasm,s
SGL_RS07110-MONOMER,Inner_Membrane,SGL_RS07110(),Inner_Membrane,r
SGL_RS14090-MONOMER,Inner_Membrane,SGL_RS14090(),Inner_Membrane,r
CPLX_AALACPTD-0,Inner_Membrane,SGL_RS14090(),Inner_Membrane,r
SGL_RS04015-MONOMER,Inner_Membrane,SGL_RS04015(),Inner_Membrane,r
SGL_RS16100-MONOMER,Inner_Membrane,SGL_RS16100(),Inner_Membrane,r
SGL_RS10725-MONOMER,Inner_Membrane,SGL_RS10725(),Inner_Membrane,p
CPLX_NDH1-D1F1-0,Inner_Membrane,SGL_RS10725(),Inner_Membrane,p
SGL_RS12625-MONOMER,Inner_Membrane,SGL_RS12625(),Inner_Membrane,r
CPLX_NDH1-D1F1-0,Inner_Membrane,SGL_RS12625(),Inner_Membrane,r
SGL_RS16990-MONOMER,Inner_Membrane,SGL_RS16990(),Inner_Membrane,r
CPLX220H-3,Inner_Membrane,SGL_RS16990(),Inner_Membrane,r
CPLX_NDH1-D1F1-0,Inner_Membrane,SGL_RS16990(),Inner_Membrane,r
SGL_RS15190-MONOMER,Inner_Membrane,SGL_RS15190(),Inner_Membrane,r
CPLX_NDH1-D1F1-0,Inner_Membrane,SGL_RS15190(),Inner_Membrane,r
CPLX220H-3,Inner_Membrane,SGL_RS17000(),Inner_Membrane,r
SGL_RS17000-MONOMER,Inner_Membrane,SGL_RS17000(),Inner_Membrane,r
CPLX_NDH1-D1F1-0,Inner_Membrane,SGL_RS17000(),Inner_Membrane,r
SGL_RS02610-MONOMER,Inner_Membrane,SGL_RS02610(),Inner_Membrane,r
CPLX_NDH1-D1F1-0,Inner_Membrane,SGL_RS02610(),Inner_Membrane,r
SGL_RS13875-MONOMER,Inner_Membrane,SGL_RS13875(),Inner_Membrane,r
SGL_RS15915-MONOMER,Periplasm,SGL_RS15915(),Periplasm,s
CPLX220H-24,Inner_Membrane,SGL_RS09725(),Periplasm,t
CPLX220H-23,Inner_Membrane,SGL_RS09725(),Periplasm,t
SGL_RS09725-MONOMER,Inner_Membrane,SGL_RS09725(),Periplasm,t
SGL_RS16695-MONOMER,Inner_Membrane,SGL_RS16695(),Inner_Membrane,p
SGL_RS13530-MONOMER,Inner_Membrane,SGL_RS13530(),Inner_Membrane,r
SGL_RS05435-MONOMER,Inner_Membrane,SGL_RS05435(),Inner_Membrane,r
SGL_RS09605-MONOMER,Outer_Membrane,SGL_RS09605(),Inner_Membrane,r
SGL_RS08700-MONOMER,Inner_Membrane,SGL_RS08700(),Inner_Membrane,r
SGL_RS10195-MONOMER,Inner_Membrane,SGL_RS10195(),Inner_Membrane,r
CPLX220H-7,Inner_Membrane,SGL_RS05015(),Inner_Membrane,r
SGL_RS05015-MONOMER,Inner_Membrane,SGL_RS05015(),Inner_Membrane,r
CPLX220H-7,Inner_Membrane,SGL_RS05010(),Inner_Membrane,r
SGL_RS05010-MONOMER,Inner_Membrane,SGL_RS05010(),Inner_Membrane,r
