Modified_enzyme,Core_enzyme,Modifications,Source
CPLX220H-12_mod_zn2(1)_mod_mg2(2),CPLX220H-12,zn2(1) AND mg2(2),RNA_Polymerase
SGL_RS14375-MONOMER_mod_mg2(1),SGL_RS14375-MONOMER,mg2(1),Homology
SGL_RS06980-MONOMER_mod_adocbl(1),SGL_RS06980-MONOMER,adocbl(1),Homology
SGL_RS06980-MONOMER_mod_4fe4s(2),SGL_RS06980-MONOMER,4fe4s(2),Homology
SGL_RS08220-MONOMER_mod_mg2(1),SGL_RS08220-MONOMER,mg2(1),Homology
SGL_RS18120-MONOMER_mod_cobalt2(1),SGL_RS18120-MONOMER,cobalt2(1),Homology
SGL_RS04340-MONOMER_mod_mn2(1),SGL_RS04340-MONOMER,mn2(1),Homology
SGL_RS10805-MONOMER_mod_mg2(1),SGL_RS10805-MONOMER,mg2(1),Homology
SGL_RS07690-MONOMER_mod_mg2(1),SGL_RS07690-MONOMER,mg2(1),Homology
SGL_RS09590-MONOMER_mod_zn2(1),SGL_RS09590-MONOMER,zn2(1),Homology
SGL_RS02280-MONOMER_mod_zn2(2),SGL_RS02280-MONOMER,zn2(2),Homology
SGL_RS01875-MONOMER_mod_mg2(1),SGL_RS01875-MONOMER,mg2(1),Homology
SGL_RS11650-MONOMER_mod_mg2(2),SGL_RS11650-MONOMER,mg2(2),Homology
SGL_RS18015-MONOMER_mod_4fe4s(1),SGL_RS18015-MONOMER,4fe4s(1),Homology
SGL_RS08960-MONOMER_mod_Oxidized(1),SGL_RS08960-MONOMER,Oxidized(1),Homology
SGL_RS13520-MONOMER_mod_mg2(1),SGL_RS13520-MONOMER,mg2(1),Homology
SGL_RS12080-MONOMER_mod_zn2(2),SGL_RS12080-MONOMER,zn2(2),Homology
SGL_RS11990-MONOMER_mod_zn2(4),SGL_RS11990-MONOMER,zn2(4),Homology
SGL_RS02305-MONOMER_mod_mn2(1),SGL_RS02305-MONOMER,mn2(1),Homology
SGL_RS02305-MONOMER_mod_mg2(1),SGL_RS02305-MONOMER,mg2(1),Homology
SGL_RS11095-MONOMER_mod_mg2(1),SGL_RS11095-MONOMER,mg2(1),Homology
SGL_RS11095-MONOMER_mod_mn2(1),SGL_RS11095-MONOMER,mn2(1),Homology
SGL_RS07755-MONOMER_mod_k(1)_mod_mg2(1),SGL_RS07755-MONOMER,k(1) AND mg2(1),Homology
SGL_RS18105-MONOMER_mod_mg2(1),SGL_RS18105-MONOMER,mg2(1),Homology
SGL_RS05660-MONOMER_mod_thmpp(1)_mod_mn2(1)_mod_mg2(1),SGL_RS05660-MONOMER,thmpp(1) AND mn2(1) AND mg2(1),Homology
SGL_RS06450-MONOMER_mod_mn2(1),SGL_RS06450-MONOMER,mn2(1),Homology
SGL_RS17330-MONOMER_mod_mg2(1)_mod_pydx5p(4),SGL_RS17330-MONOMER,mg2(1) AND pydx5p(4),Homology
SGL_RS08980-MONOMER_mod_nad(1),SGL_RS08980-MONOMER,nad(1),Homology
SGL_RS01905-MONOMER_mod_nadp(1),SGL_RS01905-MONOMER,nadp(1),Homology
SGL_RS08115-MONOMER_mod_mg2(1)_mod_cu(1)_mod_fad(1),SGL_RS08115-MONOMER,mg2(1) AND cu(1) AND fad(1),Homology
SGL_RS15395-MONOMER_mod_mg2(1),SGL_RS15395-MONOMER,mg2(1),Homology
SGL_RS15395-MONOMER_mod_mn2(1),SGL_RS15395-MONOMER,mn2(1),Homology
SGL_RS08515-MONOMER_mod_pydx5p(1),SGL_RS08515-MONOMER,pydx5p(1),Homology
SGL_RS15130-MONOMER_mod_nad(1),SGL_RS15130-MONOMER,nad(1),Homology
SGL_RS06545-MONOMER_mod_mg2(6),SGL_RS06545-MONOMER,mg2(6),Homology
SGL_RS06545-MONOMER_mod_lys__L(1),SGL_RS06545-MONOMER,lys__L(1),Homology
SGL_RS12955-MONOMER_mod_ni2(1),SGL_RS12955-MONOMER,ni2(1),Homology
SGL_RS09600-MONOMER_mod_cobalt2(1)_mod_nad(1),SGL_RS09600-MONOMER,cobalt2(1) AND nad(1),Homology
SGL_RS05700-MONOMER_mod_mg2(1),SGL_RS05700-MONOMER,mg2(1),Homology
SGL_RS10525-MONOMER_mod_mg2(1),SGL_RS10525-MONOMER,mg2(1),Homology
SGL_RS15085-MONOMER_mod_pydx5p(1),SGL_RS15085-MONOMER,pydx5p(1),Homology
SGL_RS16370-MONOMER_mod_zn2(6),SGL_RS16370-MONOMER,zn2(6),Homology
SGL_RS15225-MONOMER_mod_mg2(1),SGL_RS15225-MONOMER,mg2(1),Homology
SGL_RS16420-MONOMER_mod_thmpp(1),SGL_RS16420-MONOMER,thmpp(1),Homology
SGL_RS08945-MONOMER_mod_fmn(1),SGL_RS08945-MONOMER,fmn(1),Homology
SGL_RS08945-MONOMER_mod_mg2(1),SGL_RS08945-MONOMER,mg2(1),Homology
SGL_RS13005-MONOMER_mod_pydx5p(2),SGL_RS13005-MONOMER,pydx5p(2),Homology
SGL_RS04290-MONOMER_mod_mg2(1),SGL_RS04290-MONOMER,mg2(1),Homology
SGL_RS05425-MONOMER_mod_mg2(1),SGL_RS05425-MONOMER,mg2(1),Homology
SGL_RS04875-MONOMER_mod_pydx5p(1),SGL_RS04875-MONOMER,pydx5p(1),Homology
SGL_RS06810-MONOMER_mod_hco3(1),SGL_RS06810-MONOMER,hco3(1),Homology
SGL_RS16880-MONOMER_mod_mg2(1),SGL_RS16880-MONOMER,mg2(1),Homology
SGL_RS14335-MONOMER_mod_mg2(1)_mod_mn2(1)_mod_thmpp(1),SGL_RS14335-MONOMER,mg2(1) AND mn2(1) AND thmpp(1),Homology
SGL_RS17340-MONOMER_mod_4fe4s(1),SGL_RS17340-MONOMER,4fe4s(1),Homology
SGL_RS11305-MONOMER_mod_mg2(1),SGL_RS11305-MONOMER,mg2(1),Homology
SGL_RS04455-MONOMER_mod_Oxidized(1),SGL_RS04455-MONOMER,Oxidized(1),Homology
SGL_RS02220-MONOMER_mod_mg2(1),SGL_RS02220-MONOMER,mg2(1),Homology
SGL_RS06360-MONOMER_mod_mg2(1),SGL_RS06360-MONOMER,mg2(1),Homology
SGL_RS06360-MONOMER_mod_cobalt2(1),SGL_RS06360-MONOMER,cobalt2(1),Homology
SGL_RS06360-MONOMER_mod_mn2(1),SGL_RS06360-MONOMER,mn2(1),Homology
SGL_RS06360-MONOMER_mod_fe2(1),SGL_RS06360-MONOMER,fe2(1),Homology
SGL_RS06360-MONOMER_mod_ca2(1),SGL_RS06360-MONOMER,ca2(1),Homology
SGL_RS13995-MONOMER_mod_mg2(1)_mod_k(1),SGL_RS13995-MONOMER,mg2(1) AND k(1),Homology
SGL_RS17740-MONOMER_mod_mg2(1),SGL_RS17740-MONOMER,mg2(1),Homology
