,value
generic_16Sm4Cm1402,{'enzymes': ['SGL_RS06635-MONOMER']}
generic_LYSINEaaRS,{'enzymes': ['SGL_RS06545-MONOMER']}
generic_Dus,{'enzymes': ['SGL_RS14330-MONOMER']}
generic_RF,"{'enzymes': ['SGL_RS18110-MONOMER', 'SGL_RS12270-MONOMER']}"
generic_Tuf,{'enzymes': ['SGL_RS10925-MONOMER']}
generic_RNase,{'enzymes': ['CPLX_dummy']}
generic_16s_rRNAs,"{'enzymes': ['RNA_SGL_RS13310', 'RNA_SGL_RS17250']}"
generic_23s_rRNAs,"{'enzymes': ['RNA_SGL_RS13300', 'RNA_SGL_RS17260']}"
generic_5s_rRNAs,"{'enzymes': ['RNA_SGL_RS13295', 'RNA_SGL_RS17265']}"
generic_fes_transfers_complex,{'enzymes': ['SGL_RS02730-MONOMER']}
