Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
YPO2069-MONOMER	Inner_Membrane	YPO2069()	Inner_Membrane	r
YPO2068-MONOMER	Inner_Membrane	YPO2068()	Inner_Membrane	r
YPO1386-MONOMER	Periplasm	YPO1386()	Periplasm	s
YPO0663-MONOMER	Outer_Membrane	YPO0663()	Outer_Membrane	sb
YPO0345-MONOMER	Inner_Membrane	YPO0345()	Inner_Membrane	r
CPLX_DSBDR-0	Inner_Membrane	YPO0345()	Inner_Membrane	r
CPLX_DSBDR-1	Inner_Membrane	YPO0345()	Inner_Membrane	r
CPLX_TDSR1-0	Inner_Membrane	YPO0345()	Inner_Membrane	r
YPO0347-MONOMER	Inner_Membrane	YPO0347()	Inner_Membrane	r
YPO4080-MONOMER	Periplasm	YPO4080()	Periplasm	s
YPO0006-MONOMER	Inner_Membrane	YPO0006()	Inner_Membrane	r
YPO0552-MONOMER	Inner_Membrane	YPO0552()	Inner_Membrane	r
YPO0954-MONOMER	Outer_Membrane	YPO0954()	Outer_Membrane	pla
YPO3858-MONOMER	Inner_Membrane	YPO3858()	Inner_Membrane	r
YPO3506-MONOMER	Periplasm	YPO3506()	Periplasm	s
YPO0311-MONOMER	Inner_Membrane	YPO0311()	Inner_Membrane	r
YPO2775-MONOMER	Inner_Membrane	YPO2775()	Inner_Membrane	r
CPLX_ARGabcpp-0	Inner_Membrane	YPO2775()	Inner_Membrane	r
CPLX_HISabcpp-0	Inner_Membrane	YPO2775()	Inner_Membrane	r
YPO2776-MONOMER	Inner_Membrane	YPO2776()	Inner_Membrane	r
CPLX_ARGabcpp-0	Inner_Membrane	YPO2776()	Inner_Membrane	r
CPLX_HISabcpp-0	Inner_Membrane	YPO2776()	Inner_Membrane	r
YPO1083-MONOMER	Inner_Membrane	YPO1083()	Inner_Membrane	r
YPO3167-MONOMER	Inner_Membrane	YPO3167()	Inner_Membrane	r
CPLX_CYTBO3_4pp-0	Inner_Membrane	YPO3167()	Inner_Membrane	r
YPO3165-MONOMER	Inner_Membrane	YPO3165()	Inner_Membrane	p
CPLX_CYTBO3_4pp-0	Inner_Membrane	YPO3165()	Inner_Membrane	p
YPO3166-MONOMER	Inner_Membrane	YPO3166()	Inner_Membrane	r
CPLX_CYTBO3_4pp-0	Inner_Membrane	YPO3166()	Inner_Membrane	r
YPO3164-MONOMER	Inner_Membrane	YPO3164()	Inner_Membrane	p
CPLX_CYTBO3_4pp-0	Inner_Membrane	YPO3164()	Inner_Membrane	p
YPO0452-MONOMER	Periplasm	YPO0452()	Periplasm	s
YPO3779-MONOMER	Inner_Membrane	YPO3779()	Inner_Membrane	r
YPO1209-MONOMER	Inner_Membrane	YPO1209()	Inner_Membrane	r
YPO2628-MONOMER	Inner_Membrane	YPO2628()	Inner_Membrane	r
CPLX_ACGAptspp-0	Inner_Membrane	YPO2628()	Inner_Membrane	r
YPO1285-MONOMER	Inner_Membrane	YPO1285()	Inner_Membrane	r
YPO0079-MONOMER	Inner_Membrane	YPO0079()	Periplasm	s
YPO3013-MONOMER	Inner_Membrane	YPO3013()	Inner_Membrane	r
CPLX_MOBDabcpp-1	Inner_Membrane	YPO3013()	Inner_Membrane	r
CPLX_MOBDabcpp-2	Inner_Membrane	YPO3013()	Inner_Membrane	r
YPO3014-MONOMER	Inner_Membrane	YPO3014()	Inner_Membrane	r
CPLX_MOBDabcpp-1	Inner_Membrane	YPO3014()	Inner_Membrane	r
CPLX_MOBDabcpp-2	Inner_Membrane	YPO3014()	Inner_Membrane	r
YPO0091-MONOMER	Inner_Membrane	YPO0091()	Inner_Membrane	r
YPO0577-MONOMER	Inner_Membrane	YPO0577()	Inner_Membrane	r
YPO1050-MONOMER	Inner_Membrane	YPO1050()	Inner_Membrane	r
YPO3202-MONOMER	Inner_Membrane	YPO3202()	Inner_Membrane	r
YPO2043-MONOMER	Inner_Membrane	YPO2043()	Inner_Membrane	r
YPO3015-MONOMER	Inner_Membrane	YPO3015()	Periplasm	s
CPLX_MOBDabcpp-1	Inner_Membrane	YPO3015()	Periplasm	s
YPO1128-MONOMER	Inner_Membrane	YPO1128()	Inner_Membrane	r
YPO0191-MONOMER	Inner_Membrane	YPO0191()	Inner_Membrane	r
YPO3820-MONOMER	Inner_Membrane	YPO3820()	Inner_Membrane	r
YPO2193-MONOMER	Outer_Membrane	YPO2193()	Inner_Membrane	r
CPLX_ADOCBLtonex-0	Outer_Membrane	YPO2193()	Inner_Membrane	r
CPLX_FE3DCITtonex-0	Outer_Membrane	YPO2193()	Inner_Membrane	r
YPO0683-MONOMER	Outer_Membrane	YPO0683()	Inner_Membrane	s
CPLX_ADOCBLtonex-0	Outer_Membrane	YPO0683()	Inner_Membrane	s
CPLX_FE3DCITtonex-0	Outer_Membrane	YPO0683()	Inner_Membrane	s
YPO0682-MONOMER	Outer_Membrane	YPO0682()	Inner_Membrane	p
CPLX_ADOCBLtonex-0	Outer_Membrane	YPO0682()	Inner_Membrane	p
CPLX_FE3DCITtonex-0	Outer_Membrane	YPO0682()	Inner_Membrane	p
YPO1109-MONOMER	Inner_Membrane	YPO1109()	Inner_Membrane	r
CPLX_SUCDi-0	Inner_Membrane	YPO1109()	Inner_Membrane	r
YPO1110-MONOMER	Inner_Membrane	YPO1110()	Inner_Membrane	r
CPLX_SUCDi-0	Inner_Membrane	YPO1110()	Inner_Membrane	r
YPO0793-MONOMER	Inner_Membrane	YPO0793()	Inner_Membrane	r
CPLX_AACPS1-0	Inner_Membrane	YPO0793()	Inner_Membrane	r
YPO0792-MONOMER	Inner_Membrane	YPO0792()	Inner_Membrane	r
YPO0995-MONOMER	Inner_Membrane	YPO0995()	Inner_Membrane	r
YPO2555-MONOMER	Inner_Membrane	YPO2555()	Inner_Membrane	p
CPLX_NADH16pp-0	Inner_Membrane	YPO2555()	Inner_Membrane	p
YPO2544-MONOMER	Inner_Membrane	YPO2544()	Inner_Membrane	r
CPLX_NADH16pp-0	Inner_Membrane	YPO2544()	Inner_Membrane	r
YPO2547-MONOMER	Inner_Membrane	YPO2547()	Inner_Membrane	r
CPLX_NADH16pp-0	Inner_Membrane	YPO2547()	Inner_Membrane	r
YPO2546-MONOMER	Inner_Membrane	YPO2546()	Inner_Membrane	p
CPLX_NADH16pp-0	Inner_Membrane	YPO2546()	Inner_Membrane	p
YPO2545-MONOMER	Inner_Membrane	YPO2545()	Inner_Membrane	r
CPLX_NADH16pp-0	Inner_Membrane	YPO2545()	Inner_Membrane	r
YPO2549-MONOMER	Inner_Membrane	YPO2549()	Inner_Membrane	r
CPLX_NADH16pp-0	Inner_Membrane	YPO2549()	Inner_Membrane	r
YPO2543-MONOMER	Inner_Membrane	YPO2543()	Inner_Membrane	r
CPLX_NADH16pp-0	Inner_Membrane	YPO2543()	Inner_Membrane	r
YPO0794-MONOMER	Inner_Membrane	YPO0794()	Periplasm	t
YPO0313-MONOMER	Inner_Membrane	YPO0313()	Inner_Membrane	r
YPO2744-MONOMER	Outer_Membrane	YPO2744()	Outer_Membrane	sb
YPO2782-MONOMER	Inner_Membrane	YPO2782()	Inner_Membrane	r
YPO2904-MONOMER	Inner_Membrane	YPO2904()	Inner_Membrane	r
YPO3837-MONOMER	Inner_Membrane	YPO3837()	Inner_Membrane	p
YPO0649-MONOMER	Inner_Membrane	YPO0649()	Inner_Membrane	r
YPO3086-MONOMER	Inner_Membrane	YPO3086()	Inner_Membrane	r
YPO3413-MONOMER	Inner_Membrane	YPO3413()	Inner_Membrane	r
YPO3132-MONOMER	Outer_Membrane	YPO3132()	Inner_Membrane	pa
YPO3043-MONOMER	Outer_Membrane	YPO3043()	Inner_Membrane	r
YPO3421-MONOMER	Inner_Membrane	YPO3421()	Inner_Membrane	r
YPO3762-MONOMER	Inner_Membrane	YPO3762()	Inner_Membrane	r
CPLX_Kt2pp-0	Inner_Membrane	YPO3762()	Inner_Membrane	r
YPO0251-MONOMER	Inner_Membrane	YPO0251()	Inner_Membrane	r
YPO1661-MONOMER	Inner_Membrane	YPO1661()	Inner_Membrane	r
YPO3168-MONOMER	Inner_Membrane	YPO3168()	Inner_Membrane	r
YPO2361-MONOMER	Inner_Membrane	YPO2361()	Inner_Membrane	r
YPO2922-MONOMER	Periplasm	YPO2922()	Periplasm	s
YPO1648-MONOMER	Periplasm	YPO1648()	Periplasm	s
YPO2982-MONOMER	Inner_Membrane	YPO2982()	Inner_Membrane	r
YPO1117-MONOMER	Inner_Membrane	YPO1117()	Inner_Membrane	r
CPLX_CYTBD2pp-0	Inner_Membrane	YPO1117()	Inner_Membrane	r
YPO1118-MONOMER	Inner_Membrane	YPO1118()	Inner_Membrane	r
CPLX_CYTBD2pp-0	Inner_Membrane	YPO1118()	Inner_Membrane	r
YPO0584-MONOMER	Inner_Membrane	YPO0584()	Inner_Membrane	r
YPO3831-MONOMER	Inner_Membrane	YPO3831()	Inner_Membrane	r
YPO0254-MONOMER	Inner_Membrane	YPO0254()	Inner_Membrane	r
YPO3179-MONOMER	Inner_Membrane	YPO3179()	Inner_Membrane	r
YPO0616-MONOMER	Periplasm	YPO0616()	Periplasm	s
YPO1129-MONOMER	Inner_Membrane	YPO1129()	Inner_Membrane	r
YPO2581-MONOMER	Inner_Membrane	YPO2581()	Periplasm	s
YPO2499-MONOMER	Inner_Membrane	YPO2499()	Inner_Membrane	r
CPLX_RIBabcpp-1	Inner_Membrane	YPO2499()	Inner_Membrane	r
YPO4056-MONOMER	Inner_Membrane	YPO4056()	Inner_Membrane	r
CPLX_FDH4pp-0	Inner_Membrane	YPO4056()	Inner_Membrane	r
YPO4057-MONOMER	Inner_Membrane	YPO4057()	Inner_Membrane	t
CPLX_FDH4pp-0	Inner_Membrane	YPO4057()	Inner_Membrane	t
YPO4058-MONOMER	Inner_Membrane	YPO4058()	Periplasm	t
YPO1507-MONOMER	Inner_Membrane	YPO1507()	Periplasm	s
CPLX_GLCabcpp-0	Inner_Membrane	YPO1507()	Periplasm	s
YPO1509-MONOMER	Inner_Membrane	YPO1509()	Inner_Membrane	r
CPLX_GLCabcpp-0	Inner_Membrane	YPO1509()	Inner_Membrane	r
YPO4125-MONOMER	Inner_Membrane	YPO4125()	Inner_Membrane	r
CPLX_ATPS4rpp-0	Inner_Membrane	YPO4125()	Inner_Membrane	r
CPLX_ATPS4rpp-1	Inner_Membrane	YPO4125()	Inner_Membrane	r
YPO4120-MONOMER	Inner_Membrane	YPO4120()	Inner_Membrane	y
CPLX_ATPS4rpp-0	Inner_Membrane	YPO4120()	Inner_Membrane	y
CPLX_ATPS4rpp-1	Inner_Membrane	YPO4120()	Inner_Membrane	y
YPO4128-MONOMER	Inner_Membrane	YPO4128()	Inner_Membrane	r
CPLX_ATPS4rpp-1	Inner_Membrane	YPO4128()	Inner_Membrane	r
YPO4127-MONOMER	Inner_Membrane	YPO4127()	Inner_Membrane	p
